
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)",="(9)",="(10)",="(11)",="(12)",="(13)",="(14)"
="",="z_va_ela",="z_va_math",="z_va_enr",="z_va_enrela",="z_va_enrmath",="z_va_enrdk",="z_va_2yr",="z_va_2yrela",="z_va_2yrmath",="z_va_2yrdk",="z_va_4yr",="z_va_4yrela",="z_va_4yrmath",="z_va_4yrdk"

="z_climateindex",="0.325*",="0.541***",="0.585***",="0.504**",="0.387*",="0.388*",="0.106",="0.0969",="0.117",="0.118",="0.413**",="0.337*",="0.214",="0.214"
="",="(2.09)",="(3.59)",="(3.48)",="(2.85)",="(2.26)",="(2.26)",="(0.65)",="(0.60)",="(0.72)",="(0.72)",="(2.68)",="(2.09)",="(1.33)",="(1.33)"

="z_qualityindex",="-0.186",="-0.225",="-0.628***",="-0.594**",="-0.584**",="-0.582**",="-0.283",="-0.279",="-0.287",="-0.284",="-0.258",="-0.217",="-0.194",="-0.196"
="",="(-1.15)",="(-1.43)",="(-3.49)",="(-3.14)",="(-3.19)",="(-3.16)",="(-1.63)",="(-1.60)",="(-1.64)",="(-1.62)",="(-1.56)",="(-1.26)",="(-1.12)",="(-1.14)"

="z_supportindex",="0.135",="0.0412",="0.311**",="0.283*",="0.298**",="0.295**",="0.0815",="0.0785",="0.0818",="0.0768",="0.190*",="0.166",="0.179",="0.182"
="",="(1.37)",="(0.43)",="(2.96)",="(2.55)",="(2.78)",="(2.74)",="(0.80)",="(0.77)",="(0.80)",="(0.75)",="(1.97)",="(1.65)",="(1.77)",="(1.81)"

="_cons",="0.0159",="0.144*",="0.0461",="0.0434",="-0.0140",="-0.0105",="0.136",="0.135",="0.139",="0.145",="-0.105",="-0.112",="-0.173*",="-0.176*"
="",="(0.22)",="(2.02)",="(0.57)",="(0.51)",="(-0.17)",="(-0.13)",="(1.75)",="(1.74)",="(1.79)",="(1.86)",="(-1.42)",="(-1.45)",="(-2.23)",="(-2.28)"

="N",="288",="288",="284",="284",="284",="284",="284",="284",="284",="284",="284",="284",="284",="284"

="t statistics in parentheses"
="* p<0.05, ** p<0.01, *** p<0.001"
