
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)",="(9)",="(10)",="(11)",="(12)",="(13)",="(14)"
="",="z_va_ela",="z_va_math",="z_va_enr",="z_va_enrela",="z_va_enrmath",="z_va_enrdk",="z_va_2yr",="z_va_2yrela",="z_va_2yrmath",="z_va_2yrdk",="z_va_4yr",="z_va_4yrela",="z_va_4yrmath",="z_va_4yrdk"

="z_climateindex",="0.535***",="0.588***",="0.525***",="0.379***",="0.306***",="0.300***",="0.0769",="0.0633",="0.0878",="0.0776",="0.389***",="0.266**",="0.180*",="0.187*"
="",="(6.75)",="(7.56)",="(6.52)",="(4.63)",="(3.72)",="(3.64)",="(0.93)",="(0.77)",="(1.06)",="(0.94)",="(4.84)",="(3.26)",="(2.19)",="(2.27)"

="z_qualityindex",="-0.300***",="-0.207*",="-0.385***",="-0.303***",="-0.325***",="-0.318***",="-0.234*",="-0.226*",="-0.236*",="-0.226*",="-0.0926",="-0.0193",="-0.0216",="-0.0286"
="",="(-3.45)",="(-2.42)",="(-4.30)",="(-3.32)",="(-3.54)",="(-3.46)",="(-2.56)",="(-2.45)",="(-2.57)",="(-2.45)",="(-1.04)",="(-0.21)",="(-0.24)",="(-0.31)"

="z_supportindex",="0.0291",="-0.0481",="0.0940",="0.0801",="0.101",="0.0987",="0.0578",="0.0563",="0.0572",="0.0535",="0.0217",="0.00962",="0.0262",="0.0285"
="",="(0.49)",="(-0.83)",="(1.57)",="(1.32)",="(1.65)",="(1.61)",="(0.94)",="(0.92)",="(0.93)",="(0.87)",="(0.36)",="(0.16)",="(0.43)",="(0.47)"

="_cons",="0.0587",="0.105**",="0.0279",="0.0116",="-0.0172",="-0.0167",="-0.0528",="-0.0544",="-0.0506",="-0.0500",="0.0821*",="0.0702",="0.0438",="0.0434"
="",="(1.59)",="(2.91)",="(0.74)",="(0.30)",="(-0.45)",="(-0.43)",="(-1.37)",="(-1.41)",="(-1.31)",="(-1.29)",="(2.19)",="(1.84)",="(1.14)",="(1.13)"

="N",="909",="909",="898",="897",="897",="897",="898",="897",="897",="897",="898",="897",="897",="897"

="t statistics in parentheses"
="* p<0.05, ** p<0.01, *** p<0.001"
