="",="Factor 1",="Uniqueness"
="qoi9mean_pooled",=".8985566",=".192596"
="qoi15mean_pooled",=".7958717",=".3665883"
="qoi16mean_pooled",=".9256863",=".1431048"
="qoi17mean_pooled",=".8914221",=".2053667"
="qoi27mean_pooled",=".8678067",=".2469116"
="qoi30mean_pooled",=".8995796",=".1907565"
="qoi31mean_pooled",=".9244836",=".1453301"
="qoi32mean_pooled",=".7636707",=".4168071"
="qoi33mean_pooled",=".8503513",=".2769027"
="qoi34mean_pooled",=".8939698",=".200818"
="qoi64mean_pooled",=".4994188",=".7505808"
