="",="freq",="pct",="cumpct"
="-82",="1",="0.00",="0.00"
="-8",="1327",="3.49",="3.49"
="kindergarten",="3080",="8.09",="11.58"
="1st grade",="3183",="8.36",="19.94"
="2nd grade",="3257",="8.56",="28.50"
="3rd grade",="3346",="8.79",="37.29"
="4th grade",="3457",="9.08",="46.38"
="5th grade",="6658",="17.49",="63.87"
="6th grade",="3022",="7.94",="71.81"
="8th grade",="2042",="5.37",="77.17"
="9th grade",="2410",="6.33",="83.51"
="10th grade",="2273",="5.97",="89.48"
="11th grade",="2168",="5.70",="95.17"
="12th grade",="1513",="3.98",="99.15"
="other",="225",="0.59",="99.74"
="ungraded",="99",="0.26",="100.00"
="Total",="38061",="100.00",=""
="N",="38061",="",=""
