="teacher in grade 4 or below"
="",="freq",="pct",="cumpct"
="Not marked",="26662",="58.42",="58.42"
="Marked",="18980",="41.58",="100.00"
="Total",="45642",="100.00",=""
="teacher in grade 5 or above"
="",="freq",="pct",="cumpct"
="Not marked",="35589",="77.97",="77.97"
="Marked",="10053",="22.03",="100.00"
="Total",="45642",="100.00",=""
="teacher in both above grade 5 and below grade 4"
="",="freq",="pct",="cumpct"
="0",="45132",="98.88",="98.88"
="1",="510",="1.12",="100.00"
="Total",="45642",="100.00",=""
="special education teacher"
="",="freq",="pct",="cumpct"
="Not marked",="41993",="92.01",="92.01"
="Marked",="3649",="7.99",="100.00"
="Total",="45642",="100.00",=""
