cdscode,freq1718
1611190106401,36
1611190111765,94
1611190126656,120
1611190130229,279
1611190132142,176
1611190134304,12
1611196090013,129
1611196090021,185
1611196090039,97
1611196090047,83
1611196090054,203
1611196090112,93
1611196090120,65
1611196100374,154
1611196110779,119
1611276090146,9
1611276090161,103
1611276095376,19
1611276116222,17
1611500132225,4
1611506090351,4
1611506090369,18
1611506090393,24
1611506090419,1
1611506090468,31
1611506090484,64
1611506097653,6
1611506113005,27
1611680132746,41
1611686090492,105
1611920111815,32
1611920133009,13
1611920133629,27
1611920135319,30
1611920138339,21
1611926000889,40
1611926000905,22
1611926000913,9
1611926000921,26
1611926000947,11
1611926000962,9
1611926000988,50
1611926000996,27
1611926001044,54
1611926001051,14
1611926001093,3
1611926001101,40
1611926001127,23
1611926001135,79
1611926001176,84
1611926001192,18
1611926056931,60
1611926056949,25
1611926056956,11
1611926056972,7
1611926062160,138
1611926066476,15
1611926090583,19
1611926104566,46
1611926113815,52
1612596932784,683
1613090000013,2
1613090111799,1
1613090130849,55
1613090137810,24
1613096002505,31
1613096002513,14
1613096002521,29
1613096002539,7
1613096002547,9
1613096002554,15
1613096002562,20
1613096002604,20
1613096002612,5
1613096002620,10
1613096002653,24
1613096002703,74
2613336002794,10
3100330129692,5
3739816002828,11
3739816002844,42
3739816002851,18
3739816002869,3
3739816002877,6
3739816107387,30
3739816107395,35
4614080430827,5
4614086002943,10
4614240120394,114
4614240437558,116
4614246003008,3
4614246003024,1
4614246003073,11
4614246003107,19
4614246057129,25
4614246111116,17
4614246116610,3
4614996003198,52
4615150435602,5
4755070433946,2
4755070433953,23
4755076003156,20
4755076003164,12
4755076003172,19
5100580530048,14
5615560530014,3
5615560530121,3
5615560532507,71
5615640530022,7
5615640531509,53
5615646105431,57
5615726003461,22
5615806003396,34
5615806088975,76
5615806111884,48
6616060133223,2
6616060634758,8
6616066003503,4
6616140635250,55
6616146003511,253
6616146003537,22
6616146103576,36
6616220118729,82
6616220637504,11
6616226003552,25
7616480100461,6
7616480100479,8
7616480106583,1
7616480113761,4
7616480117218,11
7616480730465,19
7616480730861,19
7616486003578,2
7616486003594,2
7616486003602,3
7616486003610,1
7616486003628,7
7616486003636,2
7616486057178,3
7616486061154,3
7616486084941,3
7616486108989,4
7616486110514,1
7616486113104,1
7616486117501,2
7616970737023,21
7616976003685,5
7616976003701,17
7617390730440,1
7617390730473,9
7617390730549,61
7617396003826,35
7617396003834,35
7617396003842,58
7617396003875,136
7617396057186,87
7617540000015,30
7617540106088,28
7617540135822,70
7617540730044,188
7617540730358,17
7617540730416,4
7617540730424,31
7617540731646,281
7617540731836,282
7617540734566,101
7617540734764,14
7617540737809,76
7617546003958,52
7617546003966,140
7617546003974,5
7617546003982,88
7617546004030,94
7617546004048,52
7617546004055,57
7617546004063,233
7617546004097,221
7617546004105,41
7617546004154,160
7617546004162,62
7617546004170,54
7617546004188,193
7617546004196,34
7617546004220,39
7617546004246,173
7617546004253,134
7617546004261,8
7617546004295,155
7617546004303,155
7617546004311,208
7617546004329,57
7617546004337,149
7617546004345,98
7617546004352,155
7617546004360,99
7617546004378,95
7617546004394,59
7617546004402,103
7617546004410,75
7617546096226,42
7617546105357,93
7617546111504,63
7617546112395,165
7617546114904,156
7617880116863,86
7617880125435,42
7617880730184,25
7617880735407,208
7617886004527,58
7617886004535,48
7617886004543,65
7617886004568,32
7617886004576,38
7617886061162,74
7617886084966,52
7617886098578,91
7617886109383,41
7617960730291,18
7617960730325,3
