cdscode,freq1213
.,244
10620426005797,10
10621251031376,332
10621581031954,9
10621581032150,274
10621586115190,164
10622406108328,155
10622651035310,1537
10622811033950,45
10622816006894,39
10623641034990,276
10623646115224,164
10623726007066,31
10739991033430,158
10739996006696,134
10755981030535,235
10755981030543,6
10755986005813,74
12629011234004,185
12768026008148,74
13101321330117,47
13630736008262,387
13630811331354,81
13630811331404,618
13630990112318,293
13630991332154,92
13630991332204,1192
13630996111587,256
13631071332501,132
13631076008395,71
13631151330133,927
13631151333004,797
13631151333558,42
13631316008502,81
13631641335900,489
13631646008569,183
13631986008619,60
13632140120881,15
13632141337609,67
13632146106298,55
13632226008643,25
13632306008650,35
14101401430073,4
14632481431352,14
14632486008692,8
14632711438308,7
14632890113241,8
14632891434901,53
14632896008775,27
14632971436203,14
14632976008791,6
14633056008809,16
14766871430057,30
14766871431600,271
14766876008700,105
15633136008817,123
15633216008841,251
15633216008916,128
15633216008957,221
15633216009005,17
15633216009021,208
15633216009153,175
15633216009179,204
15633216111264,170
15633216114284,20
15633396009229,83
15634046009351,170
15634046115471,216
15634386009435,114
15634610107987,164
15634796104004,238
15635030101014,215
15635036009567,237
15635036112270,284
15635786010003,331
15636936103493,173
15637506010029,237
15637506117717,191
15637926010094,110
15638006010136,159
15638261530245,57
15638261536135,719
15638266057426,484
15739081534155,206
15739086106306,35
15751681530401,97
15751686009468,42
1611190106401,73
1611190122085,131
1611190130229,644
1611190132878,386
1611190134304,81
1611196090054,337
1611196090112,154
1611680132746,108
1612590100701,60
1612590100826,41
1612590100834,52
1612590101063,116
1612590102962,34
1612590106542,13
1612590106559,14
1612590107417,17
1612590110189,75
1612590110361,52
1612590112763,91
1612590112771,101
1612590112789,89
1612590112797,151
1612590112805,98
1612590115626,26
1612590115667,131
1612590118653,97
1612590125161,165
1612590125716,127
1612590130146,98
1612590130179,81
1612590130575,126
1612590132688,151
1612590135905,1035
1612590136051,1365
1612590137943,620
1612596001911,21
1612596056998,149
1612596057004,17
1612596057020,96
1612596057061,180
1612596057079,263
1612596057087,174
1612596057095,166
1612596066450,80
1612596114011,118
1612596118608,40
1612596118640,55
1612596118657,85
1612750130286,22
1612750136515,331
1612756066492,176
17640221735000,509
18640891831601,58
18641056010730,36
18641391833805,428
18641626010789,1
18641706010797,18
18641886010805,10
18641966010813,92
18642041838507,9
18642046010847,18
18750361833409,16
19642871930601,804
19642871936384,251
19642871938166,852
19642876011399,255
19642876011456,184
19642876011472,175
19642876096135,363
19642876110043,64
19643031930775,1095
19643031935618,1327
19643031938190,206
19643031995679,4
19643781931666,794
19643786012116,385
19644441932201,878
19644446057608,438
19644691932482,421
19644696057665,205
19644856012991,834
19644856013015,637
19644856013023,485
19645271932698,125
19645271932706,1292
19645276057681,157
19645276061287,237
19645276061295,249
19645761933597,881
19645761939677,32
19645766057731,309
19645766061329,281
19645920100354,255
19645926013965,172
19645926014021,137
19645926115265,123
19646266014427,33
19646670106070,235
19646670124099,68
19646671996420,310
19646676014740,148
19646676113294,178
19647330100800,78
19647330107011,69
19647330109454,116
19647330112029,118
19647330112037,120
19647330112870,144
19647330117044,70
19647330117051,64
19647330117754,76
19647330121095,178
19647330122275,80
19647330122390,62
19647330124446,40
19647330124453,40
19647330124461,123
19647330124495,86
19647331930650,114
19647331931047,616
19647331931682,47
19647331931716,53
19647331932540,74
19647331933241,93
19647331933795,125
19647331935121,115
19647331937226,122
19647331937838,112
19647331938968,113
19647331939859,120
19647336057897,76
19647336057913,36
