cdscode,freq1112
1611506090351,17
1611506090385,35
1611506090393,10
1611506090401,8
1611506090468,23
1611506097653,72
1611760130138,8
1611760134270,18
1611760134452,12
1611760135244,70
1611760138693,29
1611766056873,21
1611766056881,10
1611766056907,16
1611766056915,29
1611766056923,10
1611766111330,6
1611920133629,43
1612000130492,17
1612000133397,78
1612000134536,54
1612006001242,19
1612006001259,11
1612006001283,10
1612006001291,18
1612006001309,16
1612006001317,29
1612006001341,37
1612006071906,28
1612006085773,41
1612006089338,11
1612006097661,15
1612006110332,17
1612006117543,22
1612340130054,45
1612340135426,10
1612346102917,21
1612590100693,11
1612590100701,16
1612590100792,15
1612590102988,14
1612590106542,9
1612590110189,14
1612590110239,18
1612590110247,19
1612590110254,19
1612590110262,16
1612590112763,26
1612590112771,15
1612590112797,24
1612590112805,10
1612590112813,23
1612590115204,7
1612590115576,6
1612590115584,29
1612590115592,14
1612590115600,16
1612590115618,33
1612590115634,6
1612590115667,22
1612590125161,39
1612590130146,14
1612590130179,9
1612590130575,17
1612590132688,10
1612590135905,67
1612590136051,59
1612590137943,67
1612596001630,21
1612596001648,24
1612596001655,52
1612596001663,18
1612596001689,14
1612596001697,7
1612596001713,10
1612596001739,17
1612596001754,18
1612596001812,12
1612596001820,37
1612596001838,17
1612596001846,22
1612596001853,17
1612596001879,11
1612596001895,7
1612596001903,16
1612596001911,17
1612596001929,18
1612596001945,24
1612596001978,17
1612596001994,29
1612596002018,25
1612596002042,19
1612596002059,26
1612596002075,15
1612596002083,22
1612596002091,10
1612596002117,8
1612596002125,14
1612596002141,17
1612596002174,16
1612596002182,9
1612596002190,27
1612596002216,20
1612596056998,35
1612596057004,13
1612596057012,21
1612596057020,31
1612596057046,10
1612596057061,46
1612596057079,36
1612596057087,36
1612596057095,21
1612596066450,20
1612596072235,15
1612596096523,13
1612596118608,17
1612596118616,12
1612596118640,8
1612596118657,16
1612596120778,8
1612599872012,31
1612910134528,6
1612916002372,8
1612916002422,19
1612916002430,12
1612916002448,13
1612916057111,11
1612916066518,43
1613090137810,25
1613096002562,17
1750930108571,46
1750930132704,74
1750930138453,9
1750936066484,31
1751010130096,80
1751010130252,21
1751010130583,110
1751016001366,49
1751016001416,30
1751016002315,13
1751016002323,46
1751016002349,34
1751016002356,40
1751016066500,66
1751016089361,35
1751016108971,56
1751016114318,17
1751016117592,70
1751016117600,49
1766530120931,6
2613336002794,7
4614080430827,11
4614086002943,5
4614326003115,6
4615150435602,60
4615230110510,5
4615236003297,8
4615490102327,12
4615496003354,22
4615496003362,13
4615496003370,19
4755070433946,5
4755076003164,21
4755076003172,10
5615560532507,34
5615640531509,29
5615646105431,15
6615980631259,6
6615986057152,7
6616140635250,9
7616300730283,73
7616300731125,41
7616300733725,53
7616300734244,29
7616480100461,10
7616480110494,14
7616480113761,6
7616480117218,25
7616480730101,6
7616480730259,27
7616486003594,8
7616486003610,12
7616486003628,7
7616486003636,7
7616486084941,11
7616486108989,14
7616486115380,7
7616486117501,13
7616550102376,40
7616550108019,28
7616550110528,64
7616556003644,36
7616556003651,36
7616556070981,41
7616556109730,26
7616556112718,39
7616556117410,25
7616556119754,18
7617210107797,82
7617210730457,69
7617210733980,75
7617210733998,10
7617540731646,90
7617540734566,79
7617540737809,72
7617960730598,76
7617960732164,50
7617960732941,63
7617960733253,16
7617960733659,56
7617960735316,36
7617960735902,22
7618040102566,41
7618040108324,21
7618040109173,54
7618040113118,116
7618040113589,7
7618040116541,36
7618040730051,37
7618040734368,62
7618040736819,12
7618046005110,37
7618046005128,11
7618046005136,6
7618046089130,22
7618046097166,8
7618046100952,33
7618046108161,33
7618046110449,16
7618046113336,44
7618046117485,41
7618126005185,33
7618126005193,22
7618126005235,45
7618126005243,13
8100820830059,13
8618200833004,28
8618206005391,13
8618206005441,7
9618380100024,18
9618386005466,18
9618386005474,20
9618386096614,27
9618386107361,21
9618386110456,28
9618386112361,22
9619030930040,5
9619030937805,37
9619526005649,22
9619526005656,8
9619526005664,13
9619780101519,11
9619786005714,6
9619786103527,22
9619786109441,7
9737830930073,18
9737836005490,23
9737836005623,19
10101080119628,16
10101081030899,7
10101081030923,17
10621096005839,18
10622651035310,41
11625966007454,10
11626386007504,7
11626611130038,24
11626616007611,9
11765621133701,11
