
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)",="(9)",="(10)",="(11)"
="",="va_2yrdk",="va_2yrdk",="va_2yrdk",="va_2yrdk",="va_2yrdk",="va_2yrdk",="va_2yrdk",="va_2yrdk",="va_2yrdk",="va_2yrdk",="va_2yrdk"

="qoi9mean_pooled",="0.0228",="",="",="",="",="",="",="",="",="",=""
="",="(1.89)",="",="",="",="",="",="",="",="",="",=""

="qoi15mean_pooled",="",="0.0118",="",="",="",="",="",="",="",="",=""
="",="",="(1.20)",="",="",="",="",="",="",="",="",=""

="qoi16mean_pooled",="",="",="0.0134",="",="",="",="",="",="",="",=""
="",="",="",="(1.26)",="",="",="",="",="",="",="",=""

="qoi17mean_pooled",="",="",="",="0.0170",="",="",="",="",="",="",=""
="",="",="",="",="(1.40)",="",="",="",="",="",="",=""

="qoi27mean_pooled",="",="",="",="",="0.0129",="",="",="",="",="",=""
="",="",="",="",="",="(1.08)",="",="",="",="",="",=""

="qoi30mean_pooled",="",="",="",="",="",="0.0203",="",="",="",="",=""
="",="",="",="",="",="",="(1.89)",="",="",="",="",=""

="qoi31mean_pooled",="",="",="",="",="",="",="0.0134",="",="",="",=""
="",="",="",="",="",="",="",="(1.26)",="",="",="",=""

="qoi32mean_pooled",="",="",="",="",="",="",="",="0.0155",="",="",=""
="",="",="",="",="",="",="",="",="(1.26)",="",="",=""

="qoi33mean_pooled",="",="",="",="",="",="",="",="",="0.0208",="",=""
="",="",="",="",="",="",="",="",="",="(1.54)",="",=""

="qoi34mean_pooled",="",="",="",="",="",="",="",="",="",="0.0241",=""
="",="",="",="",="",="",="",="",="",="",="(1.93)",=""

="qoi64mean_pooled",="",="",="",="",="",="",="",="",="",="",="0.0107"
="",="",="",="",="",="",="",="",="",="",="",="(1.14)"

="_cons",="-0.0270",="-0.00964",="-0.0113",="-0.0186",="-0.0104",="-0.0258",="-0.0117",="-0.0128",="-0.0236",="-0.0317",="-0.00633"
="",="(-1.23)",="(-0.48)",="(-0.56)",="(-0.79)",="(-0.46)",="(-1.21)",="(-0.57)",="(-0.54)",="(-0.96)",="(-1.33)",="(-0.35)"

="N",="386",="385",="386",="386",="386",="342",="386",="314",="386",="341",="383"

="t statistics in parentheses"
="* p<0.05, ** p<0.01, *** p<0.001"
