
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)",="(9)",="(10)",="(11)"
="",="va_2yrela",="va_2yrela",="va_2yrela",="va_2yrela",="va_2yrela",="va_2yrela",="va_2yrela",="va_2yrela",="va_2yrela",="va_2yrela",="va_2yrela"

="qoi9mean_pooled",="0.0247*",="",="",="",="",="",="",="",="",="",=""
="",="(2.03)",="",="",="",="",="",="",="",="",="",=""

="qoi15mean_pooled",="",="0.0126",="",="",="",="",="",="",="",="",=""
="",="",="(1.28)",="",="",="",="",="",="",="",="",=""

="qoi16mean_pooled",="",="",="0.0147",="",="",="",="",="",="",="",=""
="",="",="",="(1.36)",="",="",="",="",="",="",="",=""

="qoi17mean_pooled",="",="",="",="0.0176",="",="",="",="",="",="",=""
="",="",="",="",="(1.43)",="",="",="",="",="",="",=""

="qoi27mean_pooled",="",="",="",="",="0.0141",="",="",="",="",="",=""
="",="",="",="",="",="(1.17)",="",="",="",="",="",=""

="qoi30mean_pooled",="",="",="",="",="",="0.0220*",="",="",="",="",=""
="",="",="",="",="",="",="(2.05)",="",="",="",="",=""

="qoi31mean_pooled",="",="",="",="",="",="",="0.0144",="",="",="",=""
="",="",="",="",="",="",="",="(1.34)",="",="",="",=""

="qoi32mean_pooled",="",="",="",="",="",="",="",="0.0171",="",="",=""
="",="",="",="",="",="",="",="",="(1.38)",="",="",=""

="qoi33mean_pooled",="",="",="",="",="",="",="",="",="0.0225",="",=""
="",="",="",="",="",="",="",="",="",="(1.66)",="",=""

="qoi34mean_pooled",="",="",="",="",="",="",="",="",="",="0.0260*",=""
="",="",="",="",="",="",="",="",="",="",="(2.07)",=""

="qoi64mean_pooled",="",="",="",="",="",="",="",="",="",="",="0.0120"
="",="",="",="",="",="",="",="",="",="",="",="(1.27)"

="_cons",="-0.0302",="-0.0113",="-0.0136",="-0.0195",="-0.0127",="-0.0293",="-0.0135",="-0.0159",="-0.0267",="-0.0353",="-0.00871"
="",="(-1.37)",="(-0.56)",="(-0.67)",="(-0.83)",="(-0.55)",="(-1.36)",="(-0.65)",="(-0.66)",="(-1.08)",="(-1.47)",="(-0.48)"

="N",="386",="385",="386",="386",="386",="342",="386",="314",="386",="341",="383"

="t statistics in parentheses"
="* p<0.05, ** p<0.01, *** p<0.001"
