
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)",="(9)",="(10)",="(11)"
="",="va_enrdk",="va_enrdk",="va_enrdk",="va_enrdk",="va_enrdk",="va_enrdk",="va_enrdk",="va_enrdk",="va_enrdk",="va_enrdk",="va_enrdk"

="qoi9mean_pooled",="0.0100",="",="",="",="",="",="",="",="",="",=""
="",="(1.06)",="",="",="",="",="",="",="",="",="",=""

="qoi15mean_pooled",="",="0.00288",="",="",="",="",="",="",="",="",=""
="",="",="(0.37)",="",="",="",="",="",="",="",="",=""

="qoi16mean_pooled",="",="",="0.00601",="",="",="",="",="",="",="",=""
="",="",="",="(0.72)",="",="",="",="",="",="",="",=""

="qoi17mean_pooled",="",="",="",="0.0176",="",="",="",="",="",="",=""
="",="",="",="",="(1.85)",="",="",="",="",="",="",=""

="qoi27mean_pooled",="",="",="",="",="0.0142",="",="",="",="",="",=""
="",="",="",="",="",="(1.53)",="",="",="",="",="",=""

="qoi30mean_pooled",="",="",="",="",="",="0.00119",="",="",="",="",=""
="",="",="",="",="",="",="(0.14)",="",="",="",="",=""

="qoi31mean_pooled",="",="",="",="",="",="",="0.00350",="",="",="",=""
="",="",="",="",="",="",="",="(0.42)",="",="",="",=""

="qoi32mean_pooled",="",="",="",="",="",="",="",="0.0144",="",="",=""
="",="",="",="",="",="",="",="",="(1.51)",="",="",=""

="qoi33mean_pooled",="",="",="",="",="",="",="",="",="0.0247*",="",=""
="",="",="",="",="",="",="",="",="",="(2.35)",="",=""

="qoi34mean_pooled",="",="",="",="",="",="",="",="",="",="0.00136",=""
="",="",="",="",="",="",="",="",="",="",="(0.14)",=""

="qoi64mean_pooled",="",="",="",="",="",="",="",="",="",="",="-0.00668"
="",="",="",="",="",="",="",="",="",="",="",="(-0.91)"

="_cons",="-0.0175",="-0.00547",="-0.0109",="-0.0331",="-0.0264",="-0.000472",="-0.00625",="-0.0237",="-0.0441*",="-0.000766",="0.0133"
="",="(-1.02)",="(-0.35)",="(-0.68)",="(-1.81)",="(-1.49)",="(-0.03)",="(-0.39)",="(-1.29)",="(-2.31)",="(-0.04)",="(0.94)"

="N",="386",="385",="386",="386",="386",="342",="386",="314",="386",="341",="383"

="t statistics in parentheses"
="* p<0.05, ** p<0.01, *** p<0.001"
