
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)",="(9)",="(10)",="(11)"
="",="va_enrmath",="va_enrmath",="va_enrmath",="va_enrmath",="va_enrmath",="va_enrmath",="va_enrmath",="va_enrmath",="va_enrmath",="va_enrmath",="va_enrmath"

="qoi9mean_pooled",="0.0103",="",="",="",="",="",="",="",="",="",=""
="",="(1.08)",="",="",="",="",="",="",="",="",="",=""

="qoi15mean_pooled",="",="0.00288",="",="",="",="",="",="",="",="",=""
="",="",="(0.37)",="",="",="",="",="",="",="",="",=""

="qoi16mean_pooled",="",="",="0.00601",="",="",="",="",="",="",="",=""
="",="",="",="(0.72)",="",="",="",="",="",="",="",=""

="qoi17mean_pooled",="",="",="",="0.0176",="",="",="",="",="",="",=""
="",="",="",="",="(1.85)",="",="",="",="",="",="",=""

="qoi27mean_pooled",="",="",="",="",="0.0143",="",="",="",="",="",=""
="",="",="",="",="",="(1.54)",="",="",="",="",="",=""

="qoi30mean_pooled",="",="",="",="",="",="0.00145",="",="",="",="",=""
="",="",="",="",="",="",="(0.18)",="",="",="",="",=""

="qoi31mean_pooled",="",="",="",="",="",="",="0.00354",="",="",="",=""
="",="",="",="",="",="",="",="(0.42)",="",="",="",=""

="qoi32mean_pooled",="",="",="",="",="",="",="",="0.0149",="",="",=""
="",="",="",="",="",="",="",="",="(1.56)",="",="",=""

="qoi33mean_pooled",="",="",="",="",="",="",="",="",="0.0250*",="",=""
="",="",="",="",="",="",="",="",="",="(2.38)",="",=""

="qoi34mean_pooled",="",="",="",="",="",="",="",="",="",="0.00158",=""
="",="",="",="",="",="",="",="",="",="",="(0.16)",=""

="qoi64mean_pooled",="",="",="",="",="",="",="",="",="",="",="-0.00638"
="",="",="",="",="",="",="",="",="",="",="",="(-0.87)"

="_cons",="-0.0180",="-0.00549",="-0.0109",="-0.0331",="-0.0266",="-0.00101",="-0.00636",="-0.0248",="-0.0447*",="-0.00123",="0.0127"
="",="(-1.05)",="(-0.35)",="(-0.68)",="(-1.81)",="(-1.50)",="(-0.06)",="(-0.39)",="(-1.35)",="(-2.33)",="(-0.07)",="(0.90)"

="N",="386",="385",="386",="386",="386",="342",="386",="314",="386",="341",="383"

="t statistics in parentheses"
="* p<0.05, ** p<0.01, *** p<0.001"
