
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)",="(9)",="(10)",="(11)"
="",="va_enr",="va_enr",="va_enr",="va_enr",="va_enr",="va_enr",="va_enr",="va_enr",="va_enr",="va_enr",="va_enr"

="qoi9mean_pooled",="-0.000974",="",="",="",="",="",="",="",="",="",=""
="",="(-0.09)",="",="",="",="",="",="",="",="",="",=""

="qoi15mean_pooled",="",="-0.00370",="",="",="",="",="",="",="",="",=""
="",="",="(-0.43)",="",="",="",="",="",="",="",="",=""

="qoi16mean_pooled",="",="",="-0.00373",="",="",="",="",="",="",="",=""
="",="",="",="(-0.40)",="",="",="",="",="",="",="",=""

="qoi17mean_pooled",="",="",="",="0.0149",="",="",="",="",="",="",=""
="",="",="",="",="(1.40)",="",="",="",="",="",="",=""

="qoi27mean_pooled",="",="",="",="",="0.00735",="",="",="",="",="",=""
="",="",="",="",="",="(0.71)",="",="",="",="",="",=""

="qoi30mean_pooled",="",="",="",="",="",="-0.00962",="",="",="",="",=""
="",="",="",="",="",="",="(-1.04)",="",="",="",="",=""

="qoi31mean_pooled",="",="",="",="",="",="",="-0.00361",="",="",="",=""
="",="",="",="",="",="",="",="(-0.39)",="",="",="",=""

="qoi32mean_pooled",="",="",="",="",="",="",="",="0.00892",="",="",=""
="",="",="",="",="",="",="",="",="(0.84)",="",="",=""

="qoi33mean_pooled",="",="",="",="",="",="",="",="",="0.0167",="",=""
="",="",="",="",="",="",="",="",="",="(1.42)",="",=""

="qoi34mean_pooled",="",="",="",="",="",="",="",="",="",="-0.0104",=""
="",="",="",="",="",="",="",="",="",="",="(-0.97)",=""

="qoi64mean_pooled",="",="",="",="",="",="",="",="",="",="",="-0.0141"
="",="",="",="",="",="",="",="",="",="",="",="(-1.71)"

="_cons",="0.00195",="0.00735",="0.00722",="-0.0282",="-0.0137",="0.0207",="0.00710",="-0.0130",="-0.0299",="0.0215",="0.0269"
="",="(0.10)",="(0.42)",="(0.41)",="(-1.37)",="(-0.69)",="(1.12)",="(0.39)",="(-0.63)",="(-1.40)",="(1.05)",="(1.70)"

="N",="387",="386",="387",="387",="387",="343",="387",="314",="387",="342",="384"

="t statistics in parentheses"
="* p<0.05, ** p<0.01, *** p<0.001"
