
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)",="(9)",="(10)",="(11)"
="",="va_math",="va_math",="va_math",="va_math",="va_math",="va_math",="va_math",="va_math",="va_math",="va_math",="va_math"

="qoi9mean_pooled",="-0.0503*",="",="",="",="",="",="",="",="",="",=""
="",="(-2.10)",="",="",="",="",="",="",="",="",="",=""

="qoi15mean_pooled",="",="-0.0162",="",="",="",="",="",="",="",="",=""
="",="",="(-0.84)",="",="",="",="",="",="",="",="",=""

="qoi16mean_pooled",="",="",="-0.0429*",="",="",="",="",="",="",="",=""
="",="",="",="(-2.04)",="",="",="",="",="",="",="",=""

="qoi17mean_pooled",="",="",="",="0.0121",="",="",="",="",="",="",=""
="",="",="",="",="(0.50)",="",="",="",="",="",="",=""

="qoi27mean_pooled",="",="",="",="",="-0.0194",="",="",="",="",="",=""
="",="",="",="",="",="(-0.83)",="",="",="",="",="",=""

="qoi30mean_pooled",="",="",="",="",="",="-0.0519*",="",="",="",="",=""
="",="",="",="",="",="",="(-2.50)",="",="",="",="",=""

="qoi31mean_pooled",="",="",="",="",="",="",="-0.0220",="",="",="",=""
="",="",="",="",="",="",="",="(-1.04)",="",="",="",=""

="qoi32mean_pooled",="",="",="",="",="",="",="",="-0.00571",="",="",=""
="",="",="",="",="",="",="",="",="(-0.23)",="",="",=""

="qoi33mean_pooled",="",="",="",="",="",="",="",="",="-0.0255",="",=""
="",="",="",="",="",="",="",="",="",="(-0.96)",="",=""

="qoi34mean_pooled",="",="",="",="",="",="",="",="",="",="-0.0479*",=""
="",="",="",="",="",="",="",="",="",="",="(-2.00)",=""

="qoi64mean_pooled",="",="",="",="",="",="",="",="",="",="",="-0.0329"
="",="",="",="",="",="",="",="",="",="",="",="(-1.78)"

="_cons",="0.0827",="0.0247",="0.0734",="-0.0301",="0.0294",="0.0944*",="0.0346",="0.00570",="0.0386",="0.0835",="0.0541"
="",="(1.91)",="(0.63)",="(1.84)",="(-0.65)",="(0.66)",="(2.29)",="(0.85)",="(0.12)",="(0.80)",="(1.83)",="(1.53)"

="N",="395",="394",="395",="395",="395",="351",="395",="321",="395",="350",="392"

="t statistics in parentheses"
="* p<0.05, ** p<0.01, *** p<0.001"
