
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)",="(9)",="(10)",="(11)",="(12)",="(13)",="(14)",="(15)",="(16)",="(17)",="(18)",="(19)"
="",="va_2yrela",="va_2yrela",="va_2yrela",="va_2yrela",="va_2yrela",="va_2yrela",="va_2yrela",="va_2yrela",="va_2yrela",="va_2yrela",="va_2yrela",="va_2yrela",="va_2yrela",="va_2yrela",="va_2yrela",="va_2yrela",="va_2yrela",="va_2yrela",="va_2yrela"

="qoi22mean_pooled",="0.0501***",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="",="(3.98)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""

="qoi23mean_pooled",="",="0.000759",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="",="",="(0.07)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""

="qoi24mean_pooled",="",="",="-0.00431",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="",="",="",="(-0.35)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""

="qoi25mean_pooled",="",="",="",="-0.0338**",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="",="",="",="",="(-3.13)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""

="qoi26mean_pooled",="",="",="",="",="-0.00250",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="",="",="",="",="",="(-0.29)",="",="",="",="",="",="",="",="",="",="",="",="",="",=""

="qoi27mean_pooled",="",="",="",="",="",="-0.0110*",="",="",="",="",="",="",="",="",="",="",="",="",=""
="",="",="",="",="",="",="(-2.05)",="",="",="",="",="",="",="",="",="",="",="",="",=""

="qoi28mean_pooled",="",="",="",="",="",="",="-0.0598***",="",="",="",="",="",="",="",="",="",="",="",=""
="",="",="",="",="",="",="",="(-5.70)",="",="",="",="",="",="",="",="",="",="",="",=""

="qoi29mean_pooled",="",="",="",="",="",="",="",="-0.0616***",="",="",="",="",="",="",="",="",="",="",=""
="",="",="",="",="",="",="",="",="(-5.04)",="",="",="",="",="",="",="",="",="",="",=""

="qoi30mean_pooled",="",="",="",="",="",="",="",="",="-0.0485***",="",="",="",="",="",="",="",="",="",=""
="",="",="",="",="",="",="",="",="",="(-4.32)",="",="",="",="",="",="",="",="",="",=""

="qoi31mean_pooled",="",="",="",="",="",="",="",="",="",="0.0146",="",="",="",="",="",="",="",="",=""
="",="",="",="",="",="",="",="",="",="",="(0.81)",="",="",="",="",="",="",="",="",=""

="qoi32mean_pooled",="",="",="",="",="",="",="",="",="",="",="-0.0535***",="",="",="",="",="",="",="",=""
="",="",="",="",="",="",="",="",="",="",="",="(-3.36)",="",="",="",="",="",="",="",=""

="qoi33mean_pooled",="",="",="",="",="",="",="",="",="",="",="",="-0.0196",="",="",="",="",="",="",=""
="",="",="",="",="",="",="",="",="",="",="",="",="(-0.97)",="",="",="",="",="",="",=""

="qoi34mean_pooled",="",="",="",="",="",="",="",="",="",="",="",="",="-0.00851",="",="",="",="",="",=""
="",="",="",="",="",="",="",="",="",="",="",="",="",="(-0.44)",="",="",="",="",="",=""

="qoi35mean_pooled",="",="",="",="",="",="",="",="",="",="",="",="",="",="-0.0449**",="",="",="",="",=""
="",="",="",="",="",="",="",="",="",="",="",="",="",="",="(-2.87)",="",="",="",="",=""

="qoi36mean_pooled",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="-0.0510**",="",="",="",=""
="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="(-2.92)",="",="",="",=""

="qoi37mean_pooled",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="-0.0622***",="",="",=""
="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="(-3.72)",="",="",=""

="qoi38mean_pooled",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="-0.0263",="",=""
="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="(-1.48)",="",=""

="qoi39mean_pooled",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="-0.0353*",=""
="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="(-2.43)",=""

="qoi40mean_pooled",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="-0.0775***"
="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="(-4.21)"

="_cons",="-0.175***",="-0.000431",="0.0169",="0.119**",="0.0112",="0.0380*",="0.200***",="0.212***",="0.163***",="-0.0566",="0.193***",="0.0774",="0.0363",="0.123**",="0.147**",="0.167***",="0.0829",="0.102*",="0.230***"
="",="(-3.92)",="(-0.01)",="(0.41)",="(3.18)",="(0.36)",="(2.17)",="(5.76)",="(5.09)",="(4.38)",="(-0.77)",="(3.40)",="(1.00)",="(0.47)",="(2.91)",="(2.96)",="(3.76)",="(1.52)",="(2.48)",="(4.24)"

="N",="895",="895",="895",="895",="895",="877",="877",="877",="877",="895",="895",="895",="895",="895",="895",="895",="895",="895",="895"

="t statistics in parentheses"
="* p<0.05, ** p<0.01, *** p<0.001"
