
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)",="(9)",="(10)",="(11)",="(12)",="(13)",="(14)",="(15)",="(16)",="(17)",="(18)",="(19)"
="",="va_2yr",="va_2yr",="va_2yr",="va_2yr",="va_2yr",="va_2yr",="va_2yr",="va_2yr",="va_2yr",="va_2yr",="va_2yr",="va_2yr",="va_2yr",="va_2yr",="va_2yr",="va_2yr",="va_2yr",="va_2yr",="va_2yr"

="qoi22mean_pooled",="0.0523***",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="",="(4.17)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""

="qoi23mean_pooled",="",="0.00225",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="",="",="(0.22)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""

="qoi24mean_pooled",="",="",="-0.00271",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="",="",="",="(-0.22)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""

="qoi25mean_pooled",="",="",="",="-0.0322**",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="",="",="",="",="(-3.02)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""

="qoi26mean_pooled",="",="",="",="",="-0.00122",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="",="",="",="",="",="(-0.14)",="",="",="",="",="",="",="",="",="",="",="",="",="",=""

="qoi27mean_pooled",="",="",="",="",="",="-0.0100",="",="",="",="",="",="",="",="",="",="",="",="",=""
="",="",="",="",="",="",="(-1.87)",="",="",="",="",="",="",="",="",="",="",="",="",=""

="qoi28mean_pooled",="",="",="",="",="",="",="-0.0578***",="",="",="",="",="",="",="",="",="",="",="",=""
="",="",="",="",="",="",="",="(-5.51)",="",="",="",="",="",="",="",="",="",="",="",=""

="qoi29mean_pooled",="",="",="",="",="",="",="",="-0.0591***",="",="",="",="",="",="",="",="",="",="",=""
="",="",="",="",="",="",="",="",="(-4.84)",="",="",="",="",="",="",="",="",="",="",=""

="qoi30mean_pooled",="",="",="",="",="",="",="",="",="-0.0465***",="",="",="",="",="",="",="",="",="",=""
="",="",="",="",="",="",="",="",="",="(-4.15)",="",="",="",="",="",="",="",="",="",=""

="qoi31mean_pooled",="",="",="",="",="",="",="",="",="",="0.0168",="",="",="",="",="",="",="",="",=""
="",="",="",="",="",="",="",="",="",="",="(0.93)",="",="",="",="",="",="",="",="",=""

="qoi32mean_pooled",="",="",="",="",="",="",="",="",="",="",="-0.0515**",="",="",="",="",="",="",="",=""
="",="",="",="",="",="",="",="",="",="",="",="(-3.25)",="",="",="",="",="",="",="",=""

="qoi33mean_pooled",="",="",="",="",="",="",="",="",="",="",="",="-0.0161",="",="",="",="",="",="",=""
="",="",="",="",="",="",="",="",="",="",="",="",="(-0.81)",="",="",="",="",="",="",=""

="qoi34mean_pooled",="",="",="",="",="",="",="",="",="",="",="",="",="-0.00538",="",="",="",="",="",=""
="",="",="",="",="",="",="",="",="",="",="",="",="",="(-0.28)",="",="",="",="",="",=""

="qoi35mean_pooled",="",="",="",="",="",="",="",="",="",="",="",="",="",="-0.0446**",="",="",="",="",=""
="",="",="",="",="",="",="",="",="",="",="",="",="",="",="(-2.88)",="",="",="",="",=""

="qoi36mean_pooled",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="-0.0497**",="",="",="",=""
="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="(-2.88)",="",="",="",=""

="qoi37mean_pooled",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="-0.0625***",="",="",=""
="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="(-3.78)",="",="",=""

="qoi38mean_pooled",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="-0.0252",="",=""
="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="(-1.44)",="",=""

="qoi39mean_pooled",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="-0.0345*",=""
="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="(-2.39)",=""

="qoi40mean_pooled",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="-0.0752***"
="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="(-4.13)"

="_cons",="-0.183***",="-0.00549",="0.0116",="0.113**",="0.00677",="0.0350*",="0.193***",="0.203***",="0.157***",="-0.0654",="0.186**",="0.0644",="0.0239",="0.122**",="0.143**",="0.168***",="0.0797",="0.100*",="0.223***"
="",="(-4.11)",="(-0.16)",="(0.28)",="(3.08)",="(0.22)",="(2.00)",="(5.57)",="(4.89)",="(4.21)",="(-0.90)",="(3.29)",="(0.84)",="(0.31)",="(2.93)",="(2.93)",="(3.83)",="(1.48)",="(2.45)",="(4.18)"

="N",="896",="896",="896",="896",="896",="877",="877",="877",="877",="896",="896",="896",="896",="896",="896",="896",="896",="896",="896"

="t statistics in parentheses"
="* p<0.05, ** p<0.01, *** p<0.001"
