
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)",="(9)",="(10)",="(11)",="(12)",="(13)",="(14)",="(15)",="(16)",="(17)",="(18)",="(19)"
="",="va_4yrdk",="va_4yrdk",="va_4yrdk",="va_4yrdk",="va_4yrdk",="va_4yrdk",="va_4yrdk",="va_4yrdk",="va_4yrdk",="va_4yrdk",="va_4yrdk",="va_4yrdk",="va_4yrdk",="va_4yrdk",="va_4yrdk",="va_4yrdk",="va_4yrdk",="va_4yrdk",="va_4yrdk"

="qoi22mean_pooled",="0.0384**",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="",="(3.20)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""

="qoi23mean_pooled",="",="0.0313**",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="",="",="(3.27)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""

="qoi24mean_pooled",="",="",="0.0460***",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="",="",="",="(4.00)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""

="qoi25mean_pooled",="",="",="",="0.0140",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="",="",="",="",="(1.36)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""

="qoi26mean_pooled",="",="",="",="",="0.0231**",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="",="",="",="",="",="(2.81)",="",="",="",="",="",="",="",="",="",="",="",="",="",=""

="qoi27mean_pooled",="",="",="",="",="",="0.0137**",="",="",="",="",="",="",="",="",="",="",="",="",=""
="",="",="",="",="",="",="(2.68)",="",="",="",="",="",="",="",="",="",="",="",="",=""

="qoi28mean_pooled",="",="",="",="",="",="",="0.0452***",="",="",="",="",="",="",="",="",="",="",="",=""
="",="",="",="",="",="",="",="(4.50)",="",="",="",="",="",="",="",="",="",="",="",=""

="qoi29mean_pooled",="",="",="",="",="",="",="",="0.0737***",="",="",="",="",="",="",="",="",="",="",=""
="",="",="",="",="",="",="",="",="(6.40)",="",="",="",="",="",="",="",="",="",="",=""

="qoi30mean_pooled",="",="",="",="",="",="",="",="",="0.0449***",="",="",="",="",="",="",="",="",="",=""
="",="",="",="",="",="",="",="",="",="(4.20)",="",="",="",="",="",="",="",="",="",=""

="qoi31mean_pooled",="",="",="",="",="",="",="",="",="",="0.0692***",="",="",="",="",="",="",="",="",=""
="",="",="",="",="",="",="",="",="",="",="(4.05)",="",="",="",="",="",="",="",="",=""

="qoi32mean_pooled",="",="",="",="",="",="",="",="",="",="",="0.0970***",="",="",="",="",="",="",="",=""
="",="",="",="",="",="",="",="",="",="",="",="(6.55)",="",="",="",="",="",="",="",=""

="qoi33mean_pooled",="",="",="",="",="",="",="",="",="",="",="",="0.0910***",="",="",="",="",="",="",=""
="",="",="",="",="",="",="",="",="",="",="",="",="(4.83)",="",="",="",="",="",="",=""

="qoi34mean_pooled",="",="",="",="",="",="",="",="",="",="",="",="",="0.0591**",="",="",="",="",="",=""
="",="",="",="",="",="",="",="",="",="",="",="",="",="(3.25)",="",="",="",="",="",=""

="qoi35mean_pooled",="",="",="",="",="",="",="",="",="",="",="",="",="",="0.0383*",="",="",="",="",=""
="",="",="",="",="",="",="",="",="",="",="",="",="",="",="(2.57)",="",="",="",="",=""

="qoi36mean_pooled",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="0.0492**",="",="",="",=""
="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="(2.96)",="",="",="",=""

="qoi37mean_pooled",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="0.0458**",="",="",=""
="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="(2.87)",="",="",=""

="qoi38mean_pooled",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="0.0194",="",=""
="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="(1.15)",="",=""

="qoi39mean_pooled",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="0.0467***",=""
="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="(3.39)",=""

="qoi40mean_pooled",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="0.0812***"
="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="(4.65)"

="_cons",="-0.140**",="-0.113***",="-0.161***",="-0.0525",="-0.0874**",="-0.0487**",="-0.154***",="-0.255***",="-0.153***",="-0.283***",="-0.350***",="-0.354***",="-0.241***",="-0.107**",="-0.143**",="-0.125**",="-0.0638",="-0.137***",="-0.243***"
="",="(-3.29)",="(-3.39)",="(-4.10)",="(-1.48)",="(-2.94)",="(-2.93)",="(-4.63)",="(-6.50)",="(-4.32)",="(-4.11)",="(-6.62)",="(-4.89)",="(-3.30)",="(-2.67)",="(-3.05)",="(-2.97)",="(-1.23)",="(-3.49)",="(-4.73)"

="N",="895",="895",="895",="895",="895",="877",="877",="877",="877",="895",="895",="895",="895",="895",="895",="895",="895",="895",="895"

="t statistics in parentheses"
="* p<0.05, ** p<0.01, *** p<0.001"
