
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)",="(9)",="(10)",="(11)",="(12)",="(13)",="(14)",="(15)",="(16)",="(17)",="(18)",="(19)"
="",="va_4yrmath",="va_4yrmath",="va_4yrmath",="va_4yrmath",="va_4yrmath",="va_4yrmath",="va_4yrmath",="va_4yrmath",="va_4yrmath",="va_4yrmath",="va_4yrmath",="va_4yrmath",="va_4yrmath",="va_4yrmath",="va_4yrmath",="va_4yrmath",="va_4yrmath",="va_4yrmath",="va_4yrmath"

="qoi22mean_pooled",="0.0382**",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="",="(3.18)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""

="qoi23mean_pooled",="",="0.0311**",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="",="",="(3.25)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""

="qoi24mean_pooled",="",="",="0.0459***",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="",="",="",="(3.98)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""

="qoi25mean_pooled",="",="",="",="0.0137",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="",="",="",="",="(1.32)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""

="qoi26mean_pooled",="",="",="",="",="0.0228**",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="",="",="",="",="",="(2.76)",="",="",="",="",="",="",="",="",="",="",="",="",="",=""

="qoi27mean_pooled",="",="",="",="",="",="0.0134**",="",="",="",="",="",="",="",="",="",="",="",="",=""
="",="",="",="",="",="",="(2.61)",="",="",="",="",="",="",="",="",="",="",="",="",=""

="qoi28mean_pooled",="",="",="",="",="",="",="0.0444***",="",="",="",="",="",="",="",="",="",="",="",=""
="",="",="",="",="",="",="",="(4.41)",="",="",="",="",="",="",="",="",="",="",="",=""

="qoi29mean_pooled",="",="",="",="",="",="",="",="0.0730***",="",="",="",="",="",="",="",="",="",="",=""
="",="",="",="",="",="",="",="",="(6.32)",="",="",="",="",="",="",="",="",="",="",=""

="qoi30mean_pooled",="",="",="",="",="",="",="",="",="0.0442***",="",="",="",="",="",="",="",="",="",=""
="",="",="",="",="",="",="",="",="",="(4.14)",="",="",="",="",="",="",="",="",="",=""

="qoi31mean_pooled",="",="",="",="",="",="",="",="",="",="0.0686***",="",="",="",="",="",="",="",="",=""
="",="",="",="",="",="",="",="",="",="",="(4.00)",="",="",="",="",="",="",="",="",=""

="qoi32mean_pooled",="",="",="",="",="",="",="",="",="",="",="0.0962***",="",="",="",="",="",="",="",=""
="",="",="",="",="",="",="",="",="",="",="",="(6.47)",="",="",="",="",="",="",="",=""

="qoi33mean_pooled",="",="",="",="",="",="",="",="",="",="",="",="0.0899***",="",="",="",="",="",="",=""
="",="",="",="",="",="",="",="",="",="",="",="",="(4.77)",="",="",="",="",="",="",=""

="qoi34mean_pooled",="",="",="",="",="",="",="",="",="",="",="",="",="0.0574**",="",="",="",="",="",=""
="",="",="",="",="",="",="",="",="",="",="",="",="",="(3.15)",="",="",="",="",="",=""

="qoi35mean_pooled",="",="",="",="",="",="",="",="",="",="",="",="",="",="0.0392**",="",="",="",="",=""
="",="",="",="",="",="",="",="",="",="",="",="",="",="",="(2.63)",="",="",="",="",=""

="qoi36mean_pooled",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="0.0497**",="",="",="",=""
="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="(2.99)",="",="",="",=""

="qoi37mean_pooled",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="0.0477**",="",="",=""
="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="(2.99)",="",="",=""

="qoi38mean_pooled",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="0.0193",="",=""
="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="(1.15)",="",=""

="qoi39mean_pooled",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="0.0474***",=""
="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="(3.44)",=""

="qoi40mean_pooled",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="0.0811***"
="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="(4.64)"

="_cons",="-0.139**",="-0.113***",="-0.160***",="-0.0513",="-0.0863**",="-0.0478**",="-0.151***",="-0.253***",="-0.151***",="-0.280***",="-0.347***",="-0.350***",="-0.234**",="-0.110**",="-0.145**",="-0.131**",="-0.0636",="-0.139***",="-0.243***"
="",="(-3.27)",="(-3.37)",="(-4.08)",="(-1.44)",="(-2.90)",="(-2.87)",="(-4.54)",="(-6.43)",="(-4.26)",="(-4.06)",="(-6.55)",="(-4.82)",="(-3.20)",="(-2.73)",="(-3.08)",="(-3.09)",="(-1.23)",="(-3.54)",="(-4.72)"

="N",="895",="895",="895",="895",="895",="877",="877",="877",="877",="895",="895",="895",="895",="895",="895",="895",="895",="895",="895"

="t statistics in parentheses"
="* p<0.05, ** p<0.01, *** p<0.001"
