
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)",="(9)",="(10)",="(11)",="(12)",="(13)",="(14)",="(15)",="(16)",="(17)",="(18)",="(19)"
="",="va_enrdk",="va_enrdk",="va_enrdk",="va_enrdk",="va_enrdk",="va_enrdk",="va_enrdk",="va_enrdk",="va_enrdk",="va_enrdk",="va_enrdk",="va_enrdk",="va_enrdk",="va_enrdk",="va_enrdk",="va_enrdk",="va_enrdk",="va_enrdk",="va_enrdk"

="qoi22mean_pooled",="0.0791***",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="",="(9.26)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""

="qoi23mean_pooled",="",="0.0278***",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="",="",="(3.93)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""

="qoi24mean_pooled",="",="",="0.0362***",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="",="",="",="(4.25)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""

="qoi25mean_pooled",="",="",="",="-0.0167*",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="",="",="",="",="(-2.19)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""

="qoi26mean_pooled",="",="",="",="",="0.0187**",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="",="",="",="",="",="(3.06)",="",="",="",="",="",="",="",="",="",="",="",="",="",=""

="qoi27mean_pooled",="",="",="",="",="",="0.00238",="",="",="",="",="",="",="",="",="",="",="",="",=""
="",="",="",="",="",="",="(0.63)",="",="",="",="",="",="",="",="",="",="",="",="",=""

="qoi28mean_pooled",="",="",="",="",="",="",="-0.0152*",="",="",="",="",="",="",="",="",="",="",="",=""
="",="",="",="",="",="",="",="(-2.04)",="",="",="",="",="",="",="",="",="",="",="",=""

="qoi29mean_pooled",="",="",="",="",="",="",="",="0.00729",="",="",="",="",="",="",="",="",="",="",=""
="",="",="",="",="",="",="",="",="(0.84)",="",="",="",="",="",="",="",="",="",="",=""

="qoi30mean_pooled",="",="",="",="",="",="",="",="",="-0.00498",="",="",="",="",="",="",="",="",="",=""
="",="",="",="",="",="",="",="",="",="(-0.63)",="",="",="",="",="",="",="",="",="",=""

="qoi31mean_pooled",="",="",="",="",="",="",="",="",="",="0.0719***",="",="",="",="",="",="",="",="",=""
="",="",="",="",="",="",="",="",="",="",="(5.72)",="",="",="",="",="",="",="",="",=""

="qoi32mean_pooled",="",="",="",="",="",="",="",="",="",="",="0.0319**",="",="",="",="",="",="",="",=""
="",="",="",="",="",="",="",="",="",="",="",="(2.85)",="",="",="",="",="",="",="",=""

="qoi33mean_pooled",="",="",="",="",="",="",="",="",="",="",="",="0.0597***",="",="",="",="",="",="",=""
="",="",="",="",="",="",="",="",="",="",="",="",="(4.26)",="",="",="",="",="",="",=""

="qoi34mean_pooled",="",="",="",="",="",="",="",="",="",="",="",="",="0.0408**",="",="",="",="",="",=""
="",="",="",="",="",="",="",="",="",="",="",="",="",="(3.02)",="",="",="",="",="",=""

="qoi35mean_pooled",="",="",="",="",="",="",="",="",="",="",="",="",="",="-0.00647",="",="",="",="",=""
="",="",="",="",="",="",="",="",="",="",="",="",="",="",="(-0.58)",="",="",="",="",=""

="qoi36mean_pooled",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="-0.00224",="",="",="",=""
="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="(-0.18)",="",="",="",=""

="qoi37mean_pooled",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="-0.0153",="",="",=""
="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="(-1.29)",="",="",=""

="qoi38mean_pooled",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="-0.00481",="",=""
="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="(-0.39)",="",=""

="qoi39mean_pooled",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="0.00985",=""
="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="(0.96)",=""

="qoi40mean_pooled",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="-0.000604"
="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="(-0.05)"

="_cons",="-0.282***",="-0.0985***",="-0.124***",="0.0563*",="-0.0685**",="-0.00917",="0.0488*",="-0.0262",="0.0150",="-0.290***",="-0.115**",="-0.231***",="-0.165**",="0.0161",="0.00501",="0.0391",="0.0134",="-0.0293",="0.000441"
="",="(-9.29)",="(-3.98)",="(-4.29)",="(2.14)",="(-3.11)",="(-0.74)",="(1.97)",="(-0.89)",="(0.57)",="(-5.74)",="(-2.88)",="(-4.28)",="(-3.05)",="(0.54)",="(0.14)",="(1.24)",="(0.35)",="(-1.00)",="(0.01)"

="N",="895",="895",="895",="895",="895",="877",="877",="877",="877",="895",="895",="895",="895",="895",="895",="895",="895",="895",="895"

="t statistics in parentheses"
="* p<0.05, ** p<0.01, *** p<0.001"
