
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)",="(9)",="(10)",="(11)",="(12)",="(13)",="(14)",="(15)",="(16)",="(17)",="(18)",="(19)"
="",="va_math",="va_math",="va_math",="va_math",="va_math",="va_math",="va_math",="va_math",="va_math",="va_math",="va_math",="va_math",="va_math",="va_math",="va_math",="va_math",="va_math",="va_math",="va_math"

="qoi22mean_pooled",="0.303***",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="",="(13.51)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""

="qoi23mean_pooled",="",="0.158***",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="",="",="(8.25)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""

="qoi24mean_pooled",="",="",="0.220***",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="",="",="",="(9.65)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""

="qoi25mean_pooled",="",="",="",="0.132***",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="",="",="",="",="(6.51)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""

="qoi26mean_pooled",="",="",="",="",="0.185***",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="",="",="",="",="",="(11.62)",="",="",="",="",="",="",="",="",="",="",="",="",="",=""

="qoi27mean_pooled",="",="",="",="",="",="0.0931***",="",="",="",="",="",="",="",="",="",="",="",="",=""
="",="",="",="",="",="",="(9.30)",="",="",="",="",="",="",="",="",="",="",="",="",=""

="qoi28mean_pooled",="",="",="",="",="",="",="0.118***",="",="",="",="",="",="",="",="",="",="",="",=""
="",="",="",="",="",="",="",="(5.90)",="",="",="",="",="",="",="",="",="",="",="",=""

="qoi29mean_pooled",="",="",="",="",="",="",="",="0.198***",="",="",="",="",="",="",="",="",="",="",=""
="",="",="",="",="",="",="",="",="(8.63)",="",="",="",="",="",="",="",="",="",="",=""

="qoi30mean_pooled",="",="",="",="",="",="",="",="",="0.139***",="",="",="",="",="",="",="",="",="",=""
="",="",="",="",="",="",="",="",="",="(6.55)",="",="",="",="",="",="",="",="",="",=""

="qoi31mean_pooled",="",="",="",="",="",="",="",="",="",="0.308***",="",="",="",="",="",="",="",="",=""
="",="",="",="",="",="",="",="",="",="",="(9.06)",="",="",="",="",="",="",="",="",=""

="qoi32mean_pooled",="",="",="",="",="",="",="",="",="",="",="0.0923**",="",="",="",="",="",="",="",=""
="",="",="",="",="",="",="",="",="",="",="",="(2.96)",="",="",="",="",="",="",="",=""

="qoi33mean_pooled",="",="",="",="",="",="",="",="",="",="",="",="0.316***",="",="",="",="",="",="",=""
="",="",="",="",="",="",="",="",="",="",="",="",="(8.32)",="",="",="",="",="",="",=""

="qoi34mean_pooled",="",="",="",="",="",="",="",="",="",="",="",="",="0.167***",="",="",="",="",="",=""
="",="",="",="",="",="",="",="",="",="",="",="",="",="(4.48)",="",="",="",="",="",=""

="qoi35mean_pooled",="",="",="",="",="",="",="",="",="",="",="",="",="",="0.116***",="",="",="",="",=""
="",="",="",="",="",="",="",="",="",="",="",="",="",="",="(3.85)",="",="",="",="",=""

="qoi36mean_pooled",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="0.190***",="",="",="",=""
="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="(5.72)",="",="",="",=""

="qoi37mean_pooled",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="0.0765*",="",="",=""
="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="(2.42)",="",="",=""

="qoi38mean_pooled",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="0.203***",="",=""
="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="(6.09)",="",=""

="qoi39mean_pooled",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="0.214***",=""
="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="(7.86)",=""

="qoi40mean_pooled",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="0.169***"
="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="(4.87)"

="_cons",="-1.080***",="-0.560***",="-0.756***",="-0.463***",="-0.673***",="-0.307***",="-0.396***",="-0.681***",="-0.468***",="-1.247***",="-0.336**",="-1.223***",="-0.677***",="-0.318***",="-0.545***",="-0.210*",="-0.631***",="-0.614***",="-0.505***"
="",="(-13.58)",="(-8.34)",="(-9.73)",="(-6.60)",="(-11.71)",="(-9.41)",="(-5.98)",="(-8.69)",="(-6.62)",="(-9.11)",="(-3.02)",="(-8.36)",="(-4.52)",="(-3.93)",="(-5.79)",="(-2.50)",="(-6.15)",="(-7.94)",="(-4.93)"

="N",="906",="906",="906",="906",="906",="888",="888",="888",="888",="906",="906",="906",="906",="906",="906",="906",="906",="906",="906"

="t statistics in parentheses"
="* p<0.05, ** p<0.01, *** p<0.001"
