
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)",="(9)",="(10)",="(11)",="(12)",="(13)",="(14)",="(15)"
="",="va_2yrmath",="va_2yrmath",="va_2yrmath",="va_2yrmath",="va_2yrmath",="va_2yrmath",="va_2yrmath",="va_2yrmath",="va_2yrmath",="va_2yrmath",="va_2yrmath",="va_2yrmath",="va_2yrmath",="va_2yrmath",="va_2yrmath"

="qoi10mean_pooled",="0.00533",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="",="(0.62)",="",="",="",="",="",="",="",="",="",="",="",="",="",=""

="qoi20mean_pooled",="",="-0.0286***",="",="",="",="",="",="",="",="",="",="",="",="",=""
="",="",="(-3.45)",="",="",="",="",="",="",="",="",="",="",="",="",=""

="qoi24mean_pooled",="",="",="-0.000198",="",="",="",="",="",="",="",="",="",="",="",=""
="",="",="",="(-0.02)",="",="",="",="",="",="",="",="",="",="",="",=""

="qoi41mean_pooled",="",="",="",="-0.00428",="",="",="",="",="",="",="",="",="",="",=""
="",="",="",="",="(-0.50)",="",="",="",="",="",="",="",="",="",="",=""

="qoi44mean_pooled",="",="",="",="",="-0.00446",="",="",="",="",="",="",="",="",="",=""
="",="",="",="",="",="(-0.45)",="",="",="",="",="",="",="",="",="",=""

="qoi64mean_pooled",="",="",="",="",="",="0.0106",="",="",="",="",="",="",="",="",=""
="",="",="",="",="",="",="(1.05)",="",="",="",="",="",="",="",="",=""

="qoi87mean_pooled",="",="",="",="",="",="",="-0.0119",="",="",="",="",="",="",="",=""
="",="",="",="",="",="",="",="(-1.15)",="",="",="",="",="",="",="",=""

="qoi128mean_pooled",="",="",="",="",="",="",="",="0.00671",="",="",="",="",="",="",=""
="",="",="",="",="",="",="",="",="(0.98)",="",="",="",="",="",="",=""

="qoi98mean_pooled",="",="",="",="",="",="",="",="",="-0.0102*",="",="",="",="",="",=""
="",="",="",="",="",="",="",="",="",="(-1.96)",="",="",="",="",="",=""

="qoi103mean_pooled",="",="",="",="",="",="",="",="",="",="-0.00231",="",="",="",="",=""
="",="",="",="",="",="",="",="",="",="",="(-0.13)",="",="",="",="",=""

="qoi104mean_pooled",="",="",="",="",="",="",="",="",="",="",="0.0150",="",="",="",=""
="",="",="",="",="",="",="",="",="",="",="",="(0.89)",="",="",="",=""

="qoi105mean_pooled",="",="",="",="",="",="",="",="",="",="",="",="-0.00265",="",="",=""
="",="",="",="",="",="",="",="",="",="",="",="",="(-0.15)",="",="",=""

="qoi109mean_pooled",="",="",="",="",="",="",="",="",="",="",="",="",="0.00399",="",=""
="",="",="",="",="",="",="",="",="",="",="",="",="",="(0.22)",="",=""

="qoi111mean_pooled",="",="",="",="",="",="",="",="",="",="",="",="",="",="0.00475",=""
="",="",="",="",="",="",="",="",="",="",="",="",="",="",="(0.22)",=""

="qoi112mean_pooled",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="0.00936"
="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="(0.46)"

="_cons",="0.00240",="0.0609***",="0.0153",="0.0211",="0.0210",="-0.00945",="0.0379",="-0.000909",="0.0373**",="0.0166",="-0.0124",="0.0171",="0.00654",="0.00574",="-0.00205"
="",="(0.14)",="(4.28)",="(0.80)",="(1.24)",="(1.13)",="(-0.40)",="(1.77)",="(-0.06)",="(2.91)",="(0.55)",="(-0.44)",="(0.58)",="(0.23)",="(0.18)",="(-0.06)"

="N",="562",="562",="419",="562",="562",="419",="519",="558",="562",="562",="562",="562",="562",="562",="562"

="t statistics in parentheses"
="* p<0.05, ** p<0.01, *** p<0.001"
