
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)",="(9)",="(10)",="(11)",="(12)",="(13)",="(14)",="(15)"
="",="va_4yrela",="va_4yrela",="va_4yrela",="va_4yrela",="va_4yrela",="va_4yrela",="va_4yrela",="va_4yrela",="va_4yrela",="va_4yrela",="va_4yrela",="va_4yrela",="va_4yrela",="va_4yrela",="va_4yrela"

="qoi10mean_pooled",="-0.0263**",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="",="(-2.94)",="",="",="",="",="",="",="",="",="",="",="",="",="",=""

="qoi20mean_pooled",="",="-0.0320***",="",="",="",="",="",="",="",="",="",="",="",="",=""
="",="",="(-3.66)",="",="",="",="",="",="",="",="",="",="",="",="",=""

="qoi24mean_pooled",="",="",="-0.00892",="",="",="",="",="",="",="",="",="",="",="",=""
="",="",="",="(-0.76)",="",="",="",="",="",="",="",="",="",="",="",=""

="qoi41mean_pooled",="",="",="",="0.00982",="",="",="",="",="",="",="",="",="",="",=""
="",="",="",="",="(1.09)",="",="",="",="",="",="",="",="",="",="",=""

="qoi44mean_pooled",="",="",="",="",="-0.0133",="",="",="",="",="",="",="",="",="",=""
="",="",="",="",="",="(-1.28)",="",="",="",="",="",="",="",="",="",=""

="qoi64mean_pooled",="",="",="",="",="",="-0.0504***",="",="",="",="",="",="",="",="",=""
="",="",="",="",="",="",="(-4.84)",="",="",="",="",="",="",="",="",=""

="qoi87mean_pooled",="",="",="",="",="",="",="-0.00127",="",="",="",="",="",="",="",=""
="",="",="",="",="",="",="",="(-0.12)",="",="",="",="",="",="",="",=""

="qoi128mean_pooled",="",="",="",="",="",="",="",="-0.0135",="",="",="",="",="",="",=""
="",="",="",="",="",="",="",="",="(-1.88)",="",="",="",="",="",="",=""

="qoi98mean_pooled",="",="",="",="",="",="",="",="",="-0.00362",="",="",="",="",="",=""
="",="",="",="",="",="",="",="",="",="(-0.66)",="",="",="",="",="",=""

="qoi103mean_pooled",="",="",="",="",="",="",="",="",="",="0.00370",="",="",="",="",=""
="",="",="",="",="",="",="",="",="",="",="(0.20)",="",="",="",="",=""

="qoi104mean_pooled",="",="",="",="",="",="",="",="",="",="",="-0.0313",="",="",="",=""
="",="",="",="",="",="",="",="",="",="",="",="(-1.76)",="",="",="",=""

="qoi105mean_pooled",="",="",="",="",="",="",="",="",="",="",="",="0.0185",="",="",=""
="",="",="",="",="",="",="",="",="",="",="",="",="(0.99)",="",="",=""

="qoi109mean_pooled",="",="",="",="",="",="",="",="",="",="",="",="",="-0.00132",="",=""
="",="",="",="",="",="",="",="",="",="",="",="",="",="(-0.07)",="",=""

="qoi111mean_pooled",="",="",="",="",="",="",="",="",="",="",="",="",="",="-0.0134",=""
="",="",="",="",="",="",="",="",="",="",="",="",="",="",="(-0.59)",=""

="qoi112mean_pooled",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="0.00467"
="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="(0.22)"

="_cons",="0.0376*",="0.0409**",="0.00144",="-0.0324",="0.0117",="0.102***",="-0.0128",="0.0142",="-0.00435",="-0.0195",="0.0392",="-0.0436",="-0.0111",="0.00642",="-0.0204"
="",="(2.15)",="(2.73)",="(0.07)",="(-1.81)",="(0.60)",="(4.22)",="(-0.57)",="(0.96)",="(-0.32)",="(-0.61)",="(1.31)",="(-1.41)",="(-0.38)",="(0.19)",="(-0.60)"

="N",="562",="562",="419",="562",="562",="419",="519",="558",="562",="562",="562",="562",="562",="562",="562"

="t statistics in parentheses"
="* p<0.05, ** p<0.01, *** p<0.001"
