
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)",="(9)",="(10)",="(11)",="(12)",="(13)",="(14)",="(15)"
="",="va_4yr",="va_4yr",="va_4yr",="va_4yr",="va_4yr",="va_4yr",="va_4yr",="va_4yr",="va_4yr",="va_4yr",="va_4yr",="va_4yr",="va_4yr",="va_4yr",="va_4yr"

="qoi10mean_pooled",="-0.0395***",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="",="(-4.35)",="",="",="",="",="",="",="",="",="",="",="",="",="",=""

="qoi20mean_pooled",="",="-0.0485***",="",="",="",="",="",="",="",="",="",="",="",="",=""
="",="",="(-5.63)",="",="",="",="",="",="",="",="",="",="",="",="",=""

="qoi24mean_pooled",="",="",="-0.0248*",="",="",="",="",="",="",="",="",="",="",="",=""
="",="",="",="(-2.09)",="",="",="",="",="",="",="",="",="",="",="",=""

="qoi41mean_pooled",="",="",="",="-0.00356",="",="",="",="",="",="",="",="",="",="",=""
="",="",="",="",="(-0.39)",="",="",="",="",="",="",="",="",="",="",=""

="qoi44mean_pooled",="",="",="",="",="-0.0297**",="",="",="",="",="",="",="",="",="",=""
="",="",="",="",="",="(-2.82)",="",="",="",="",="",="",="",="",="",=""

="qoi64mean_pooled",="",="",="",="",="",="-0.0637***",="",="",="",="",="",="",="",="",=""
="",="",="",="",="",="",="(-6.12)",="",="",="",="",="",="",="",="",=""

="qoi87mean_pooled",="",="",="",="",="",="",="-0.0133",="",="",="",="",="",="",="",=""
="",="",="",="",="",="",="",="(-1.21)",="",="",="",="",="",="",="",=""

="qoi128mean_pooled",="",="",="",="",="",="",="",="-0.0191**",="",="",="",="",="",="",=""
="",="",="",="",="",="",="",="",="(-2.61)",="",="",="",="",="",="",=""

="qoi98mean_pooled",="",="",="",="",="",="",="",="",="-0.0135*",="",="",="",="",="",=""
="",="",="",="",="",="",="",="",="",="(-2.41)",="",="",="",="",="",=""

="qoi103mean_pooled",="",="",="",="",="",="",="",="",="",="0.00857",="",="",="",="",=""
="",="",="",="",="",="",="",="",="",="",="(0.46)",="",="",="",="",=""

="qoi104mean_pooled",="",="",="",="",="",="",="",="",="",="",="-0.0283",="",="",="",=""
="",="",="",="",="",="",="",="",="",="",="",="(-1.56)",="",="",="",=""

="qoi105mean_pooled",="",="",="",="",="",="",="",="",="",="",="",="0.0240",="",="",=""
="",="",="",="",="",="",="",="",="",="",="",="",="(1.26)",="",="",=""

="qoi109mean_pooled",="",="",="",="",="",="",="",="",="",="",="",="",="0.00583",="",=""
="",="",="",="",="",="",="",="",="",="",="",="",="",="(0.30)",="",=""

="qoi111mean_pooled",="",="",="",="",="",="",="",="",="",="",="",="",="",="-0.00936",=""
="",="",="",="",="",="",="",="",="",="",="",="",="",="",="(-0.40)",=""

="qoi112mean_pooled",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="0.0266"
="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="(1.20)"

="_cons",="0.0633***",="0.0691***",="0.0288",="-0.00589",="0.0425*",="0.133***",="0.0120",="0.0256",="0.0196",="-0.0276",="0.0343",="-0.0526",="-0.0218",="0.000766",="-0.0547"
="",="(3.57)",="(4.66)",="(1.40)",="(-0.32)",="(2.14)",="(5.50)",="(0.53)",="(1.71)",="(1.42)",="(-0.85)",="(1.13)",="(-1.66)",="(-0.73)",="(0.02)",="(-1.57)"

="N",="563",="563",="419",="563",="563",="419",="519",="559",="563",="563",="563",="563",="563",="563",="563"

="t statistics in parentheses"
="* p<0.05, ** p<0.01, *** p<0.001"
