
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)",="(9)",="(10)",="(11)",="(12)",="(13)",="(14)",="(15)"
="",="va_ela",="va_ela",="va_ela",="va_ela",="va_ela",="va_ela",="va_ela",="va_ela",="va_ela",="va_ela",="va_ela",="va_ela",="va_ela",="va_ela",="va_ela"

="qoi10mean_pooled",="-0.0789***",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="",="(-5.10)",="",="",="",="",="",="",="",="",="",="",="",="",="",=""

="qoi20mean_pooled",="",="-0.127***",="",="",="",="",="",="",="",="",="",="",="",="",=""
="",="",="(-8.74)",="",="",="",="",="",="",="",="",="",="",="",="",=""

="qoi24mean_pooled",="",="",="-0.108***",="",="",="",="",="",="",="",="",="",="",="",=""
="",="",="",="(-5.45)",="",="",="",="",="",="",="",="",="",="",="",=""

="qoi41mean_pooled",="",="",="",="-0.0882***",="",="",="",="",="",="",="",="",="",="",=""
="",="",="",="",="(-5.81)",="",="",="",="",="",="",="",="",="",="",=""

="qoi44mean_pooled",="",="",="",="",="-0.114***",="",="",="",="",="",="",="",="",="",=""
="",="",="",="",="",="(-6.51)",="",="",="",="",="",="",="",="",="",=""

="qoi64mean_pooled",="",="",="",="",="",="-0.0877***",="",="",="",="",="",="",="",="",=""
="",="",="",="",="",="",="(-4.80)",="",="",="",="",="",="",="",="",=""

="qoi87mean_pooled",="",="",="",="",="",="",="-0.0851***",="",="",="",="",="",="",="",=""
="",="",="",="",="",="",="",="(-4.59)",="",="",="",="",="",="",="",=""

="qoi128mean_pooled",="",="",="",="",="",="",="",="-0.0348**",="",="",="",="",="",="",=""
="",="",="",="",="",="",="",="",="(-2.77)",="",="",="",="",="",="",=""

="qoi98mean_pooled",="",="",="",="",="",="",="",="",="-0.0713***",="",="",="",="",="",=""
="",="",="",="",="",="",="",="",="",="(-7.81)",="",="",="",="",="",=""

="qoi103mean_pooled",="",="",="",="",="",="",="",="",="",="0.0358",="",="",="",="",=""
="",="",="",="",="",="",="",="",="",="",="(1.11)",="",="",="",="",=""

="qoi104mean_pooled",="",="",="",="",="",="",="",="",="",="",="0.0185",="",="",="",=""
="",="",="",="",="",="",="",="",="",="",="",="(0.59)",="",="",="",=""

="qoi105mean_pooled",="",="",="",="",="",="",="",="",="",="",="",="0.0507",="",="",=""
="",="",="",="",="",="",="",="",="",="",="",="",="(1.55)",="",="",=""

="qoi109mean_pooled",="",="",="",="",="",="",="",="",="",="",="",="",="0.0516",="",=""
="",="",="",="",="",="",="",="",="",="",="",="",="",="(1.54)",="",=""

="qoi111mean_pooled",="",="",="",="",="",="",="",="",="",="",="",="",="",="0.0322",=""
="",="",="",="",="",="",="",="",="",="",="",="",="",="",="(0.82)",=""

="qoi112mean_pooled",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="0.167***"
="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="(4.49)"

="_cons",="0.151***",="0.213***",="0.183***",="0.172***",="0.211***",="0.200***",="0.172***",="0.0688**",="0.171***",="-0.0630",="-0.0323",="-0.0852",="-0.0806",="-0.0484",="-0.265***"
="",="(4.99)",="(8.53)",="(5.34)",="(5.69)",="(6.40)",="(4.72)",="(4.49)",="(2.67)",="(7.58)",="(-1.13)",="(-0.61)",="(-1.57)",="(-1.56)",="(-0.84)",="(-4.50)"

="N",="568",="568",="425",="568",="568",="425",="525",="564",="568",="568",="568",="568",="568",="568",="568"

="t statistics in parentheses"
="* p<0.05, ** p<0.01, *** p<0.001"
