
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)",="(9)",="(10)",="(11)",="(12)",="(13)",="(14)",="(15)"
="",="va_enrdk",="va_enrdk",="va_enrdk",="va_enrdk",="va_enrdk",="va_enrdk",="va_enrdk",="va_enrdk",="va_enrdk",="va_enrdk",="va_enrdk",="va_enrdk",="va_enrdk",="va_enrdk",="va_enrdk"

="qoi10mean_pooled",="-0.00898",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="",="(-1.37)",="",="",="",="",="",="",="",="",="",="",="",="",="",=""

="qoi20mean_pooled",="",="-0.0408***",="",="",="",="",="",="",="",="",="",="",="",="",=""
="",="",="(-6.58)",="",="",="",="",="",="",="",="",="",="",="",="",=""

="qoi24mean_pooled",="",="",="-0.000538",="",="",="",="",="",="",="",="",="",="",="",=""
="",="",="",="(-0.06)",="",="",="",="",="",="",="",="",="",="",="",=""

="qoi41mean_pooled",="",="",="",="0.00982",="",="",="",="",="",="",="",="",="",="",=""
="",="",="",="",="(1.51)",="",="",="",="",="",="",="",="",="",="",=""

="qoi44mean_pooled",="",="",="",="",="-0.00661",="",="",="",="",="",="",="",="",="",=""
="",="",="",="",="",="(-0.88)",="",="",="",="",="",="",="",="",="",=""

="qoi64mean_pooled",="",="",="",="",="",="-0.0162*",="",="",="",="",="",="",="",="",=""
="",="",="",="",="",="",="(-2.08)",="",="",="",="",="",="",="",="",=""

="qoi87mean_pooled",="",="",="",="",="",="",="-0.00364",="",="",="",="",="",="",="",=""
="",="",="",="",="",="",="",="(-0.45)",="",="",="",="",="",="",="",=""

="qoi128mean_pooled",="",="",="",="",="",="",="",="-0.00179",="",="",="",="",="",="",=""
="",="",="",="",="",="",="",="",="(-0.34)",="",="",="",="",="",="",=""

="qoi98mean_pooled",="",="",="",="",="",="",="",="",="-0.00656",="",="",="",="",="",=""
="",="",="",="",="",="",="",="",="",="(-1.64)",="",="",="",="",="",=""

="qoi103mean_pooled",="",="",="",="",="",="",="",="",="",="-0.0142",="",="",="",="",=""
="",="",="",="",="",="",="",="",="",="",="(-1.06)",="",="",="",="",=""

="qoi104mean_pooled",="",="",="",="",="",="",="",="",="",="",="-0.0185",="",="",="",=""
="",="",="",="",="",="",="",="",="",="",="",="(-1.43)",="",="",="",=""

="qoi105mean_pooled",="",="",="",="",="",="",="",="",="",="",="",="-0.00111",="",="",=""
="",="",="",="",="",="",="",="",="",="",="",="",="(-0.08)",="",="",=""

="qoi109mean_pooled",="",="",="",="",="",="",="",="",="",="",="",="",="-0.00286",="",=""
="",="",="",="",="",="",="",="",="",="",="",="",="",="(-0.21)",="",=""

="qoi111mean_pooled",="",="",="",="",="",="",="",="",="",="",="",="",="",="-0.0144",=""
="",="",="",="",="",="",="",="",="",="",="",="",="",="",="(-0.88)",=""

="qoi112mean_pooled",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="-0.00304"
="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="(-0.19)"

="_cons",="0.0189",="0.0704***",="0.00380",="-0.0177",="0.0140",="0.0402*",="0.00807",="0.00521",="0.0175",="0.0261",="0.0325",="0.00349",="0.00604",="0.0227",="0.00642"
="",="(1.48)",="(6.62)",="(0.26)",="(-1.36)",="(0.98)",="(2.22)",="(0.48)",="(0.48)",="(1.77)",="(1.13)",="(1.49)",="(0.15)",="(0.28)",="(0.94)",="(0.26)"

="N",="562",="562",="419",="562",="562",="419",="519",="558",="562",="562",="562",="562",="562",="562",="562"

="t statistics in parentheses"
="* p<0.05, ** p<0.01, *** p<0.001"
