
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)",="(9)",="(10)",="(11)"
="",="va_2yr",="va_2yr",="va_2yr",="va_2yr",="va_2yr",="va_2yr",="va_2yr",="va_2yr",="va_2yr",="va_2yr",="va_2yr"

="qoi9mean_pooled",="0.0282",="",="",="",="",="",="",="",="",="",=""
="",="(1.89)",="",="",="",="",="",="",="",="",="",=""

="qoi15mean_pooled",="",="0.0111",="",="",="",="",="",="",="",="",=""
="",="",="(0.88)",="",="",="",="",="",="",="",="",=""

="qoi16mean_pooled",="",="",="0.0139",="",="",="",="",="",="",="",=""
="",="",="",="(1.00)",="",="",="",="",="",="",="",=""

="qoi17mean_pooled",="",="",="",="0.0147",="",="",="",="",="",="",=""
="",="",="",="",="(0.97)",="",="",="",="",="",="",=""

="qoi27mean_pooled",="",="",="",="",="0.00900",="",="",="",="",="",=""
="",="",="",="",="",="(0.62)",="",="",="",="",="",=""

="qoi30mean_pooled",="",="",="",="",="",="0.0218",="",="",="",="",=""
="",="",="",="",="",="",="(1.65)",="",="",="",="",=""

="qoi31mean_pooled",="",="",="",="",="",="",="0.0151",="",="",="",=""
="",="",="",="",="",="",="",="(1.08)",="",="",="",=""

="qoi32mean_pooled",="",="",="",="",="",="",="",="0.0190",="",="",=""
="",="",="",="",="",="",="",="",="(1.34)",="",="",=""

="qoi33mean_pooled",="",="",="",="",="",="",="",="",="0.0261",="",=""
="",="",="",="",="",="",="",="",="",="(1.63)",="",=""

="qoi34mean_pooled",="",="",="",="",="",="",="",="",="",="0.0275",=""
="",="",="",="",="",="",="",="",="",="",="(1.78)",=""

="qoi64mean_pooled",="",="",="",="",="",="",="",="",="",="",="0.0156"
="",="",="",="",="",="",="",="",="",="",="",="(1.39)"

="_cons",="-0.0322",="-0.00383",="-0.00776",="-0.00992",="0.00109",="-0.0246",="-0.0106",="-0.0152",="-0.0297",="-0.0341",="-0.0108"
="",="(-1.19)",="(-0.15)",="(-0.30)",="(-0.34)",="(0.04)",="(-0.95)",="(-0.39)",="(-0.55)",="(-1.00)",="(-1.16)",="(-0.51)"

="N",="345",="344",="345",="345",="345",="301",="345",="272",="345",="300",="342"

="t statistics in parentheses"
="* p<0.05, ** p<0.01, *** p<0.001"
