
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)",="(9)",="(10)",="(11)"
="",="va_4yrela",="va_4yrela",="va_4yrela",="va_4yrela",="va_4yrela",="va_4yrela",="va_4yrela",="va_4yrela",="va_4yrela",="va_4yrela",="va_4yrela"

="qoi9mean_pooled",="-0.0581***",="",="",="",="",="",="",="",="",="",=""
="",="(-3.97)",="",="",="",="",="",="",="",="",="",=""

="qoi15mean_pooled",="",="-0.0294*",="",="",="",="",="",="",="",="",=""
="",="",="(-2.38)",="",="",="",="",="",="",="",="",=""

="qoi16mean_pooled",="",="",="-0.0423**",="",="",="",="",="",="",="",=""
="",="",="",="(-3.12)",="",="",="",="",="",="",="",=""

="qoi17mean_pooled",="",="",="",="-0.0242",="",="",="",="",="",="",=""
="",="",="",="",="(-1.62)",="",="",="",="",="",="",=""

="qoi27mean_pooled",="",="",="",="",="-0.0233",="",="",="",="",="",=""
="",="",="",="",="",="(-1.62)",="",="",="",="",="",=""

="qoi30mean_pooled",="",="",="",="",="",="-0.0531***",="",="",="",="",=""
="",="",="",="",="",="",="(-4.24)",="",="",="",="",=""

="qoi31mean_pooled",="",="",="",="",="",="",="-0.0390**",="",="",="",=""
="",="",="",="",="",="",="",="(-2.85)",="",="",="",=""

="qoi32mean_pooled",="",="",="",="",="",="",="",="-0.0411**",="",="",=""
="",="",="",="",="",="",="",="",="(-3.00)",="",="",=""

="qoi33mean_pooled",="",="",="",="",="",="",="",="",="-0.0432**",="",=""
="",="",="",="",="",="",="",="",="",="(-2.73)",="",=""

="qoi34mean_pooled",="",="",="",="",="",="",="",="",="",="-0.0686***",=""
="",="",="",="",="",="",="",="",="",="",="(-4.70)",=""

="qoi64mean_pooled",="",="",="",="",="",="",="",="",="",="",="-0.0457***"
="",="",="",="",="",="",="",="",="",="",="",="(-4.20)"

="_cons",="0.0900***",="0.0449",="0.0656*",="0.0327",="0.0307",="0.0923***",="0.0607*",="0.0675*",="0.0656*",="0.118***",="0.0721***"
="",="(3.42)",="(1.80)",="(2.56)",="(1.13)",="(1.11)",="(3.75)",="(2.31)",="(2.52)",="(2.24)",="(4.28)",="(3.49)"

="N",="344",="343",="344",="344",="344",="300",="344",="272",="344",="299",="341"

="t statistics in parentheses"
="* p<0.05, ** p<0.01, *** p<0.001"
