
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)",="(9)",="(10)",="(11)"
="",="va_ela",="va_ela",="va_ela",="va_ela",="va_ela",="va_ela",="va_ela",="va_ela",="va_ela",="va_ela",="va_ela"

="qoi9mean_pooled",="-0.0569*",="",="",="",="",="",="",="",="",="",=""
="",="(-2.36)",="",="",="",="",="",="",="",="",="",=""

="qoi15mean_pooled",="",="-0.0405*",="",="",="",="",="",="",="",="",=""
="",="",="(-2.00)",="",="",="",="",="",="",="",="",=""

="qoi16mean_pooled",="",="",="-0.0625**",="",="",="",="",="",="",="",=""
="",="",="",="(-2.83)",="",="",="",="",="",="",="",=""

="qoi17mean_pooled",="",="",="",="-0.0468",="",="",="",="",="",="",=""
="",="",="",="",="(-1.93)",="",="",="",="",="",="",=""

="qoi27mean_pooled",="",="",="",="",="-0.0568*",="",="",="",="",="",=""
="",="",="",="",="",="(-2.45)",="",="",="",="",="",=""

="qoi30mean_pooled",="",="",="",="",="",="-0.0427*",="",="",="",="",=""
="",="",="",="",="",="",="(-2.07)",="",="",="",="",=""

="qoi31mean_pooled",="",="",="",="",="",="",="-0.0448*",="",="",="",=""
="",="",="",="",="",="",="",="(-2.01)",="",="",="",=""

="qoi32mean_pooled",="",="",="",="",="",="",="",="0.00650",="",="",=""
="",="",="",="",="",="",="",="",="(0.29)",="",="",=""

="qoi33mean_pooled",="",="",="",="",="",="",="",="",="-0.0420",="",=""
="",="",="",="",="",="",="",="",="",="(-1.63)",="",=""

="qoi34mean_pooled",="",="",="",="",="",="",="",="",="",="-0.0406",=""
="",="",="",="",="",="",="",="",="",="",="(-1.67)",=""

="qoi64mean_pooled",="",="",="",="",="",="",="",="",="",="",="-0.0180"
="",="",="",="",="",="",="",="",="",="",="",="(-1.00)"

="_cons",="0.0929*",="0.0721",="0.108**",="0.0809",="0.0994*",="0.0723",="0.0768",="-0.0247",="0.0685",="0.0653",="0.0244"
="",="(2.14)",="(1.77)",="(2.60)",="(1.73)",="(2.23)",="(1.78)",="(1.79)",="(-0.56)",="(1.43)",="(1.42)",="(0.71)"

="N",="351",="350",="351",="351",="351",="307",="351",="277",="351",="306",="348"

="t statistics in parentheses"
="* p<0.05, ** p<0.01, *** p<0.001"
