
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)",="(9)",="(10)",="(11)"
="",="va_enrela",="va_enrela",="va_enrela",="va_enrela",="va_enrela",="va_enrela",="va_enrela",="va_enrela",="va_enrela",="va_enrela",="va_enrela"

="qoi9mean_pooled",="-0.0192",="",="",="",="",="",="",="",="",="",=""
="",="(-1.64)",="",="",="",="",="",="",="",="",="",=""

="qoi15mean_pooled",="",="-0.0125",="",="",="",="",="",="",="",="",=""
="",="",="(-1.28)",="",="",="",="",="",="",="",="",=""

="qoi16mean_pooled",="",="",="-0.0199",="",="",="",="",="",="",="",=""
="",="",="",="(-1.85)",="",="",="",="",="",="",="",=""

="qoi17mean_pooled",="",="",="",="-0.00486",="",="",="",="",="",="",=""
="",="",="",="",="(-0.41)",="",="",="",="",="",="",=""

="qoi27mean_pooled",="",="",="",="",="-0.00929",="",="",="",="",="",=""
="",="",="",="",="",="(-0.82)",="",="",="",="",="",=""

="qoi30mean_pooled",="",="",="",="",="",="-0.0214*",="",="",="",="",=""
="",="",="",="",="",="",="(-2.10)",="",="",="",="",=""

="qoi31mean_pooled",="",="",="",="",="",="",="-0.0163",="",="",="",=""
="",="",="",="",="",="",="",="(-1.51)",="",="",="",=""

="qoi32mean_pooled",="",="",="",="",="",="",="",="-0.0151",="",="",=""
="",="",="",="",="",="",="",="",="(-1.36)",="",="",=""

="qoi33mean_pooled",="",="",="",="",="",="",="",="",="-0.00948",="",=""
="",="",="",="",="",="",="",="",="",="(-0.76)",="",=""

="qoi34mean_pooled",="",="",="",="",="",="",="",="",="",="-0.0285*",=""
="",="",="",="",="",="",="",="",="",="",="(-2.38)",=""

="qoi64mean_pooled",="",="",="",="",="",="",="",="",="",="",="-0.0216*"
="",="",="",="",="",="",="",="",="",="",="",="(-2.50)"

="_cons",="0.0402",="0.0308",="0.0433*",="0.0153",="0.0237",="0.0494*",="0.0372",="0.0397",="0.0234",="0.0614**",="0.0467**"
="",="(1.91)",="(1.57)",="(2.13)",="(0.67)",="(1.09)",="(2.47)",="(1.78)",="(1.81)",="(1.01)",="(2.71)",="(2.84)"

="N",="344",="343",="344",="344",="344",="300",="344",="272",="344",="299",="341"

="t statistics in parentheses"
="* p<0.05, ** p<0.01, *** p<0.001"
