
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)",="(9)",="(10)",="(11)"
="",="va_enr",="va_enr",="va_enr",="va_enr",="va_enr",="va_enr",="va_enr",="va_enr",="va_enr",="va_enr",="va_enr"

="qoi9mean_pooled",="-0.0279*",="",="",="",="",="",="",="",="",="",=""
="",="(-2.37)",="",="",="",="",="",="",="",="",="",=""

="qoi15mean_pooled",="",="-0.0191",="",="",="",="",="",="",="",="",=""
="",="",="(-1.94)",="",="",="",="",="",="",="",="",=""

="qoi16mean_pooled",="",="",="-0.0295**",="",="",="",="",="",="",="",=""
="",="",="",="(-2.73)",="",="",="",="",="",="",="",=""

="qoi17mean_pooled",="",="",="",="-0.0123",="",="",="",="",="",="",=""
="",="",="",="",="(-1.03)",="",="",="",="",="",="",=""

="qoi27mean_pooled",="",="",="",="",="-0.0184",="",="",="",="",="",=""
="",="",="",="",="",="(-1.61)",="",="",="",="",="",=""

="qoi30mean_pooled",="",="",="",="",="",="-0.0284**",="",="",="",="",=""
="",="",="",="",="",="",="(-2.77)",="",="",="",="",=""

="qoi31mean_pooled",="",="",="",="",="",="",="-0.0237*",="",="",="",=""
="",="",="",="",="",="",="",="(-2.17)",="",="",="",=""

="qoi32mean_pooled",="",="",="",="",="",="",="",="-0.0150",="",="",=""
="",="",="",="",="",="",="",="",="(-1.33)",="",="",=""

="qoi33mean_pooled",="",="",="",="",="",="",="",="",="-0.0161",="",=""
="",="",="",="",="",="",="",="",="",="(-1.27)",="",=""

="qoi34mean_pooled",="",="",="",="",="",="",="",="",="",="-0.0356**",=""
="",="",="",="",="",="",="",="",="",="",="(-2.96)",=""

="qoi64mean_pooled",="",="",="",="",="",="",="",="",="",="",="-0.0250**"
="",="",="",="",="",="",="",="",="",="",="",="(-2.85)"

="_cons",="0.0554**",="0.0435*",="0.0608**",="0.0290",="0.0404",="0.0623**",="0.0507*",="0.0386",="0.0350",="0.0741**",="0.0524**"
="",="(2.61)",="(2.19)",="(2.98)",="(1.26)",="(1.85)",="(3.09)",="(2.42)",="(1.74)",="(1.50)",="(3.24)",="(3.15)"

="N",="345",="344",="345",="345",="345",="301",="345",="272",="345",="300",="342"

="t statistics in parentheses"
="* p<0.05, ** p<0.01, *** p<0.001"
