
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)",="(9)",="(10)",="(11)"
="",="va_math",="va_math",="va_math",="va_math",="va_math",="va_math",="va_math",="va_math",="va_math",="va_math",="va_math"

="qoi9mean_pooled",="-0.123***",="",="",="",="",="",="",="",="",="",=""
="",="(-4.82)",="",="",="",="",="",="",="",="",="",=""

="qoi15mean_pooled",="",="-0.0691**",="",="",="",="",="",="",="",="",=""
="",="",="(-3.17)",="",="",="",="",="",="",="",="",=""

="qoi16mean_pooled",="",="",="-0.118***",="",="",="",="",="",="",="",=""
="",="",="",="(-5.03)",="",="",="",="",="",="",="",=""

="qoi17mean_pooled",="",="",="",="-0.0676*",="",="",="",="",="",="",=""
="",="",="",="",="(-2.57)",="",="",="",="",="",="",=""

="qoi27mean_pooled",="",="",="",="",="-0.0917***",="",="",="",="",="",=""
="",="",="",="",="",="(-3.67)",="",="",="",="",="",=""

="qoi30mean_pooled",="",="",="",="",="",="-0.109***",="",="",="",="",=""
="",="",="",="",="",="",="(-5.02)",="",="",="",="",=""

="qoi31mean_pooled",="",="",="",="",="",="",="-0.0893***",="",="",="",=""
="",="",="",="",="",="",="",="(-3.72)",="",="",="",=""

="qoi32mean_pooled",="",="",="",="",="",="",="",="-0.0805**",="",="",=""
="",="",="",="",="",="",="",="",="(-3.32)",="",="",=""

="qoi33mean_pooled",="",="",="",="",="",="",="",="",="-0.119***",="",=""
="",="",="",="",="",="",="",="",="",="(-4.33)",="",=""

="qoi34mean_pooled",="",="",="",="",="",="",="",="",="",="-0.128***",=""
="",="",="",="",="",="",="",="",="",="",="(-5.00)",=""

="qoi64mean_pooled",="",="",="",="",="",="",="",="",="",="",="-0.0732***"
="",="",="",="",="",="",="",="",="",="",="",="(-3.81)"

="_cons",="0.215***",="0.133**",="0.216***",="0.124*",="0.169***",="0.207***",="0.165***",="0.150**",="0.214***",="0.235***",="0.131***"
="",="(4.67)",="(3.03)",="(4.87)",="(2.45)",="(3.53)",="(4.83)",="(3.58)",="(3.16)",="(4.20)",="(4.84)",="(3.59)"

="N",="351",="350",="351",="351",="351",="307",="351",="277",="351",="306",="348"

="t statistics in parentheses"
="* p<0.05, ** p<0.01, *** p<0.001"
