
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)",="(9)",="(10)",="(11)",="(12)",="(13)",="(14)",="(15)",="(16)",="(17)",="(18)",="(19)"
="",="va_2yrela",="va_2yrela",="va_2yrela",="va_2yrela",="va_2yrela",="va_2yrela",="va_2yrela",="va_2yrela",="va_2yrela",="va_2yrela",="va_2yrela",="va_2yrela",="va_2yrela",="va_2yrela",="va_2yrela",="va_2yrela",="va_2yrela",="va_2yrela",="va_2yrela"

="qoi22mean_pooled",="0.0345*",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="",="(2.28)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""

="qoi23mean_pooled",="",="0.00403",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="",="",="(0.34)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""

="qoi24mean_pooled",="",="",="0.00481",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="",="",="",="(0.34)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""

="qoi25mean_pooled",="",="",="",="-0.0135",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="",="",="",="",="(-0.99)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""

="qoi26mean_pooled",="",="",="",="",="0.00718",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="",="",="",="",="",="(0.75)",="",="",="",="",="",="",="",="",="",="",="",="",="",=""

="qoi27mean_pooled",="",="",="",="",="",="0.00101",="",="",="",="",="",="",="",="",="",="",="",="",=""
="",="",="",="",="",="",="(0.16)",="",="",="",="",="",="",="",="",="",="",="",="",=""

="qoi28mean_pooled",="",="",="",="",="",="",="-0.0429**",="",="",="",="",="",="",="",="",="",="",="",=""
="",="",="",="",="",="",="",="(-3.30)",="",="",="",="",="",="",="",="",="",="",="",=""

="qoi29mean_pooled",="",="",="",="",="",="",="",="-0.0435**",="",="",="",="",="",="",="",="",="",="",=""
="",="",="",="",="",="",="",="",="(-2.93)",="",="",="",="",="",="",="",="",="",="",=""

="qoi30mean_pooled",="",="",="",="",="",="",="",="",="-0.0270",="",="",="",="",="",="",="",="",="",=""
="",="",="",="",="",="",="",="",="",="(-1.91)",="",="",="",="",="",="",="",="",="",=""

="qoi31mean_pooled",="",="",="",="",="",="",="",="",="",="0.00232",="",="",="",="",="",="",="",="",=""
="",="",="",="",="",="",="",="",="",="",="(0.11)",="",="",="",="",="",="",="",="",=""

="qoi32mean_pooled",="",="",="",="",="",="",="",="",="",="",="-0.0643***",="",="",="",="",="",="",="",=""
="",="",="",="",="",="",="",="",="",="",="",="(-3.34)",="",="",="",="",="",="",="",=""

="qoi33mean_pooled",="",="",="",="",="",="",="",="",="",="",="",="-0.0230",="",="",="",="",="",="",=""
="",="",="",="",="",="",="",="",="",="",="",="",="(-0.95)",="",="",="",="",="",="",=""

="qoi34mean_pooled",="",="",="",="",="",="",="",="",="",="",="",="",="-0.0193",="",="",="",="",="",=""
="",="",="",="",="",="",="",="",="",="",="",="",="",="(-0.81)",="",="",="",="",="",=""

="qoi35mean_pooled",="",="",="",="",="",="",="",="",="",="",="",="",="",="-0.0378*",="",="",="",="",=""
="",="",="",="",="",="",="",="",="",="",="",="",="",="",="(-2.01)",="",="",="",="",=""

="qoi36mean_pooled",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="-0.0377",="",="",="",=""
="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="(-1.81)",="",="",="",=""

="qoi37mean_pooled",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="-0.0371",="",="",=""
="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="(-1.81)",="",="",=""

="qoi38mean_pooled",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="-0.0219",="",=""
="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="(-1.05)",="",=""

="qoi39mean_pooled",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="-0.0202",=""
="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="(-1.20)",=""

="qoi40mean_pooled",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="-0.0841***"
="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="(-3.75)"

="_cons",="-0.115*",="-0.00640",="-0.00851",="0.0543",="-0.0180",="0.00494",="0.149***",="0.155**",="0.0973*",="-0.00158",="0.238***",="0.0966",="0.0852",="0.109*",="0.114",="0.105",="0.0747",="0.0649",="0.254***"
="",="(-2.13)",="(-0.15)",="(-0.18)",="(1.16)",="(-0.52)",="(0.25)",="(3.48)",="(3.09)",="(2.08)",="(-0.02)",="(3.45)",="(1.03)",="(0.89)",="(2.16)",="(1.94)",="(1.96)",="(1.17)",="(1.37)",="(3.86)"

="N",="811",="811",="811",="811",="811",="793",="793",="793",="793",="811",="811",="811",="811",="811",="811",="811",="811",="811",="811"

="t statistics in parentheses"
="* p<0.05, ** p<0.01, *** p<0.001"
