
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)",="(9)",="(10)",="(11)",="(12)",="(13)",="(14)",="(15)",="(16)",="(17)",="(18)",="(19)"
="",="va_4yrdk",="va_4yrdk",="va_4yrdk",="va_4yrdk",="va_4yrdk",="va_4yrdk",="va_4yrdk",="va_4yrdk",="va_4yrdk",="va_4yrdk",="va_4yrdk",="va_4yrdk",="va_4yrdk",="va_4yrdk",="va_4yrdk",="va_4yrdk",="va_4yrdk",="va_4yrdk",="va_4yrdk"

="qoi22mean_pooled",="0.0502***",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="",="(3.77)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""

="qoi23mean_pooled",="",="0.0518***",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="",="",="(4.99)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""

="qoi24mean_pooled",="",="",="0.0631***",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="",="",="",="(5.11)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""

="qoi25mean_pooled",="",="",="",="0.0333**",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="",="",="",="",="(2.78)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""

="qoi26mean_pooled",="",="",="",="",="0.0371***",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="",="",="",="",="",="(4.44)",="",="",="",="",="",="",="",="",="",="",="",="",="",=""

="qoi27mean_pooled",="",="",="",="",="",="0.0191***",="",="",="",="",="",="",="",="",="",="",="",="",=""
="",="",="",="",="",="",="(3.55)",="",="",="",="",="",="",="",="",="",="",="",="",=""

="qoi28mean_pooled",="",="",="",="",="",="",="0.0530***",="",="",="",="",="",="",="",="",="",="",="",=""
="",="",="",="",="",="",="",="(4.65)",="",="",="",="",="",="",="",="",="",="",="",=""

="qoi29mean_pooled",="",="",="",="",="",="",="",="0.0792***",="",="",="",="",="",="",="",="",="",="",=""
="",="",="",="",="",="",="",="",="(6.17)",="",="",="",="",="",="",="",="",="",="",=""

="qoi30mean_pooled",="",="",="",="",="",="",="",="",="0.0567***",="",="",="",="",="",="",="",="",="",=""
="",="",="",="",="",="",="",="",="",="(4.59)",="",="",="",="",="",="",="",="",="",=""

="qoi31mean_pooled",="",="",="",="",="",="",="",="",="",="0.0865***",="",="",="",="",="",="",="",="",=""
="",="",="",="",="",="",="",="",="",="",="(4.75)",="",="",="",="",="",="",="",="",=""

="qoi32mean_pooled",="",="",="",="",="",="",="",="",="",="",="0.0917***",="",="",="",="",="",="",="",=""
="",="",="",="",="",="",="",="",="",="",="",="(5.46)",="",="",="",="",="",="",="",=""

="qoi33mean_pooled",="",="",="",="",="",="",="",="",="",="",="",="0.0948***",="",="",="",="",="",="",=""
="",="",="",="",="",="",="",="",="",="",="",="",="(4.47)",="",="",="",="",="",="",=""

="qoi34mean_pooled",="",="",="",="",="",="",="",="",="",="",="",="",="0.0622**",="",="",="",="",="",=""
="",="",="",="",="",="",="",="",="",="",="",="",="",="(2.96)",="",="",="",="",="",=""

="qoi35mean_pooled",="",="",="",="",="",="",="",="",="",="",="",="",="",="0.0735***",="",="",="",="",=""
="",="",="",="",="",="",="",="",="",="",="",="",="",="",="(4.48)",="",="",="",="",=""

="qoi36mean_pooled",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="0.0913***",="",="",="",=""
="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="(5.02)",="",="",="",=""

="qoi37mean_pooled",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="0.0871***",="",="",=""
="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="(4.89)",="",="",=""

="qoi38mean_pooled",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="0.0630***",="",=""
="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="(3.44)",="",=""

="qoi39mean_pooled",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="0.0737***",=""
="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="(5.06)",=""

="qoi40mean_pooled",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="0.123***"
="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="(6.29)"

="_cons",="-0.184***",="-0.188***",="-0.219***",="-0.120**",="-0.139***",="-0.0669***",="-0.180***",="-0.274***",="-0.193***",="-0.354***",="-0.333***",="-0.371***",="-0.255**",="-0.202***",="-0.263***",="-0.234***",="-0.199***",="-0.214***",="-0.365***"
="",="(-3.89)",="(-5.14)",="(-5.24)",="(-2.91)",="(-4.62)",="(-3.87)",="(-4.80)",="(-6.30)",="(-4.73)",="(-4.83)",="(-5.55)",="(-4.53)",="(-3.02)",="(-4.60)",="(-5.12)",="(-5.00)",="(-3.53)",="(-5.19)",="(-6.38)"

="N",="811",="811",="811",="811",="811",="793",="793",="793",="793",="811",="811",="811",="811",="811",="811",="811",="811",="811",="811"

="t statistics in parentheses"
="* p<0.05, ** p<0.01, *** p<0.001"
