
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)",="(9)",="(10)",="(11)",="(12)",="(13)",="(14)",="(15)",="(16)",="(17)",="(18)",="(19)"
="",="va_4yr",="va_4yr",="va_4yr",="va_4yr",="va_4yr",="va_4yr",="va_4yr",="va_4yr",="va_4yr",="va_4yr",="va_4yr",="va_4yr",="va_4yr",="va_4yr",="va_4yr",="va_4yr",="va_4yr",="va_4yr",="va_4yr"

="qoi22mean_pooled",="0.108***",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="",="(7.20)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""

="qoi23mean_pooled",="",="0.0977***",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="",="",="(8.41)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""

="qoi24mean_pooled",="",="",="0.123***",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="",="",="",="(8.95)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""

="qoi25mean_pooled",="",="",="",="0.0886***",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="",="",="",="",="(6.58)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""

="qoi26mean_pooled",="",="",="",="",="0.0822***",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="",="",="",="",="",="(8.85)",="",="",="",="",="",="",="",="",="",="",="",="",="",=""

="qoi27mean_pooled",="",="",="",="",="",="0.0456***",="",="",="",="",="",="",="",="",="",="",="",="",=""
="",="",="",="",="",="",="(7.54)",="",="",="",="",="",="",="",="",="",="",="",="",=""

="qoi28mean_pooled",="",="",="",="",="",="",="0.103***",="",="",="",="",="",="",="",="",="",="",="",=""
="",="",="",="",="",="",="",="(8.05)",="",="",="",="",="",="",="",="",="",="",="",=""

="qoi29mean_pooled",="",="",="",="",="",="",="",="0.150***",="",="",="",="",="",="",="",="",="",="",=""
="",="",="",="",="",="",="",="",="(10.58)",="",="",="",="",="",="",="",="",="",="",=""

="qoi30mean_pooled",="",="",="",="",="",="",="",="",="0.120***",="",="",="",="",="",="",="",="",="",=""
="",="",="",="",="",="",="",="",="",="(8.68)",="",="",="",="",="",="",="",="",="",=""

="qoi31mean_pooled",="",="",="",="",="",="",="",="",="",="0.150***",="",="",="",="",="",="",="",="",=""
="",="",="",="",="",="",="",="",="",="",="(7.30)",="",="",="",="",="",="",="",="",=""

="qoi32mean_pooled",="",="",="",="",="",="",="",="",="",="",="0.138***",="",="",="",="",="",="",="",=""
="",="",="",="",="",="",="",="",="",="",="",="(7.25)",="",="",="",="",="",="",="",=""

="qoi33mean_pooled",="",="",="",="",="",="",="",="",="",="",="",="0.185***",="",="",="",="",="",="",=""
="",="",="",="",="",="",="",="",="",="",="",="",="(7.78)",="",="",="",="",="",="",=""

="qoi34mean_pooled",="",="",="",="",="",="",="",="",="",="",="",="",="0.0982***",="",="",="",="",="",=""
="",="",="",="",="",="",="",="",="",="",="",="",="",="(4.08)",="",="",="",="",="",=""

="qoi35mean_pooled",="",="",="",="",="",="",="",="",="",="",="",="",="",="0.135***",="",="",="",="",=""
="",="",="",="",="",="",="",="",="",="",="",="",="",="",="(7.27)",="",="",="",="",=""

="qoi36mean_pooled",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="0.174***",="",="",="",=""
="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="(8.56)",="",="",="",=""

="qoi37mean_pooled",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="0.156***",="",="",=""
="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="(7.77)",="",="",=""

="qoi38mean_pooled",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="0.138***",="",=""
="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="(6.69)",="",=""

="qoi39mean_pooled",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="0.142***",=""
="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="(8.70)",=""

="qoi40mean_pooled",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="0.204***"
="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="(9.33)"

="_cons",="-0.388***",="-0.349***",="-0.423***",="-0.310***",="-0.301***",="-0.151***",="-0.345***",="-0.514***",="-0.401***",="-0.611***",="-0.499***",="-0.720***",="-0.400***",="-0.365***",="-0.496***",="-0.415***",="-0.429***",="-0.406***",="-0.602***"
="",="(-7.30)",="(-8.54)",="(-9.06)",="(-6.69)",="(-9.00)",="(-7.80)",="(-8.19)",="(-10.70)",="(-8.80)",="(-7.36)",="(-7.32)",="(-7.84)",="(-4.13)",="(-7.38)",="(-8.65)",="(-7.87)",="(-6.77)",="(-8.81)",="(-9.41)"

="N",="812",="812",="812",="812",="812",="793",="793",="793",="793",="812",="812",="812",="812",="812",="812",="812",="812",="812",="812"

="t statistics in parentheses"
="* p<0.05, ** p<0.01, *** p<0.001"
