
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)",="(9)",="(10)",="(11)",="(12)",="(13)",="(14)",="(15)",="(16)",="(17)",="(18)",="(19)"
="",="va_enrdk",="va_enrdk",="va_enrdk",="va_enrdk",="va_enrdk",="va_enrdk",="va_enrdk",="va_enrdk",="va_enrdk",="va_enrdk",="va_enrdk",="va_enrdk",="va_enrdk",="va_enrdk",="va_enrdk",="va_enrdk",="va_enrdk",="va_enrdk",="va_enrdk"

="qoi22mean_pooled",="0.0758***",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="",="(7.78)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""

="qoi23mean_pooled",="",="0.0486***",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="",="",="(6.27)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""

="qoi24mean_pooled",="",="",="0.0598***",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="",="",="",="(6.49)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""

="qoi25mean_pooled",="",="",="",="0.0186*",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="",="",="",="",="(2.06)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""

="qoi26mean_pooled",="",="",="",="",="0.0395***",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="",="",="",="",="",="(6.35)",="",="",="",="",="",="",="",="",="",="",="",="",="",=""

="qoi27mean_pooled",="",="",="",="",="",="0.0181***",="",="",="",="",="",="",="",="",="",="",="",="",=""
="",="",="",="",="",="",="(4.46)",="",="",="",="",="",="",="",="",="",="",="",="",=""

="qoi28mean_pooled",="",="",="",="",="",="",="0.00716",="",="",="",="",="",="",="",="",="",="",="",=""
="",="",="",="",="",="",="",="(0.82)",="",="",="",="",="",="",="",="",="",="",="",=""

="qoi29mean_pooled",="",="",="",="",="",="",="",="0.0296**",="",="",="",="",="",="",="",="",="",="",=""
="",="",="",="",="",="",="",="",="(3.00)",="",="",="",="",="",="",="",="",="",="",=""

="qoi30mean_pooled",="",="",="",="",="",="",="",="",="0.0257**",="",="",="",="",="",="",="",="",="",=""
="",="",="",="",="",="",="",="",="",="(2.73)",="",="",="",="",="",="",="",="",="",=""

="qoi31mean_pooled",="",="",="",="",="",="",="",="",="",="0.0756***",="",="",="",="",="",="",="",="",=""
="",="",="",="",="",="",="",="",="",="",="(5.54)",="",="",="",="",="",="",="",="",=""

="qoi32mean_pooled",="",="",="",="",="",="",="",="",="",="",="0.0189",="",="",="",="",="",="",="",=""
="",="",="",="",="",="",="",="",="",="",="",="(1.47)",="",="",="",="",="",="",="",=""

="qoi33mean_pooled",="",="",="",="",="",="",="",="",="",="",="",="0.0617***",="",="",="",="",="",="",=""
="",="",="",="",="",="",="",="",="",="",="",="",="(3.85)",="",="",="",="",="",="",=""

="qoi34mean_pooled",="",="",="",="",="",="",="",="",="",="",="",="",="0.0334*",="",="",="",="",="",=""
="",="",="",="",="",="",="",="",="",="",="",="",="",="(2.11)",="",="",="",="",="",=""

="qoi35mean_pooled",="",="",="",="",="",="",="",="",="",="",="",="",="",="0.0311*",="",="",="",="",=""
="",="",="",="",="",="",="",="",="",="",="",="",="",="",="(2.49)",="",="",="",="",=""

="qoi36mean_pooled",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="0.0466***",="",="",="",=""
="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="(3.37)",="",="",="",=""

="qoi37mean_pooled",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="0.0445**",="",="",=""
="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="(3.29)",="",="",=""

="qoi38mean_pooled",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="0.0371**",="",=""
="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="(2.68)",="",=""

="qoi39mean_pooled",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="0.0472***",=""
="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="(4.28)",=""

="qoi40mean_pooled",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="0.0293"
="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="(1.95)"

="_cons",="-0.267***",="-0.168***",="-0.200***",="-0.0613*",="-0.139***",="-0.0549***",="-0.0210",="-0.0974**",="-0.0822**",="-0.302***",="-0.0648",="-0.235***",="-0.132*",="-0.0804*",="-0.129**",="-0.114**",="-0.111**",="-0.131***",="-0.0831"
="",="(-7.70)",="(-6.16)",="(-6.39)",="(-1.97)",="(-6.22)",="(-4.23)",="(-0.73)",="(-2.92)",="(-2.65)",="(-5.49)",="(-1.41)",="(-3.80)",="(-2.06)",="(-2.41)",="(-3.30)",="(-3.21)",="(-2.61)",="(-4.19)",="(-1.89)"

="N",="811",="811",="811",="811",="811",="793",="793",="793",="793",="811",="811",="811",="811",="811",="811",="811",="811",="811",="811"

="t statistics in parentheses"
="* p<0.05, ** p<0.01, *** p<0.001"
