
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)",="(9)",="(10)",="(11)",="(12)",="(13)",="(14)",="(15)",="(16)",="(17)",="(18)",="(19)"
="",="va_enr",="va_enr",="va_enr",="va_enr",="va_enr",="va_enr",="va_enr",="va_enr",="va_enr",="va_enr",="va_enr",="va_enr",="va_enr",="va_enr",="va_enr",="va_enr",="va_enr",="va_enr",="va_enr"

="qoi22mean_pooled",="0.121***",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="",="(12.10)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""

="qoi23mean_pooled",="",="0.0836***",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="",="",="(10.47)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""

="qoi24mean_pooled",="",="",="0.105***",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="",="",="",="(11.12)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""

="qoi25mean_pooled",="",="",="",="0.0601***",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="",="",="",="",="(6.34)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""

="qoi26mean_pooled",="",="",="",="",="0.0742***",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="",="",="",="",="",="(11.76)",="",="",="",="",="",="",="",="",="",="",="",="",="",=""

="qoi27mean_pooled",="",="",="",="",="",="0.0385***",="",="",="",="",="",="",="",="",="",="",="",="",=""
="",="",="",="",="",="",="(9.20)",="",="",="",="",="",="",="",="",="",="",="",="",=""

="qoi28mean_pooled",="",="",="",="",="",="",="0.0442***",="",="",="",="",="",="",="",="",="",="",="",=""
="",="",="",="",="",="",="",="(4.78)",="",="",="",="",="",="",="",="",="",="",="",=""

="qoi29mean_pooled",="",="",="",="",="",="",="",="0.0816***",="",="",="",="",="",="",="",="",="",="",=""
="",="",="",="",="",="",="",="",="(7.95)",="",="",="",="",="",="",="",="",="",="",=""

="qoi30mean_pooled",="",="",="",="",="",="",="",="",="0.0726***",="",="",="",="",="",="",="",="",="",=""
="",="",="",="",="",="",="",="",="",="(7.39)",="",="",="",="",="",="",="",="",="",=""

="qoi31mean_pooled",="",="",="",="",="",="",="",="",="",="0.125***",="",="",="",="",="",="",="",="",=""
="",="",="",="",="",="",="",="",="",="",="(8.74)",="",="",="",="",="",="",="",="",=""

="qoi32mean_pooled",="",="",="",="",="",="",="",="",="",="",="0.0515***",="",="",="",="",="",="",="",=""
="",="",="",="",="",="",="",="",="",="",="",="(3.76)",="",="",="",="",="",="",="",=""

="qoi33mean_pooled",="",="",="",="",="",="",="",="",="",="",="",="0.130***",="",="",="",="",="",="",=""
="",="",="",="",="",="",="",="",="",="",="",="",="(7.77)",="",="",="",="",="",="",=""

="qoi34mean_pooled",="",="",="",="",="",="",="",="",="",="",="",="",="0.0627***",="",="",="",="",="",=""
="",="",="",="",="",="",="",="",="",="",="",="",="",="(3.70)",="",="",="",="",="",=""

="qoi35mean_pooled",="",="",="",="",="",="",="",="",="",="",="",="",="",="0.0727***",="",="",="",="",=""
="",="",="",="",="",="",="",="",="",="",="",="",="",="",="(5.52)",="",="",="",="",=""

="qoi36mean_pooled",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="0.105***",="",="",="",=""
="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="(7.29)",="",="",="",=""

="qoi37mean_pooled",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="0.0898***",="",="",=""
="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="(6.29)",="",="",=""

="qoi38mean_pooled",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="0.0918***",="",=""
="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="(6.31)",="",=""

="qoi39mean_pooled",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="0.0954***",=""
="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="(8.32)",=""

="qoi40mean_pooled",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="0.0856***"
="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="(5.39)"

="_cons",="-0.425***",="-0.291***",="-0.353***",="-0.204***",="-0.263***",="-0.120***",="-0.142***",="-0.273***",="-0.236***",="-0.499***",="-0.181***",="-0.498***",="-0.248***",="-0.191***",="-0.294***",="-0.233***",="-0.278***",="-0.267***",="-0.247***"
="",="(-12.00)",="(-10.35)",="(-11.01)",="(-6.24)",="(-11.59)",="(-8.91)",="(-4.67)",="(-7.86)",="(-7.29)",="(-8.68)",="(-3.70)",="(-7.72)",="(-3.65)",="(-5.43)",="(-7.21)",="(-6.21)",="(-6.23)",="(-8.22)",="(-5.33)"

="N",="812",="812",="812",="812",="812",="793",="793",="793",="793",="812",="812",="812",="812",="812",="812",="812",="812",="812",="812"

="t statistics in parentheses"
="* p<0.05, ** p<0.01, *** p<0.001"
