
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)",="(9)",="(10)",="(11)",="(12)",="(13)",="(14)",="(15)"
="",="va_2yrela",="va_2yrela",="va_2yrela",="va_2yrela",="va_2yrela",="va_2yrela",="va_2yrela",="va_2yrela",="va_2yrela",="va_2yrela",="va_2yrela",="va_2yrela",="va_2yrela",="va_2yrela",="va_2yrela"

="qoi10mean_pooled",="0.00350",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="",="(0.39)",="",="",="",="",="",="",="",="",="",="",="",="",="",=""

="qoi20mean_pooled",="",="-0.00376",="",="",="",="",="",="",="",="",="",="",="",="",=""
="",="",="(-0.38)",="",="",="",="",="",="",="",="",="",="",="",="",=""

="qoi24mean_pooled",="",="",="0.00542",="",="",="",="",="",="",="",="",="",="",="",=""
="",="",="",="(0.47)",="",="",="",="",="",="",="",="",="",="",="",=""

="qoi41mean_pooled",="",="",="",="-0.00831",="",="",="",="",="",="",="",="",="",="",=""
="",="",="",="",="(-0.89)",="",="",="",="",="",="",="",="",="",="",=""

="qoi44mean_pooled",="",="",="",="",="-0.000162",="",="",="",="",="",="",="",="",="",=""
="",="",="",="",="",="(-0.02)",="",="",="",="",="",="",="",="",="",=""

="qoi64mean_pooled",="",="",="",="",="",="0.0167",="",="",="",="",="",="",="",="",=""
="",="",="",="",="",="",="(1.51)",="",="",="",="",="",="",="",="",=""

="qoi87mean_pooled",="",="",="",="",="",="",="-0.0114",="",="",="",="",="",="",="",=""
="",="",="",="",="",="",="",="(-1.02)",="",="",="",="",="",="",="",=""

="qoi128mean_pooled",="",="",="",="",="",="",="",="0.0105",="",="",="",="",="",="",=""
="",="",="",="",="",="",="",="",="(1.35)",="",="",="",="",="",="",=""

="qoi98mean_pooled",="",="",="",="",="",="",="",="",="-0.00921",="",="",="",="",="",=""
="",="",="",="",="",="",="",="",="",="(-1.57)",="",="",="",="",="",=""

="qoi103mean_pooled",="",="",="",="",="",="",="",="",="",="-0.0206",="",="",="",="",=""
="",="",="",="",="",="",="",="",="",="",="(-1.07)",="",="",="",="",=""

="qoi104mean_pooled",="",="",="",="",="",="",="",="",="",="",="-0.000336",="",="",="",=""
="",="",="",="",="",="",="",="",="",="",="",="(-0.02)",="",="",="",=""

="qoi105mean_pooled",="",="",="",="",="",="",="",="",="",="",="",="-0.0185",="",="",=""
="",="",="",="",="",="",="",="",="",="",="",="",="(-0.89)",="",="",=""

="qoi109mean_pooled",="",="",="",="",="",="",="",="",="",="",="",="",="-0.0206",="",=""
="",="",="",="",="",="",="",="",="",="",="",="",="",="(-1.01)",="",=""

="qoi111mean_pooled",="",="",="",="",="",="",="",="",="",="",="",="",="",="-0.0216",=""
="",="",="",="",="",="",="",="",="",="",="",="",="",="",="(-0.89)",=""

="qoi112mean_pooled",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="-0.00903"
="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="(-0.39)"

="_cons",="0.00921",="0.0223",="0.0108",="0.0328",="0.0163",="-0.0184",="0.0408",="-0.00545",="0.0386**",="0.0515",="0.0166",="0.0468",="0.0478",="0.0476",="0.0303"
="",="(0.52)",="(1.33)",="(0.53)",="(1.71)",="(0.82)",="(-0.71)",="(1.77)",="(-0.34)",="(2.62)",="(1.54)",="(0.54)",="(1.36)",="(1.51)",="(1.33)",="(0.82)"

="N",="506",="506",="369",="506",="506",="369",="466",="502",="506",="506",="506",="506",="506",="506",="506"

="t statistics in parentheses"
="* p<0.05, ** p<0.01, *** p<0.001"
