
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)",="(9)",="(10)",="(11)",="(12)",="(13)",="(14)",="(15)"
="",="va_4yr",="va_4yr",="va_4yr",="va_4yr",="va_4yr",="va_4yr",="va_4yr",="va_4yr",="va_4yr",="va_4yr",="va_4yr",="va_4yr",="va_4yr",="va_4yr",="va_4yr"

="qoi10mean_pooled",="-0.0340***",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="",="(-3.73)",="",="",="",="",="",="",="",="",="",="",="",="",="",=""

="qoi20mean_pooled",="",="-0.0422***",="",="",="",="",="",="",="",="",="",="",="",="",=""
="",="",="(-4.22)",="",="",="",="",="",="",="",="",="",="",="",="",=""

="qoi24mean_pooled",="",="",="-0.0309**",="",="",="",="",="",="",="",="",="",="",="",=""
="",="",="",="(-2.65)",="",="",="",="",="",="",="",="",="",="",="",=""

="qoi41mean_pooled",="",="",="",="-0.0151",="",="",="",="",="",="",="",="",="",="",=""
="",="",="",="",="(-1.58)",="",="",="",="",="",="",="",="",="",="",=""

="qoi44mean_pooled",="",="",="",="",="-0.0391***",="",="",="",="",="",="",="",="",="",=""
="",="",="",="",="",="(-3.69)",="",="",="",="",="",="",="",="",="",=""

="qoi64mean_pooled",="",="",="",="",="",="-0.0717***",="",="",="",="",="",="",="",="",=""
="",="",="",="",="",="",="(-6.78)",="",="",="",="",="",="",="",="",=""

="qoi87mean_pooled",="",="",="",="",="",="",="-0.0247*",="",="",="",="",="",="",="",=""
="",="",="",="",="",="",="",="(-2.22)",="",="",="",="",="",="",="",=""

="qoi128mean_pooled",="",="",="",="",="",="",="",="-0.0273***",="",="",="",="",="",="",=""
="",="",="",="",="",="",="",="",="(-3.48)",="",="",="",="",="",="",=""

="qoi98mean_pooled",="",="",="",="",="",="",="",="",="-0.0227***",="",="",="",="",="",=""
="",="",="",="",="",="",="",="",="",="(-3.81)",="",="",="",="",="",=""

="qoi103mean_pooled",="",="",="",="",="",="",="",="",="",="0.0153",="",="",="",="",=""
="",="",="",="",="",="",="",="",="",="",="(0.77)",="",="",="",="",=""

="qoi104mean_pooled",="",="",="",="",="",="",="",="",="",="",="-0.0138",="",="",="",=""
="",="",="",="",="",="",="",="",="",="",="",="(-0.73)",="",="",="",=""

="qoi105mean_pooled",="",="",="",="",="",="",="",="",="",="",="",="0.0477*",="",="",=""
="",="",="",="",="",="",="",="",="",="",="",="",="(2.26)",="",="",=""

="qoi109mean_pooled",="",="",="",="",="",="",="",="",="",="",="",="",="0.0306",="",=""
="",="",="",="",="",="",="",="",="",="",="",="",="",="(1.47)",="",=""

="qoi111mean_pooled",="",="",="",="",="",="",="",="",="",="",="",="",="",="-0.00568",=""
="",="",="",="",="",="",="",="",="",="",="",="",="",="",="(-0.23)",=""

="qoi112mean_pooled",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="0.0622**"
="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="(2.61)"

="_cons",="0.0560**",="0.0603***",="0.0426*",="0.0205",="0.0632**",="0.155***",="0.0378",="0.0457**",="0.0458**",="-0.0363",="0.0130",="-0.0893*",="-0.0572",="-0.00173",="-0.108**"
="",="(3.13)",="(3.57)",="(2.08)",="(1.05)",="(3.15)",="(6.27)",="(1.64)",="(2.79)",="(3.07)",="(-1.06)",="(0.41)",="(-2.53)",="(-1.77)",="(-0.05)",="(-2.87)"

="N",="507",="507",="369",="507",="507",="369",="466",="503",="507",="507",="507",="507",="507",="507",="507"

="t statistics in parentheses"
="* p<0.05, ** p<0.01, *** p<0.001"
