
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)",="(9)",="(10)",="(11)",="(12)",="(13)",="(14)",="(15)"
="",="va_enrdk",="va_enrdk",="va_enrdk",="va_enrdk",="va_enrdk",="va_enrdk",="va_enrdk",="va_enrdk",="va_enrdk",="va_enrdk",="va_enrdk",="va_enrdk",="va_enrdk",="va_enrdk",="va_enrdk"

="qoi10mean_pooled",="-0.00751",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="",="(-1.18)",="",="",="",="",="",="",="",="",="",="",="",="",="",=""

="qoi20mean_pooled",="",="-0.0196**",="",="",="",="",="",="",="",="",="",="",="",="",=""
="",="",="(-2.81)",="",="",="",="",="",="",="",="",="",="",="",="",=""

="qoi24mean_pooled",="",="",="-0.00382",="",="",="",="",="",="",="",="",="",="",="",=""
="",="",="",="(-0.47)",="",="",="",="",="",="",="",="",="",="",="",=""

="qoi41mean_pooled",="",="",="",="-0.00185",="",="",="",="",="",="",="",="",="",="",=""
="",="",="",="",="(-0.28)",="",="",="",="",="",="",="",="",="",="",=""

="qoi44mean_pooled",="",="",="",="",="-0.0116",="",="",="",="",="",="",="",="",="",=""
="",="",="",="",="",="(-1.56)",="",="",="",="",="",="",="",="",="",=""

="qoi64mean_pooled",="",="",="",="",="",="-0.0184*",="",="",="",="",="",="",="",="",=""
="",="",="",="",="",="",="(-2.37)",="",="",="",="",="",="",="",="",=""

="qoi87mean_pooled",="",="",="",="",="",="",="-0.0157*",="",="",="",="",="",="",="",=""
="",="",="",="",="",="",="",="(-1.97)",="",="",="",="",="",="",="",=""

="qoi128mean_pooled",="",="",="",="",="",="",="",="-0.00287",="",="",="",="",="",="",=""
="",="",="",="",="",="",="",="",="(-0.52)",="",="",="",="",="",="",=""

="qoi98mean_pooled",="",="",="",="",="",="",="",="",="-0.0132**",="",="",="",="",="",=""
="",="",="",="",="",="",="",="",="",="(-3.20)",="",="",="",="",="",=""

="qoi103mean_pooled",="",="",="",="",="",="",="",="",="",="-0.0199",="",="",="",="",=""
="",="",="",="",="",="",="",="",="",="",="(-1.46)",="",="",="",="",=""

="qoi104mean_pooled",="",="",="",="",="",="",="",="",="",="",="-0.0179",="",="",="",=""
="",="",="",="",="",="",="",="",="",="",="",="(-1.39)",="",="",="",=""

="qoi105mean_pooled",="",="",="",="",="",="",="",="",="",="",="",="0.00479",="",="",=""
="",="",="",="",="",="",="",="",="",="",="",="",="(0.33)",="",="",=""

="qoi109mean_pooled",="",="",="",="",="",="",="",="",="",="",="",="",="-0.00334",="",=""
="",="",="",="",="",="",="",="",="",="",="",="",="",="(-0.23)",="",=""

="qoi111mean_pooled",="",="",="",="",="",="",="",="",="",="",="",="",="",="-0.0320",=""
="",="",="",="",="",="",="",="",="",="",="",="",="",="",="(-1.86)",=""

="qoi112mean_pooled",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="0.0105"
="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="(0.64)"

="_cons",="0.0214",="0.0396***",="0.0165",="0.0106",="0.0285*",="0.0524**",="0.0382*",="0.0126",="0.0394***",="0.0412",="0.0369",="-0.00111",="0.0120",="0.0535*",="-0.00976"
="",="(1.71)",="(3.36)",="(1.14)",="(0.78)",="(2.04)",="(2.89)",="(2.32)",="(1.10)",="(3.81)",="(1.74)",="(1.70)",="(-0.05)",="(0.54)",="(2.12)",="(-0.37)"

="N",="506",="506",="369",="506",="506",="369",="466",="502",="506",="506",="506",="506",="506",="506",="506"

="t statistics in parentheses"
="* p<0.05, ** p<0.01, *** p<0.001"
