
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)",="(9)",="(10)",="(11)",="(12)",="(13)",="(14)",="(15)"
="",="va_enrmath",="va_enrmath",="va_enrmath",="va_enrmath",="va_enrmath",="va_enrmath",="va_enrmath",="va_enrmath",="va_enrmath",="va_enrmath",="va_enrmath",="va_enrmath",="va_enrmath",="va_enrmath",="va_enrmath"

="qoi10mean_pooled",="-0.00797",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="",="(-1.25)",="",="",="",="",="",="",="",="",="",="",="",="",="",=""

="qoi20mean_pooled",="",="-0.0199**",="",="",="",="",="",="",="",="",="",="",="",="",=""
="",="",="(-2.87)",="",="",="",="",="",="",="",="",="",="",="",="",=""

="qoi24mean_pooled",="",="",="-0.00412",="",="",="",="",="",="",="",="",="",="",="",=""
="",="",="",="(-0.50)",="",="",="",="",="",="",="",="",="",="",="",=""

="qoi41mean_pooled",="",="",="",="-0.00233",="",="",="",="",="",="",="",="",="",="",=""
="",="",="",="",="(-0.35)",="",="",="",="",="",="",="",="",="",="",=""

="qoi44mean_pooled",="",="",="",="",="-0.0119",="",="",="",="",="",="",="",="",="",=""
="",="",="",="",="",="(-1.60)",="",="",="",="",="",="",="",="",="",=""

="qoi64mean_pooled",="",="",="",="",="",="-0.0179*",="",="",="",="",="",="",="",="",=""
="",="",="",="",="",="",="(-2.30)",="",="",="",="",="",="",="",="",=""

="qoi87mean_pooled",="",="",="",="",="",="",="-0.0157*",="",="",="",="",="",="",="",=""
="",="",="",="",="",="",="",="(-1.98)",="",="",="",="",="",="",="",=""

="qoi128mean_pooled",="",="",="",="",="",="",="",="-0.00295",="",="",="",="",="",="",=""
="",="",="",="",="",="",="",="",="(-0.54)",="",="",="",="",="",="",=""

="qoi98mean_pooled",="",="",="",="",="",="",="",="",="-0.0135**",="",="",="",="",="",=""
="",="",="",="",="",="",="",="",="",="(-3.26)",="",="",="",="",="",=""

="qoi103mean_pooled",="",="",="",="",="",="",="",="",="",="-0.0203",="",="",="",="",=""
="",="",="",="",="",="",="",="",="",="",="(-1.49)",="",="",="",="",=""

="qoi104mean_pooled",="",="",="",="",="",="",="",="",="",="",="-0.0179",="",="",="",=""
="",="",="",="",="",="",="",="",="",="",="",="(-1.39)",="",="",="",=""

="qoi105mean_pooled",="",="",="",="",="",="",="",="",="",="",="",="0.00398",="",="",=""
="",="",="",="",="",="",="",="",="",="",="",="",="(0.27)",="",="",=""

="qoi109mean_pooled",="",="",="",="",="",="",="",="",="",="",="",="",="-0.00318",="",=""
="",="",="",="",="",="",="",="",="",="",="",="",="",="(-0.22)",="",=""

="qoi111mean_pooled",="",="",="",="",="",="",="",="",="",="",="",="",="",="-0.0319",=""
="",="",="",="",="",="",="",="",="",="",="",="",="",="",="(-1.86)",=""

="qoi112mean_pooled",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="0.0115"
="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="(0.70)"

="_cons",="0.0223",="0.0401***",="0.0170",="0.0115",="0.0290*",="0.0511**",="0.0383*",="0.0128",="0.0399***",="0.0419",="0.0368",="0.000226",="0.0117",="0.0535*",="-0.0113"
="",="(1.78)",="(3.41)",="(1.18)",="(0.85)",="(2.08)",="(2.83)",="(2.33)",="(1.11)",="(3.86)",="(1.78)",="(1.70)",="(0.01)",="(0.53)",="(2.12)",="(-0.43)"

="N",="506",="506",="369",="506",="506",="369",="466",="502",="506",="506",="506",="506",="506",="506",="506"

="t statistics in parentheses"
="* p<0.05, ** p<0.01, *** p<0.001"
