
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)",="(9)",="(10)",="(11)",="(12)",="(13)",="(14)",="(15)"
="",="va_enr",="va_enr",="va_enr",="va_enr",="va_enr",="va_enr",="va_enr",="va_enr",="va_enr",="va_enr",="va_enr",="va_enr",="va_enr",="va_enr",="va_enr"

="qoi10mean_pooled",="-0.0251***",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="",="(-3.74)",="",="",="",="",="",="",="",="",="",="",="",="",="",=""

="qoi20mean_pooled",="",="-0.0384***",="",="",="",="",="",="",="",="",="",="",="",="",=""
="",="",="(-5.28)",="",="",="",="",="",="",="",="",="",="",="",="",=""

="qoi24mean_pooled",="",="",="-0.0206*",="",="",="",="",="",="",="",="",="",="",="",=""
="",="",="",="(-2.36)",="",="",="",="",="",="",="",="",="",="",="",=""

="qoi41mean_pooled",="",="",="",="-0.0213**",="",="",="",="",="",="",="",="",="",="",=""
="",="",="",="",="(-3.03)",="",="",="",="",="",="",="",="",="",="",=""

="qoi44mean_pooled",="",="",="",="",="-0.0326***",="",="",="",="",="",="",="",="",="",=""
="",="",="",="",="",="(-4.19)",="",="",="",="",="",="",="",="",="",=""

="qoi64mean_pooled",="",="",="",="",="",="-0.0422***",="",="",="",="",="",="",="",="",=""
="",="",="",="",="",="",="(-5.22)",="",="",="",="",="",="",="",="",=""

="qoi87mean_pooled",="",="",="",="",="",="",="-0.0314***",="",="",="",="",="",="",="",=""
="",="",="",="",="",="",="",="(-3.76)",="",="",="",="",="",="",="",=""

="qoi128mean_pooled",="",="",="",="",="",="",="",="-0.0123*",="",="",="",="",="",="",=""
="",="",="",="",="",="",="",="",="(-2.11)",="",="",="",="",="",="",=""

="qoi98mean_pooled",="",="",="",="",="",="",="",="",="-0.0277***",="",="",="",="",="",=""
="",="",="",="",="",="",="",="",="",="(-6.48)",="",="",="",="",="",=""

="qoi103mean_pooled",="",="",="",="",="",="",="",="",="",="-0.00699",="",="",="",="",=""
="",="",="",="",="",="",="",="",="",="",="(-0.48)",="",="",="",="",=""

="qoi104mean_pooled",="",="",="",="",="",="",="",="",="",="",="-0.0110",="",="",="",=""
="",="",="",="",="",="",="",="",="",="",="",="(-0.79)",="",="",="",=""

="qoi105mean_pooled",="",="",="",="",="",="",="",="",="",="",="",="0.0206",="",="",=""
="",="",="",="",="",="",="",="",="",="",="",="",="(1.32)",="",="",=""

="qoi109mean_pooled",="",="",="",="",="",="",="",="",="",="",="",="",="0.00544",="",=""
="",="",="",="",="",="",="",="",="",="",="",="",="",="(0.35)",="",=""

="qoi111mean_pooled",="",="",="",="",="",="",="",="",="",="",="",="",="",="-0.0246",=""
="",="",="",="",="",="",="",="",="",="",="",="",="",="",="(-1.34)",=""

="qoi112mean_pooled",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="0.0435*"
="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="(2.47)"

="_cons",="0.0560***",="0.0715***",="0.0462**",="0.0503***",="0.0684***",="0.108***",="0.0706***",="0.0325**",="0.0754***",="0.0193",="0.0256",="-0.0269",="-0.00109",="0.0433",="-0.0613*"
="",="(4.24)",="(5.79)",="(3.02)",="(3.51)",="(4.64)",="(5.73)",="(4.10)",="(2.66)",="(7.04)",="(0.77)",="(1.11)",="(-1.03)",="(-0.05)",="(1.61)",="(-2.20)"

="N",="507",="507",="369",="507",="507",="369",="466",="503",="507",="507",="507",="507",="507",="507",="507"

="t statistics in parentheses"
="* p<0.05, ** p<0.01, *** p<0.001"
