="",="Factor1",="Factor2",="Factor3",="Factor4",="Factor5",="Factor6",="Factor7",="Factor8",="Factor9",="Factor10",="Factor11",="Factor12",="Factor13",="Factor14",="Factor15",="Factor16",="Factor17",="Factor18",="Factor19",="Factor20",="Factor21",="Factor22"
="parentqoi9mean_pooled",=".5107832",=".6335508",="-.0873481",=".1314964",=".0478539",=".0340543",="-.1053686",="-.0516896",=".0604985",=".0789663",=".1328718",="-.0788351",="-.0849109",="-.0125854",="-.1130896",=".0953914",="-.065864",=".0683328",=".0172335",="-.0069246",="-.0376884",=".0131173"
="parentqoi15mean_pooled",=".3113193",=".7550297",="-.1256486",=".0069752",=".0832215",=".2201118",=".1022279",=".0940163",=".0062551",="-.0259579",=".0001631",=".066223",="-.1506228",="-.1530345",=".0152212",="-.0366814",=".0085338",=".0110626",="-.0047904",=".0167145",=".0601371",="-.0072476"
="parentqoi16mean_pooled",=".5852582",=".6588088",="-.1273318",=".1013772",=".0859335",=".0227561",="-.0568082",=".0071547",="-.0358166",="-.0384534",="-.0554667",="-.0301319",="-.1013274",="-.1452116",=".0221297",=".0823728",="-.008195",="-.0839656",=".0345158",="-.0459737",=".007448",=".0076129"
="parentqoi17mean_pooled",=".4556247",=".7245072",="-.1741547",=".0877814",=".148577",="-.0598144",=".0144021",=".0680839",=".048019",="-.0099094",=".2771699",="-.0236621",=".0169871",=".0200018",="-.0311435",="-.0596031",=".0155033",="-.0234038",=".0004098",="-.0033675",="-.0097213",=".0290502"
="parentqoi27mean_pooled",=".522682",=".6495694",="-.197776",=".1163112",=".091167",="-.1273507",="-.0158715",=".0330876",=".0097645",="-.0108899",=".1763992",="-.0191851",=".0648357",=".0173598",=".0479675",="-.1078433",=".049928",="-.0842058",="-.02491",="-.0492118",="-.0110855",="-.016508"
="parentqoi30mean_pooled",=".557244",=".6400466",="-.1013059",=".1346391",=".1193329",=".0350824",="-.0436233",="-.0113897",="-.1565218",="-.0210623",="-.2752045",="-.0029465",=".0715112",=".0492334",=".0057163",=".0386155",=".0010641",="-.0067334",=".0304914",="-.0051544",="-.0179187",=".0039525"
="parentqoi31mean_pooled",=".5604907",=".6989046",="-.1747385",=".1143698",=".1121028",="-.0357459",=".0401513",="-.0144423",="-.0247022",="-.0047227",="-.1519229",=".0097752",="-.0277031",="-.069894",="-.0138839",="-.0384452",="-.0042245",=".0172069",=".0021772",=".0339681",="-.031281",="-.0594774"
="parentqoi32mean_pooled",=".4649934",=".6022826",="-.1214987",="-.0021873",=".0336571",="-.1177998",=".0260494",=".0367929",="-.1448825",="-.0148549",="-.1560308",="-.0012783",=".146154",=".132489",=".0583835",=".0530495",=".031899",="-.034827",=".0106299",="-.0205462",=".0611847",=".0290005"
="parentqoi33mean_pooled",=".5177865",=".6120141",="-.0600784",="-.000146",=".0694182",="-.1758564",="-.0437107",=".0258948",="-.0229811",=".0027669",=".2286768",="-.1334332",=".0761121",=".103218",="-.0413322",=".0564066",="-.0253265",=".0674838",="-.0170846",=".0124146",=".0385621",="-.0231277"
="parentqoi34mean_pooled",=".5267772",=".6837034",="-.1290384",=".1640693",=".0787121",="-.00696",="-.047012",="-.0247712",="-.010675",=".0165981",="-.203129",=".0327603",=".0491469",=".0334937",=".0002477",="-.0631321",="-.0121048",=".0688372",="-.0460538",=".0391519",="-.0493884",=".0079703"
="parentqoi64mean_pooled",=".0448468",=".625711",=".0082762",=".0061213",=".0858945",=".3067576",="-.2116991",=".0731741",=".2563455",="-.024749",=".0261871",=".1131214",="-.0523712",=".0629649",=".0475682",=".0017997",=".0352157",=".0109692",="-.0061697",=".0218526",=".0078377",=".0171228"
="secqoi22mean_pooled",=".520551",="-.468113",="-.2248982",=".3928025",=".0282048",="-.0445318",="-.2422236",=".1073738",="-.2419738",="-.0622256",=".0648427",=".1264209",=".0478482",="-.0462451",=".0069889",=".0183667",="-.0317586",="-.0061928",="-.0379958",=".0466235",=".0116982",="-.0139766"
="secqoi23mean_pooled",=".7874502",="-.2908044",="-.1132998",=".0068851",=".0375846",=".2470574",="-.2072743",="-.158842",="-.1482691",="-.017707",=".0031575",=".1112931",=".0370585",="-.0017649",="-.1198851",="-.0533849",=".0102032",=".0130794",=".0104434",="-.0598867",="-.0138658",=".01266"
="secqoi24mean_pooled",=".8349894",="-.3375711",="-.1357324",="-.0101113",="-.001766",=".0778804",="-.1657668",="-.1243068",="-.1801745",="-.0360764",=".1111305",=".0348977",=".1042305",="-.0918313",="-.0415488",="-.031883",=".0135267",=".0198097",=".0345236",=".0172712",=".0266851",=".0171424"
="secqoi25mean_pooled",=".8034423",=".0163901",=".0089551",="-.3504693",="-.0310474",=".1340744",=".0085184",="-.1990095",=".0756752",=".0435926",="-.1089899",="-.0122984",="-.004901",=".0392639",="-.1240679",=".0181751",=".0263409",="-.0784828",="-.0227116",="-.0005656",=".0240244",="-.0134816"
="secqoi26mean_pooled",=".8617051",="-.2050248",=".0896781",="-.1136834",="-.0700638",=".0827328",="-.1890641",="-.1915343",="-.0909262",="-.0861259",=".0330091",="-.1166376",="-.0360379",="-.0079747",=".0596897",="-.0235346",=".0353838",=".0250259",="-.0599387",="-.0150771",=".0017926",="-.0020409"
="secqoi27mean_pooled",=".7116478",=".088294",=".2234998",="-.2349014",="-.1310711",=".0653739",="-.0951643",="-.2857709",=".0171187",="-.0750403",="-.0136829",="-.1172534",="-.057018",="-.0036796",=".154927",=".0125313",=".0243492",=".0584165",="-.0282136",=".0011422",="-.0179494",=".0200299"
="secqoi28mean_pooled",=".8185737",="-.1303609",="-.28146",="-.0394969",=".0354668",="-.1223414",=".254719",="-.1448848",=".0325034",=".008265",=".0173242",=".1630463",="-.1015744",=".1043816",=".0053747",=".0305748",="-.0335257",=".0153792",=".0166176",="-.0321845",="-.0017774",=".0050682"
="secqoi29mean_pooled",=".8532801",="-.2011521",="-.2360899",=".0480624",=".0526151",="-.0470958",=".0566145",="-.1450643",=".0166457",="-.0701128",=".1327882",=".1513689",="-.0159584",=".0673692",=".0953027",=".0324574",="-.0581718",="-.0425611",=".0270656",=".0078232",="-.0376931",="-.0235025"
="secqoi30mean_pooled",=".8373812",="-.0362059",="-.1356018",="-.2197151",="-.0051166",=".1295091",=".1561321",="-.2364437",=".021541",=".0165377",=".0737674",=".0673418",="-.0455578",=".0338111",=".0031803",="-.0007914",=".0422613",="-.0091925",=".0431792",=".0614629",=".0202727",="-.0116555"
="secqoi31mean_pooled",=".6646257",="-.5224029",="-.2293282",=".3095801",=".1259076",=".0495091",=".0732137",=".0397568",="-.0203781",=".0477906",="-.0117108",="-.1661649",="-.0664837",=".0287362",="-.0184539",="-.0036066",=".0664486",="-.0328268",=".0107973",="-.0120056",="-.0200494",="-.0203941"
="secqoi32mean_pooled",=".5722491",="-.2743169",="-.3939092",=".1436532",=".1283176",=".3389888",=".1448685",="-.0312404",=".2492409",=".05987",="-.0523386",="-.0262784",=".1563572",="-.0584062",=".0225158",="-.013444",="-.0896448",=".0391921",="-.0050599",="-.0201821",=".0372551",=".0149802"
="secqoi33mean_pooled",=".6616807",="-.4731657",="-.3287826",=".273333",=".129284",=".210451",=".0809788",=".02731",=".124718",=".0682263",="-.0064259",="-.0890165",=".0848559",="-.0194706",=".0625016",="-.0003633",="-.0219331",="-.0215365",="-.0244817",=".0254355",=".0131135",=".0155191"
="secqoi34mean_pooled",=".5787435",="-.5231077",="-.3418265",=".3674943",=".1703505",=".0562984",=".1743204",=".0497323",=".0653811",=".0490809",="-.0127809",="-.0843835",="-.0069413",=".0026049",="-.0033187",=".0338828",=".0869036",=".0069776",=".0223425",="-.0033206",="-.0318125",="-.0202187"
="secqoi35mean_pooled",=".7979121",="-.11954",="-.0588764",="-.3762525",="-.0701295",="-.1004975",="-.1328451",=".2189355",=".0387047",="-.0151787",=".0400019",=".0239964",=".0476773",="-.022518",=".0800694",=".0024219",="-.0360075",="-.0251734",=".0262239",=".042506",="-.0227997",="-.0250895"
="secqoi36mean_pooled",=".8420007",="-.1601735",="-.1414014",="-.3357744",=".0058982",="-.0522035",="-.0163574",=".2165091",=".00165",=".0121767",="-.0376555",=".0186343",="-.0182713",="-.0308706",=".0096799",="-.0276943",="-.019486",=".0246992",="-.0127422",="-.0353331",="-.0261265",=".0327591"
="secqoi37mean_pooled",=".7598191",="-.062533",="-.0268364",="-.4926781",="-.0770848",="-.0912147",=".047701",=".1173047",="-.0061722",=".00489",="-.0249466",="-.0810396",=".0576142",="-.0623089",=".0207523",="-.0354897",="-.0506643",=".0162456",=".0635141",="-.0418531",="-.0210078",="-.0090749"
="secqoi38mean_pooled",=".8276914",="-.3000782",="-.2303548",="-.1173151",=".0498502",="-.1698787",=".0440332",=".1997522",="-.0400066",=".028363",="-.0236151",=".0394959",="-.0814702",="-.0025162",="-.0280834",=".0070043",=".0830658",=".0292905",="-.0095441",=".0152762",="-.0187626",=".064668"
