="",="Factor 1",="Factor 2",="Factor 3",="Factor 4",="Factor 5",="Factor 6",="Uniqueness"
="parentqoi9mean_pooled",=".5189861",=".6168617",=".1592934",="-.016037",=".1239583",=".0624969",=".305232"
="parentqoi15mean_pooled",=".3235837",=".7374917",=".1816802",=".0865857",=".0192417",=".2076505",=".2674058"
="parentqoi16mean_pooled",=".5952912",=".6378822",=".1777341",=".0574748",=".1184831",=".0313737",=".1888194"
="parentqoi17mean_pooled",=".4688831",=".7038939",=".2155479",=".1233463",=".1238848",="-.0714562",=".2025533"
="parentqoi27mean_pooled",=".5350718",=".6265134",=".2389204",=".0662317",=".1251056",="-.1295466",=".2272758"
="parentqoi30mean_pooled",=".5661261",=".6221638",=".154535",=".0676265",=".1635777",=".0391618",=".2356677"
="parentqoi31mean_pooled",=".572731",=".6762156",=".222916",=".0765891",=".1328069",="-.0390155",=".1399943"
="parentqoi32mean_pooled",=".476054",=".5836049",=".1515172",=".058466",=".0050501",="-.1309988",=".3892161"
="parentqoi33mean_pooled",=".5292836",=".6002679",=".0858574",=".0682735",=".0258363",="-.1719009",=".3172871"
="parentqoi34mean_pooled",=".5367799",=".6639201",=".1950556",=".0142785",=".16884",=".012923",=".204153"
="parentqoi64mean_pooled",=".0533599",=".6210595",=".035764",=".0888163",=".0499005",=".348023",=".4786603"
="secqoi22mean_pooled",=".510345",="-.4947312",=".2184888",="-.0533905",=".376526",="-.0358099",=".301147"
="secqoi23mean_pooled",=".7825566",="-.3130327",=".0680472",=".0871062",=".0426578",=".2592567",=".208364"
="secqoi24mean_pooled",=".8318429",="-.3606038",=".0760036",=".060724",=".0105076",=".0799393",=".1620376"
="secqoi25mean_pooled",=".8072081",=".0055488",="-.0639159",=".1067178",="-.3190596",=".1408178",=".2112817"
="secqoi26mean_pooled",=".8598952",="-.2116985",="-.1482698",=".0034907",="-.0853752",=".105288",=".1753933"
="secqoi27mean_pooled",=".7159983",=".0934441",="-.2749172",="-.028365",="-.2095516",=".0931392",=".3496439"
="secqoi28mean_pooled",=".8204944",="-.1626127",=".2522427",=".0648568",="-.0473835",="-.1574508",=".2054773"
="secqoi29mean_pooled",=".8528943",="-.2312691",=".2054819",=".0574858",=".0577178",="-.0614232",=".1664543"
="secqoi30mean_pooled",=".8420904",="-.0593901",=".0795034",=".1037539",="-.198318",=".106461",=".219607"
="secqoi31mean_pooled",=".6550469",="-.547491",=".2126034",=".0112386",=".3157465",=".0336641",=".1250115"
="secqoi32mean_pooled",=".5721981",="-.3125698",=".3569012",=".1252275",=".1578454",=".3116833",=".3097674"
="secqoi33mean_pooled",=".6547364",="-.507114",=".3079178",=".0504639",=".2764226",=".1916544",=".1036548"
="secqoi34mean_pooled",=".5703593",="-.5552285",=".3292372",=".0396878",=".3711618",=".0229684",=".1181507"
="secqoi35mean_pooled",=".8008064",="-.1354957",="-.0116256",=".0952623",="-.359389",="-.0750026",=".1963542"
="secqoi36mean_pooled",=".843741",="-.1819948",=".076224",=".1445993",="-.3108816",="-.0484062",=".1292695"
="secqoi37mean_pooled",=".764857",="-.0746336",="-.0490531",=".1169591",="-.4766941",="-.0952686",=".1570246"
="secqoi38mean_pooled",=".825703",="-.3277372",=".1844436",=".1006748",="-.1073229",="-.1789495",=".1231069"
="secqoi39mean_pooled",=".8319423",="-.1798427",="-.0853288",=".1088694",="-.3208771",=".1108112",=".1411538"
="secqoi40mean_pooled",=".8173323",="-.2818749",=".170421",=".1594175",="-.2007467",="-.0364723",=".1564277"
="staffqoi10mean_pooled",="-.3452447",="-.1880798",=".3939757",=".3657388",=".0854038",="-.3689471",=".4130346"
="staffqoi20mean_pooled",="-.0661116",=".1612265",=".2101849",=".3118285",="-.2335963",="-.3850499",=".6253899"
="staffqoi24mean_pooled",="-.5963127",="-.1274583",=".3542828",=".4501245",="-.0843933",=".1054075",=".2818042"
="staffqoi41mean_pooled",="-.5726593",="-.2195966",=".3034766",=".4676345",=".1474951",=".1315887",=".2739882"
="staffqoi44mean_pooled",="-.7126635",="-.1456478",=".3177765",=".4936207",=".0060499",=".0810387",=".1196504"
="staffqoi64mean_pooled",="-.6903784",=".1436284",=".2431641",=".3191042",="-.1990338",=".0400184",=".3005763"
="staffqoi87mean_pooled",="-.643516",=".0295091",=".1597102",=".4295028",="-.1057384",=".2016485",=".3231936"
="staffqoi98mean_pooled",="-.6750172",=".2860994",="-.0439299",=".2221283",="-.2799425",=".312693",=".2350833"
="staffqoi103mean_pooled",=".160359",=".0430288",="-.6955295",=".3987945",=".1589257",=".0641638",=".3002608"
="staffqoi104mean_pooled",=".1853403",=".0863484",="-.6641998",=".42058",=".1481152",="-.0071147",=".3181552"
="staffqoi105mean_pooled",=".3410428",="-.0369438",="-.681831",=".3316562",=".1493593",=".0327751",=".2840533"
="staffqoi109mean_pooled",=".276259",=".0651645",="-.6520407",=".3205017",=".1531213",="-.1328598",=".3504582"
="staffqoi111mean_pooled",=".3000352",="-.0626767",="-.5552575",=".2635208",=".251289",="-.0880254",=".4574018"
="staffqoi112mean_pooled",=".533386",="-.0183366",="-.5526543",=".0305205",=".1575653",="-.0522163",=".3812516"
="staffqoi128mean_pooled",="-.3551453",="-.1916671",=".2156044",=".3925311",=".1233377",="-.2394673",=".5640128"
