
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)",="(9)",="(10)",="(11)",="(12)",="(13)",="(14)"
="",="z_va_ela",="z_va_math",="z_va_enr",="z_va_enrela",="z_va_enrmath",="z_va_enrdk",="z_va_2yr",="z_va_2yrela",="z_va_2yrmath",="z_va_2yrdk",="z_va_4yr",="z_va_4yrela",="z_va_4yrmath",="z_va_4yrdk"

="z_climateindex",="0.258",="0.480***",="0.497***",="0.461**",="0.380**",="0.381**",="0.115",="0.123",="0.145",="0.146",="0.319**",="0.266*",="0.161",="0.160"
="",="(1.92)",="(3.82)",="(3.63)",="(3.22)",="(2.72)",="(2.72)",="(0.86)",="(0.92)",="(1.08)",="(1.09)",="(2.62)",="(2.09)",="(1.27)",="(1.27)"

="z_qualityindex",="-0.0787",="-0.171",="-0.498***",="-0.486**",="-0.465**",="-0.465**",="-0.248",="-0.245",="-0.253",="-0.255",="-0.204",="-0.182",="-0.141",="-0.141"
="",="(-0.55)",="(-1.28)",="(-3.41)",="(-3.19)",="(-3.12)",="(-3.12)",="(-1.74)",="(-1.72)",="(-1.78)",="(-1.78)",="(-1.57)",="(-1.34)",="(-1.04)",="(-1.04)"

="z_supportindex",="0.0857",="0.0382",="0.193*",="0.163*",="0.166*",="0.166*",="0.0624",="0.0515",="0.0528",="0.0512",="0.124",="0.106",="0.108",="0.109"
="",="(1.12)",="(0.54)",="(2.49)",="(2.01)",="(2.10)",="(2.08)",="(0.82)",="(0.68)",="(0.70)",="(0.67)",="(1.80)",="(1.47)",="(1.49)",="(1.52)"

="_cons",="-0.0150",="0.0424",="0.143*",="0.158**",="0.146*",="0.147*",="0.240***",="0.241***",="0.242***",="0.246***",="-0.132**",="-0.129*",="-0.152**",="-0.153**"
="",="(-0.27)",="(0.81)",="(2.50)",="(2.65)",="(2.50)",="(2.52)",="(4.31)",="(4.33)",="(4.34)",="(4.39)",="(-2.60)",="(-2.44)",="(-2.87)",="(-2.91)"

="N",="292",="292",="292",="292",="292",="292",="292",="292",="292",="292",="292",="292",="292",="292"

="t statistics in parentheses"
="* p<0.05, ** p<0.01, *** p<0.001"
