
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)",="(9)",="(10)",="(11)",="(12)",="(13)",="(14)"
="",="z_va_ela",="z_va_math",="z_va_enr",="z_va_enrela",="z_va_enrmath",="z_va_enrdk",="z_va_2yr",="z_va_2yrela",="z_va_2yrmath",="z_va_2yrdk",="z_va_4yr",="z_va_4yrela",="z_va_4yrmath",="z_va_4yrdk"

="z_climateindex",="0.613***",="0.561***",="0.331***",="0.156*",="0.121",="0.110",="0.104",="0.0883",="0.114",="0.0968",="0.186*",="0.0411",="-0.0185",="-0.00800"
="",="(8.57)",="(7.83)",="(4.49)",="(2.07)",="(1.60)",="(1.46)",="(1.35)",="(1.15)",="(1.49)",="(1.26)",="(2.52)",="(0.55)",="(-0.24)",="(-0.11)"

="z_qualityindex",="-0.382***",="-0.158*",="-0.279***",="-0.173*",="-0.236**",="-0.224**",="-0.234**",="-0.224**",="-0.235**",="-0.217**",="0.00242",="0.0932",="0.0571",="0.0460"
="",="(-5.70)",="(-2.36)",="(-4.01)",="(-2.43)",="(-3.30)",="(-3.13)",="(-3.25)",="(-3.10)",="(-3.26)",="(-3.01)",="(0.03)",="(1.32)",="(0.80)",="(0.64)"

="z_supportindex",="-0.0810",="-0.146*",="0.0320",="0.0502",="0.0744",="0.0741",="0.0198",="0.0212",="0.0177",="0.0172",="0.00700",="0.0218",="0.0475",="0.0478"
="",="(-1.41)",="(-2.55)",="(0.54)",="(0.83)",="(1.22)",="(1.22)",="(0.32)",="(0.34)",="(0.29)",="(0.28)",="(0.12)",="(0.36)",="(0.78)",="(0.79)"

="z_motivationindex",="0.209***",="0.155**",="0.310***",="0.267***",="0.253***",="0.251***",="-0.0351",="-0.0396",="-0.0323",="-0.0365",="0.316***",="0.281***",="0.270***",="0.272***"
="",="(3.68)",="(2.73)",="(5.24)",="(4.42)",="(4.17)",="(4.13)",="(-0.57)",="(-0.65)",="(-0.53)",="(-0.60)",="(5.34)",="(4.67)",="(4.45)",="(4.49)"

="_cons",="0.122**",="0.161***",="0.102**",="0.0705",="0.0361",="0.0359",="-0.0540",="-0.0570",="-0.0509",="-0.0515",="0.150***",="0.125**",="0.0930*",="0.0934*"
="",="(3.25)",="(4.28)",="(2.60)",="(1.77)",="(0.90)",="(0.89)",="(-1.34)",="(-1.41)",="(-1.26)",="(-1.27)",="(3.83)",="(3.16)",="(2.32)",="(2.33)"

="N",="909",="909",="898",="897",="897",="897",="898",="897",="897",="897",="898",="897",="897",="897"

="t statistics in parentheses"
="* p<0.05, ** p<0.01, *** p<0.001"
