="",="Factor1",="Factor2",="Factor3",="Factor4",="Factor5"
="qoi9mean_pooled",=".8985566",=".1130901",="-.0006289",="-.044266",=".0337596"
="qoi15mean_pooled",=".7958717",=".2649327",=".0540335",=".0131922",=".0127919"
="qoi16mean_pooled",=".9256863",="-.0113429",=".0402734",="-.0980199",=".0503289"
="qoi17mean_pooled",=".8914221",=".0040206",=".2248122",="-.0050164",="-.0307897"
="qoi27mean_pooled",=".8678067",="-.1389147",=".1938449",=".0014091",="-.0440058"
="qoi30mean_pooled",=".8995796",="-.0476347",="-.2002039",="-.0415654",="-.0295017"
="qoi31mean_pooled",=".9244836",=".0048362",="-.1114923",="-.0796661",="-.0212489"
="qoi32mean_pooled",=".7636707",="-.2222062",="-.0871908",=".0853614",=".0340235"
="qoi33mean_pooled",=".8503513",="-.2148682",=".0757573",=".0776314",=".0280587"
="qoi34mean_pooled",=".8939698",=".017913",="-.1874855",=".0660988",="-.0283578"
="qoi64mean_pooled",=".4994188",=".3799802",=".0092142",=".0881223",=".0004456"
