="",="Factor 1",="Factor 2",="Factor 3",="Uniqueness"
="qoi10mean_pooled",=".4138339",=".0765484",=".6716615",=".3717526"
="qoi20mean_pooled",=".1224306",=".0498145",=".3828834",=".8359296"
="qoi24mean_pooled",=".7414734",=".3396565",="-.0073022",=".3347973"
="qoi41mean_pooled",=".6703403",=".3943543",=".1708513",=".3659383"
="qoi44mean_pooled",=".8131265",=".4308349",=".0271344",=".1524704"
="qoi64mean_pooled",=".7084838",=".3342797",="-.2260365",=".3352153"
="qoi87mean_pooled",=".6857598",=".422468",="-.1540581",=".3275203"
="qoi98mean_pooled",=".5443436",=".3542609",="-.4630652",=".3637599"
="qoi103mean_pooled",="-.5026177",=".6732975",="-.0668834",=".2895726"
="qoi104mean_pooled",="-.509925",=".6698211",="-.0334901",=".2901946"
="qoi105mean_pooled",="-.5991503",=".5115993",=".0619932",=".3754419"
="qoi109mean_pooled",="-.5860631",=".5227326",=".0779705",=".3772013"
="qoi111mean_pooled",="-.5863618",=".4274041",=".0483339",=".4711694"
="qoi112mean_pooled",="-.7620841",=".2064312",=".1180924",=".3626682"
="qoi128mean_pooled",=".3901034",=".1976374",=".5442865",=".512511"
