="",="freq",="pct",="cumpct"
="Kindergarten",="11404",="7.96",="7.96"
="1st grade",="11590",="8.09",="16.05"
="2nd  grade",="11475",="8.01",="24.05"
="3rd grade",="12120",="8.46",="32.51"
="4th grade",="12928",="9.02",="41.53"
="5th grade",="13989",="9.76",="51.29"
="6th grade",="10404",="7.26",="58.55"
="7th grade",="10916",="7.62",="66.17"
="8th grade",="9300",="6.49",="72.66"
="9th grade",="10302",="7.19",="79.85"
="10th grade",="9154",="6.39",="86.24"
="11th grade",="9928",="6.93",="93.17"
="12th grade",="8096",="5.65",="98.82"
="Other",="1346",="0.94",="99.76"
="Ungraded",="350",="0.24",="100.00"
="Total",="143302",="100.00",=""
="N",="143302",="",=""
