="teacher in grade 4 or below"
="",="freq",="pct",="cumpct"
="Not marked",="53951",="79.39",="79.39"
="Marked",="14010",="20.61",="100.00"
="Total",="67961",="100.00",=""
="teacher in grade 5 or above"
="",="freq",="pct",="cumpct"
="Not marked",="39891",="58.70",="58.70"
="Marked",="28070",="41.30",="100.00"
="Total",="67961",="100.00",=""
="teacher in both above grade 5 and below grade 4"
="",="freq",="pct",="cumpct"
="0",="67168",="98.83",="98.83"
="1",="793",="1.17",="100.00"
="Total",="67961",="100.00",=""
="special education teacher"
="",="freq",="pct",="cumpct"
="Not marked",="62401",="91.82",="91.82"
="Marked",="5560",="8.18",="100.00"
="Total",="67961",="100.00",=""
