cdscode,freq1617
1611190106401,29
1611190111765,31
1611190126656,96
1611190130229,162
1611190132142,82
1611190134304,4
1611196090005,194
1611196090013,109
1611196090021,140
1611196090039,80
1611196090047,30
1611196090054,124
1611196090112,44
1611196090120,41
1611196100374,95
1611196110779,105
1612590106906,80
2613336002794,15
3100330330068,2
3739810330019,2
3739810330050,3
3739810330753,24
3739810334755,16
3739816002810,26
3739816002828,17
3739816002844,27
3739816002851,13
3739816002869,18
3739816002877,33
3739816107387,27
3739816107395,24
5615726003388,58
5615726003461,71
5615806111884,45
7616480100461,8
7616480100479,14
7616480106583,12
7616480110494,3
7616480113761,16
7616480117218,21
7616480730259,2
7616480730465,30
7616480730861,31
7616486003578,5
7616486003594,5
7616486003602,4
7616486003610,2
7616486003628,4
7616486057178,10
7616486061154,17
7616486084941,5
7616486108989,4
7616486110514,3
7616486113104,12
7616486115380,12
7616486117501,1
7617390730440,3
7617390730549,16
7617396003826,9
7617396003834,53
7617396003842,16
7617396003875,38
7617396057186,55
7617476003909,7
7617476003917,10
7617476003925,63
7617476003933,5
7617540106088,58
7617540730044,117
7617540730317,15
7617540730333,8
7617540730358,5
7617540730416,8
7617540730424,53
7617540731646,187
7617540731836,141
7617540734566,68
7617540734764,77
7617540737809,90
7617546003958,18
7617546003966,53
7617546003974,35
7617546003982,98
7617546004030,49
7617546004048,21
7617546004055,128
7617546004063,254
7617546004097,161
7617546004105,46
7617546004154,62
7617546004162,73
7617546004170,44
7617546004188,64
7617546004196,48
7617546004220,39
7617546004238,2
7617546004246,153
7617546004253,5
7617546004261,77
7617546004295,28
7617546004303,99
7617546004311,68
7617546004329,48
7617546004337,20
7617546004345,103
7617546004352,37
7617546004360,29
7617546004378,36
7617546004394,44
7617546004402,17
7617546004410,47
7617546096226,296
7617546105357,130
7617546111504,49
7617546112395,92
7617546114904,93
7617960730291,14
7617960730325,19
7617960730598,66
7617960732164,5
7617960732941,34
7617960733659,45
7617960735316,41
7617960735902,30
7617966004600,36
7617966004659,4
7617966004667,121
7617966004691,116
7617966004733,20
7617966004741,26
7617966004758,103
7617966004766,33
7617966004774,50
7617966004782,16
7617966004808,110
7617966004824,26
7617966004832,69
7617966004840,9
7617966004857,57
7617966004865,79
7617966004873,20
7617966004881,16
7617966004899,51
7617966004907,76
7617966004915,79
7617966004931,68
7617966004956,85
7617966004964,38
7617966004972,52
7617966004980,10
7617966004998,70
7617966005003,19
7617966005011,76
7617966005037,47
7617966005045,47
7617966057210,28
7617966057228,80
7617966057236,80
7617966057244,40
7617966061170,63
7617966097141,10
7617966099717,12
7617966112015,12
7617966114094,268
7617966119515,33
7617966120885,54
9618460123125,12
9618466005482,67
9618796005508,98
9618796109698,33
9619030937805,11
9619036005565,3
9619606107437,6
10621251031376,14
10621256005979,8
10621256057269,5
10621256113849,1
10624301036607,36
10624301036672,155
10624306007231,348
10624306007256,260
10624306007272,142
10624306007280,268
10624306007298,171
10624306007314,281
10624306007322,153
10624306007348,148
