cdscode,freq1415
1611190106401,26
1611190130229,681
1611190134304,70
1611196090054,97
1611196090112,124
1611760130062,462
1611760134270,278
1611760134452,26
1611760135244,535
1611760138693,499
1611766056873,400
1611766056881,337
1611766056907,525
1611766056915,582
1611766056923,422
1611920133009,10
1611920133629,449
1611920135319,765
1611920138339,414
1611926056931,246
1611926056949,240
1611926056956,219
1611926056972,246
1611926066476,390
1612750130286,57
1612750136515,636
1612756066492,172
1612910137588,831
1612916057111,280
1612916066518,17
1750930125930,389
1750930132704,574
1750930138453,48
1750936066484,274
4755070433953,136
4755076003164,132
7616636003669,159
7617056003719,103
7617476003925,202
7617540731646,1601
7617880125435,234
7617880730184,146
7617880735407,1221
7617886061162,264
7617886084966,288
7617960730275,150
7617960730291,258
7617960730325,101
7617960730598,823
7617960732164,914
7617960732941,1108
7617960733253,134
7617960733659,649
7617960735316,1020
7617960735902,975
7617966004857,68
7617966004980,48
7617966057228,493
7617966057236,295
7617966057244,285
7617966061170,264
7617966119515,229
7617966120885,477
7618040108324,432
7618040113118,1330
7618040116541,359
7618040730051,1355
7618040730218,16
7618040734368,1129
7618040736504,969
7618040736819,45
7618046005078,360
7618046005110,198
7618046005144,175
7618046097166,311
7618046113336,392
7618046117451,337
9618466005482,85
9618530101808,39
9618530930081,965
9618530930164,451
9618530930206,11
9618530930214,69
9618530930222,15
9618530932756,580
9618530934554,69
9618530936302,790
9619030937805,363
9619036005565,226
9619296005615,239
9619526005649,121
9619780101519,179
9619786103527,250
9737830930073,456
10101081030899,21
10101081030923,57
10620426005797,9
10621251031376,486
10621256057269,181
10621256113849,100
10621581032150,288
10621586115190,168
10621661030642,133
10622571033695,455
10623641034990,336
10623646115224,205
10623726007066,4
10624301036607,26
10624301036672,15
10624306111124,324
10738091030121,310
10738096006019,163
10751271030493,360
10751276006977,171
10752346005805,22
10752346006647,10
10755981030535,210
10755986005813,73
12628100108688,81
12628101233352,31
12628101233402,631
12629766008098,41
12753821230085,9
12753821230135,84
12755150127407,116
12755151232057,49
12755151232206,459
12755156057376,142
12768026007868,36
12768026008148,65
13101321330117,17
13630736008262,343
13630811331354,91
13630811331404,607
13630990112318,316
13630991332154,91
13630991332204,1110
13630996111587,278
13631071332501,167
13631076008395,87
13631151330133,923
13631151333004,753
13631151333558,42
13631316008502,51
13631641335900,471
13631646008569,278
13631986008619,43
13632141330018,7
13632141337609,79
13632146106298,48
13632226008643,24
13632306008650,29
14101401430073,5
14632481431352,13
14632486008692,11
14632711438308,5
14632891434901,26
14632896008775,19
14632971436203,6
14632976008791,9
14633056008809,7
14766871430057,17
14766871431600,138
14766876008700,114
15633136008817,214
15633210129189,113
15633216008841,61
15633216008916,136
15633216008957,209
15633216009005,166
15633216009021,138
15633216009153,180
15633216009179,228
15633216111264,226
15633216114284,27
15633476009245,3
15634040112185,79
15634040127712,81
15634046009351,197
15634046115471,146
15634206009419,18
15634386009435,111
15634796104004,230
15635030101014,253
15635036009567,241
15635036112270,298
15635526009666,74
15635786010003,62
15636280122853,12
15636281533843,45
15636696009781,1
15636936103493,362
15637196009963,24
15637506010029,164
15637506117717,220
15637926010094,157
15638006010136,133
15638261530245,52
15638261536135,302
15638266057426,302
15638346010227,74
15735446010011,60
15739081534155,260
15739086106306,141
15751681530401,67
15751686009468,32
15756301530500,17
16639820110205,78
16639821630011,12
16639821635606,716
18640891831601,90
18641056010730,46
18641136010748,40
18641391833805,304
18641626010763,5
18641706010797,27
18641886010805,43
18641966010813,63
19642121930056,716
19642121930361,770
19642121931641,44
19642121931880,436
19642121933159,934
19642126057442,312
19642126057459,259
19642126061220,256
19642126061238,198
19642126066708,325
19642460100081,1244
19642460108407,943
19642460111872,206
19642461930213,825
19642461931732,285
19642461936624,1159
19642461937051,1217
19642461995398,1140
19642461995406,794
19642461995844,1054
19642461995968,51
19642461996644,415
19642871930601,862
19642871936384,100
19642871938166,872
19642876011399,226
19642876011456,193
19642876011472,120
19642876096135,320
19642876110043,54
19643031930775,1135
19643031935618,1234
19643031938190,97
19643031995679,9
19643781931666,659
19644441932201,935
19644446057608,411
19644856012991,372
19644856013015,265
19644856013023,141
19645016013155,161
19645016013171,152
19645016013197,138
19645016013247,172
19645016013254,120
19645016013296,189
19645191930320,685
19645191932664,562
19645191932680,504
19645191937481,649
19645191995661,484
19645271932698,142
19645271932706,996
19645276057681,154
19645276061287,264
19645276061295,226
19645506013601,299
19645506101497,211
19645920100354,277
19645926013965,170
19645926014021,168
19645926115265,129
19646006095434,171
19646266014427,17
19646670106070,230
19646670124099,64
19646671996420,375
19646676014716,70
19646676014740,311
19646676113294,258
19646830101154,231
19646830116129,15
19646831930080,499
19646831931781,396
19646836014781,247
19646836066765,325
19646910112144,260
19646916014922,346
19647330106971,51
19647330107003,126
19647330107011,38
19647330109454,140
19647330112011,100
19647330112052,91
19647330114199,45
19647330117044,68
19647330117051,61
19647330117069,82
