cdscode,freq1314
1611270126631,7
1611270130294,8
1611270130450,76
1611276090146,22
1611276090161,73
1611276095376,17
1611276116222,21
1611500132225,31
1611500135533,5
1611506090351,5
1611506090385,7
1611506090401,6
1611506090468,6
1611506097653,22
1611680132746,24
1611920111815,17
1611920133629,62
1611920138339,31
1611926000889,16
1611926000913,30
1611926000921,21
1611926000947,16
1611926000962,13
1611926000988,21
1611926001044,14
1611926001051,20
1611926001101,13
1611926001127,16
1611926001135,21
1611926001176,10
1611926001192,10
1611926056931,24
1611926056949,28
1611926056956,20
1611926056972,9
1611926062160,32
1611926066476,23
1611926113815,9
1612000130393,8
1612000132670,10
1612000133397,105
1612000134536,64
1612006001234,37
1612006001242,30
1612006001259,20
1612006001283,19
1612006001291,18
1612006001317,27
1612006001341,26
1612006071906,17
1612006085773,30
1612006089338,24
1612006097661,29
1612006110332,20
1612006117543,24
1612340135426,11
1612590100701,16
1612590100792,21
1612590102988,17
1612590106542,20
1612590110189,33
1612590110239,24
1612590110247,25
1612590110254,33
1612590110262,20
1612590112763,21
1612590112771,27
1612590112789,6
1612590112797,32
1612590112805,29
1612590112813,37
1612590115204,24
1612590115576,25
1612590115584,26
1612590115600,33
1612590115618,50
1612590115626,10
1612590115667,31
1612590118653,17
1612590125161,45
1612590125716,55
1612590130146,15
1612590130179,15
1612590130575,28
1612590132688,20
1612590135905,100
1612590136051,136
1612590137943,144
1612596001630,27
1612596001648,40
1612596001655,38
1612596001663,6
1612596001689,21
1612596001697,18
1612596001713,24
1612596001739,18
1612596001754,26
1612596001812,39
1612596001820,63
1612596001838,17
1612596001846,25
1612596001853,27
1612596001879,20
1612596001895,11
1612596001903,30
1612596001911,20
1612596001929,22
1612596001945,24
1612596001978,26
1612596001994,33
1612596002018,39
1612596002042,13
1612596002059,29
1612596002075,19
1612596002083,36
1612596002091,18
1612596002109,20
1612596002117,18
1612596002125,16
1612596002141,32
1612596002174,23
1612596002182,39
1612596002190,18
1612596002216,25
1612596002273,25
1612596056998,32
1612596057004,36
1612596057020,37
1612596057046,16
1612596057061,62
1612596057079,40
1612596057087,36
1612596057095,33
1612596072235,14
1612596096523,41
1612596114011,15
1612596118616,11
1612596118640,24
1612596118657,30
1613090111799,10
1613090130849,22
1613090137745,5
1613090137810,7
1613096002513,5
1613096002562,12
1613096002703,11
1750930125930,21
1750930132704,54
1750930138453,6
1750936066484,17
1751010130096,142
1751010130310,36
1751010130583,141
1751016001366,41
1751016001416,32
1751016002315,18
1751016002323,46
1751016002349,45
1751016002356,29
1751016066500,78
1751016089361,22
1751016108971,73
1751016114318,28
1751016117592,55
1751016117600,42
5615560532507,50
6615980631259,20
6616140635250,19
7616550102376,24
7616550108019,24
7616550110528,54
7616550127464,20
7616556003644,22
7616556003651,33
7616556070981,32
7616556109730,19
7616556112718,35
7616556117410,45
7616556119754,36
7617210107797,55
7617210730457,58
7617540730044,60
7617540731646,57
7617540731836,58
7617540734566,85
7617540737809,49
7617960730291,10
7617960730309,11
7617960730325,11
7617960730598,57
7617960732164,33
7617960732941,83
7617960733253,12
7617960733659,50
7617960735316,59
7617960735902,68
7617966004600,17
7617966004659,7
7617966004667,25
7617966004691,5
7617966004733,9
7617966004758,22
7617966004766,18
7617966004774,5
7617966004782,8
7617966004808,16
7617966004824,5
7617966004832,6
7617966004840,7
7617966004857,25
7617966004865,20
7617966004873,16
7617966004881,16
7617966004899,17
7617966004907,12
7617966004915,7
7617966004931,16
7617966004956,8
7617966004964,12
7617966004972,14
7617966004980,19
7617966004998,25
7617966005003,17
7617966005037,17
7617966005045,15
7617966057228,56
7617966057236,34
7617966057244,26
7617966061170,27
7617966097141,7
7617966099717,15
7617966112015,11
7617966114094,15
7617966119515,33
7617966120885,35
8100820830059,6
8618200833004,13
8618206005375,5
9618380100024,7
9618386005466,9
9618386005474,9
9618386096614,10
9618386107361,18
