="Regression of Outcome on Math VA on Sibling Census Restricted Sample"

="",="Overall Enrollment",="",="",="",="2 Year Enrollment",="",="",="",="4 Year Enrollment",="",="",=""
="",="Original w/ Census Leave Out",="Original w/ Sibling Leave Out",="Census w/ Sibling Leave Out",="Sibling w/ Census Leave Out",="Original w/ Census Leave Out",="Original w/ Sibling Leave Out",="Census w/ Sibling Leave Out",="Sibling w/ Census Leave Out",="Original w/ Census Leave Out",="Original w/ Sibling Leave Out",="Census w/ Sibling Leave Out",="Sibling w/ Census Leave Out"

="va_math_og",="0.023***",="",="",="",="-0.012***",="",="",="",="0.036***",="",="",=""
="",="(0.003)",="",="",="",="(0.004)",="",="",="",="(0.003)",="",="",=""

="va_math_acs",="",="0.019***",="",="",="",="-0.013***",="",="",="",="0.031***",="",=""
="",="",="(0.003)",="",="",="",="(0.004)",="",="",="",="(0.003)",="",=""

="va_math_sib",="",="",="0.023***",="",="",="",="-0.012***",="",="",="",="0.035***",=""
="",="",="",="(0.003)",="",="",="",="(0.004)",="",="",="",="(0.003)",=""

="va_math_both",="",="",="",="0.019***",="",="",="",="-0.012***",="",="",="",="0.031***"
="",="",="",="",="(0.003)",="",="",="",="(0.004)",="",="",="",="(0.003)"

="2015.year",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)"

="2016.year",="0.009**",="0.009**",="0.009**",="0.009**",="-0.009*",="-0.009*",="-0.009*",="-0.009*",="0.018***",="0.018***",="0.018***",="0.018***"
="",="(0.003)",="(0.003)",="(0.003)",="(0.003)",="(0.004)",="(0.004)",="(0.004)",="(0.004)",="(0.003)",="(0.003)",="(0.003)",="(0.003)"

="2017.year",="-0.020***",="-0.020***",="-0.020***",="-0.020***",="-0.039***",="-0.039***",="-0.039***",="-0.039***",="0.019***",="0.019***",="0.019***",="0.019***"
="",="(0.004)",="(0.004)",="(0.004)",="(0.004)",="(0.004)",="(0.004)",="(0.004)",="(0.004)",="(0.003)",="(0.003)",="(0.003)",="(0.003)"

="2018.year",="-0.033***",="-0.033***",="-0.033***",="-0.033***",="-0.013**",="-0.013**",="-0.013**",="-0.013**",="-0.020***",="-0.020***",="-0.020***",="-0.020***"
="",="(0.004)",="(0.004)",="(0.004)",="(0.004)",="(0.005)",="(0.005)",="(0.005)",="(0.005)",="(0.004)",="(0.004)",="(0.004)",="(0.004)"

="age",="-0.000***",="-0.000***",="-0.000***",="-0.000***",="-0.000***",="-0.000***",="-0.000***",="-0.000***",="-0.000***",="-0.000***",="-0.000***",="-0.000***"
="",="(0.000)",="(0.000)",="(0.000)",="(0.000)",="(0.000)",="(0.000)",="(0.000)",="(0.000)",="(0.000)",="(0.000)",="(0.000)",="(0.000)"

="0.male",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)"

="1.male",="-0.069***",="-0.069***",="-0.069***",="-0.069***",="0.023***",="0.023***",="0.023***",="0.023***",="-0.092***",="-0.092***",="-0.092***",="-0.092***"
="",="(0.002)",="(0.002)",="(0.002)",="(0.002)",="(0.002)",="(0.002)",="(0.002)",="(0.002)",="(0.002)",="(0.002)",="(0.002)",="(0.002)"

="0.eth_asian",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)"

="1.eth_asian",="0.051***",="0.054***",="0.051***",="0.054***",="-0.012",="-0.013",="-0.012",="-0.013",="0.063***",="0.067***",="0.063***",="0.067***"
="",="(0.004)",="(0.004)",="(0.004)",="(0.004)",="(0.007)",="(0.007)",="(0.007)",="(0.007)",="(0.006)",="(0.007)",="(0.006)",="(0.007)"

="0.eth_hispanic",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)"

="1.eth_hispanic",="-0.030***",="-0.030***",="-0.029***",="-0.030***",="-0.009",="-0.009",="-0.009",="-0.009",="-0.020***",="-0.021***",="-0.020***",="-0.021***"
="",="(0.004)",="(0.004)",="(0.004)",="(0.004)",="(0.006)",="(0.006)",="(0.006)",="(0.006)",="(0.005)",="(0.005)",="(0.005)",="(0.005)"

="0.eth_black",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)"

="1.eth_black",="0.008",="0.006",="0.008",="0.006",="-0.043***",="-0.042***",="-0.043***",="-0.042***",="0.051***",="0.048***",="0.051***",="0.048***"
