="VAM Output for Postsecondary VA with Sibling Controls"

="",="enr",="enr_2year",="enr_4year"

="2015.year",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)"

="2016.year",="0.012***",="-0.006**",="0.018***"
="",="(0.002)",="(0.002)",="(0.002)"

="2017.year",="-0.013***",="-0.032***",="0.019***"
="",="(0.002)",="(0.002)",="(0.002)"

="2018.year",="-0.030***",="-0.010***",="-0.020***"
="",="(0.002)",="(0.002)",="(0.002)"

="0.has_older_sibling_enr_2year",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)"

="1.has_older_sibling_enr_2year",="0.022***",="0.098***",="-0.076***"
="",="(0.002)",="(0.002)",="(0.002)"

="0.has_older_sibling_enr_4year",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)"

="1.has_older_sibling_enr_4year",="0.063***",="-0.084***",="0.147***"
="",="(0.002)",="(0.002)",="(0.002)"

="age",="-0.000***",="-0.000***",="-0.000***"
="",="(0.000)",="(0.000)",="(0.000)"

="0.male",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)"

="1.male",="-0.070***",="0.019***",="-0.089***"
="",="(0.001)",="(0.001)",="(0.001)"

="0.eth_asian",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)"

="1.eth_asian",="0.062***",="-0.014***",="0.076***"
="",="(0.002)",="(0.002)",="(0.002)"

="0.eth_hispanic",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)"

="1.eth_hispanic",="-0.016***",="-0.000",="-0.016***"
="",="(0.001)",="(0.002)",="(0.001)"

="0.eth_black",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)"

="1.eth_black",="0.009***",="-0.036***",="0.045***"
="",="(0.003)",="(0.003)",="(0.003)"

="0.eth_other",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)"

="1.eth_other",="-0.010**",="0.002",="-0.011***"
="",="(0.003)",="(0.003)",="(0.003)"

="0.econ_disadvantage",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)"

="1.econ_disadvantage",="-0.068***",="-0.025***",="-0.043***"
="",="(0.001)",="(0.001)",="(0.001)"

="0.limited_eng_prof",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)"

="1.limited_eng_prof",="-0.044***",="-0.024***",="-0.020***"
="",="(0.003)",="(0.003)",="(0.003)"

="0.disabled",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)"

="1.disabled",="-0.017***",="0.027***",="-0.044***"
="",="(0.003)",="(0.003)",="(0.003)"

="2015.year#c.prior_ela_z_score",="0.083***",="-0.056***",="0.139***"
="",="(0.002)",="(0.002)",="(0.002)"

="2016.year#c.prior_ela_z_score",="0.073***",="-0.052***",="0.125***"
="",="(0.002)",="(0.002)",="(0.002)"

="2017.year#c.prior_ela_z_score",="0.071***",="-0.053***",="0.124***"
="",="(0.002)",="(0.002)",="(0.002)"

="2018.year#c.prior_ela_z_score",="0.071***",="-0.026***",="0.098***"
="",="(0.003)",="(0.003)",="(0.003)"

="2015.year#c.prior_ela_z_score#c.prior_ela_z_score",="-0.016***",="-0.040***",="0.024***"
="",="(0.001)",="(0.001)",="(0.001)"

="2016.year#c.prior_ela_z_score#c.prior_ela_z_score",="-0.020***",="-0.038***",="0.017***"
="",="(0.001)",="(0.001)",="(0.001)"

="2017.year#c.prior_ela_z_score#c.prior_ela_z_score",="-0.012***",="-0.031***",="0.019***"
="",="(0.001)",="(0.001)",="(0.001)"

="2018.year#c.prior_ela_z_score#c.prior_ela_z_score",="-0.012***",="-0.031***",="0.019***"
="",="(0.001)",="(0.001)",="(0.001)"

="2015.year#c.prior_ela_z_score#c.prior_ela_z_score#c.prior_ela_z_score",="-0.001**",="0.010***",="-0.011***"
="",="(0.000)",="(0.001)",="(0.000)"

="2016.year#c.prior_ela_z_score#c.prior_ela_z_score#c.prior_ela_z_score",="0.001",="0.010***",="-0.009***"
="",="(0.000)",="(0.000)",="(0.000)"

