="VAM Output for Deep Knowledge Outcome VA on Sibling Census Restricted Sample"

="",="Overall Enrollment",="",="",="",="2 Year Enrollment",="",="",="",="4 Year Enrollment",="",="",=""
="",="Original Specification",="Census Controls",="Sibling Controls",="Sibling and Census Controls",="Original Specification",="Census Controls",="Sibling Controls",="Sibling and Census Controls",="Original Specification",="Census Controls",="Sibling Controls",="Sibling and Census Controls"

="va_ela_og",="0.042***",="0.077***",="0.040***",="0.075***",="0.104***",="0.089***",="0.103***",="0.088***",="-0.062***",="-0.012",="-0.062***",="-0.013"
="",="(0.008)",="(0.008)",="(0.008)",="(0.008)",="(0.008)",="(0.008)",="(0.008)",="(0.008)",="(0.008)",="(0.008)",="(0.008)",="(0.008)"

="va_math_og",="0.177***",="0.119***",="0.178***",="0.120***",="-0.158***",="-0.137***",="-0.153***",="-0.133***",="0.336***",="0.256***",="0.331***",="0.252***"
="",="(0.007)",="(0.007)",="(0.007)",="(0.007)",="(0.008)",="(0.008)",="(0.008)",="(0.008)",="(0.007)",="(0.007)",="(0.007)",="(0.007)"

="2015.year",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)"

="2016.year",="0.009***",="0.009***",="0.008**",="0.008***",="-0.009**",="-0.007*",="-0.009***",="-0.007**",="0.018***",="0.016***",="0.018***",="0.016***"
="",="(0.003)",="(0.003)",="(0.003)",="(0.003)",="(0.003)",="(0.003)",="(0.003)",="(0.003)",="(0.003)",="(0.003)",="(0.003)",="(0.003)"

="2017.year",="-0.016***",="-0.016***",="-0.017***",="-0.017***",="-0.036***",="-0.034***",="-0.037***",="-0.034***",="0.020***",="0.018***",="0.019***",="0.017***"
="",="(0.003)",="(0.003)",="(0.003)",="(0.003)",="(0.003)",="(0.003)",="(0.003)",="(0.003)",="(0.003)",="(0.003)",="(0.003)",="(0.003)"

="2018.year",="-0.029***",="-0.027***",="-0.030***",="-0.029***",="-0.010***",="-0.008**",="-0.012***",="-0.009**",="-0.018***",="-0.020***",="-0.018***",="-0.020***"
="",="(0.003)",="(0.003)",="(0.003)",="(0.003)",="(0.003)",="(0.003)",="(0.003)",="(0.003)",="(0.003)",="(0.003)",="(0.003)",="(0.003)"

="age",="-0.000***",="-0.000***",="-0.000***",="-0.000***",="-0.000***",="-0.000***",="-0.000***",="-0.000***",="-0.000***",="-0.000***",="-0.000***",="-0.000***"
="",="(0.000)",="(0.000)",="(0.000)",="(0.000)",="(0.000)",="(0.000)",="(0.000)",="(0.000)",="(0.000)",="(0.000)",="(0.000)",="(0.000)"

="0.male",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)"

="1.male",="-0.068***",="-0.069***",="-0.068***",="-0.069***",="0.022***",="0.021***",="0.022***",="0.021***",="-0.090***",="-0.090***",="-0.091***",="-0.091***"
="",="(0.001)",="(0.001)",="(0.001)",="(0.001)",="(0.001)",="(0.001)",="(0.001)",="(0.001)",="(0.001)",="(0.001)",="(0.001)",="(0.001)"

="0.eth_asian",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)"

="1.eth_asian",="0.052***",="0.047***",="0.051***",="0.046***",="-0.009***",="-0.023***",="-0.010***",="-0.023***",="0.062***",="0.070***",="0.061***",="0.068***"
="",="(0.002)",="(0.002)",="(0.002)",="(0.002)",="(0.002)",="(0.003)",="(0.002)",="(0.003)",="(0.002)",="(0.002)",="(0.002)",="(0.002)"

="0.eth_hispanic",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)"

="1.eth_hispanic",="-0.029***",="-0.002",="-0.029***",="-0.002",="-0.009***",="0.011***",="-0.011***",="0.010***",="-0.020***",="-0.014***",="-0.018***",="-0.012***"
="",="(0.002)",="(0.002)",="(0.002)",="(0.002)",="(0.002)",="(0.002)",="(0.002)",="(0.002)",="(0.002)",="(0.002)",="(0.002)",="(0.002)"

="0.eth_black",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)"

="1.eth_black",="0.006",="0.029***",="0.006",="0.029***",="-0.042***",="-0.016***",="-0.042***",="-0.016***",="0.048***",="0.045***",="0.048***",="0.046***"
="",="(0.004)",="(0.004)",="(0.004)",="(0.004)",="(0.004)",="(0.004)",="(0.004)",="(0.004)",="(0.004)",="(0.004)",="(0.004)",="(0.004)"

="0.eth_other",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)"

="1.eth_other",="-0.012**",="-0.009*",="-0.011**",="-0.009*",="0.002",="0.001",="0.002",="0.000",="-0.014***",="-0.010*",="-0.013***",="-0.009*"
="",="(0.004)",="(0.004)",="(0.004)",="(0.004)",="(0.004)",="(0.004)",="(0.004)",="(0.004)",="(0.004)",="(0.004)",="(0.004)",="(0.004)"

="0.econ_disadvantage",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)"

="1.econ_disadvantage",="-0.065***",="-0.040***",="-0.065***",="-0.040***",="-0.028***",="-0.019***",="-0.029***",="-0.019***",="-0.036***",="-0.021***",="-0.036***",="-0.021***"
="",="(0.002)",="(0.002)",="(0.002)",="(0.002)",="(0.002)",="(0.002)",="(0.002)",="(0.002)",="(0.002)",="(0.002)",="(0.002)",="(0.002)"

="0.limited_eng_prof",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)"

="1.limited_eng_prof",="-0.049***",="-0.049***",="-0.049***",="-0.049***",="-0.026***",="-0.028***",="-0.027***",="-0.028***",="-0.023***",="-0.021***",="-0.022***",="-0.021***"
="",="(0.003)",="(0.003)",="(0.003)",="(0.003)",="(0.004)",="(0.004)",="(0.004)",="(0.004)",="(0.003)",="(0.003)",="(0.003)",="(0.003)"

="0.disabled",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)"

="1.disabled",="-0.021***",="-0.029***",="-0.020***",="-0.028***",="0.032***",="0.027***",="0.032***",="0.027***",="-0.053***",="-0.056***",="-0.052***",="-0.055***"
="",="(0.003)",="(0.003)",="(0.003)",="(0.003)",="(0.004)",="(0.004)",="(0.004)",="(0.004)",="(0.003)",="(0.003)",="(0.003)",="(0.003)"

="2015.year#c.prior_ela_z_score",="0.080***",="0.075***",="0.080***",="0.075***",="-0.059***",="-0.063***",="-0.058***",="-0.062***",="0.139***",="0.138***",="0.138***",="0.137***"
="",="(0.003)",="(0.003)",="(0.003)",="(0.003)",="(0.003)",="(0.003)",="(0.003)",="(0.003)",="(0.003)",="(0.003)",="(0.003)",="(0.003)"

="2016.year#c.prior_ela_z_score",="0.069***",="0.064***",="0.069***",="0.064***",="-0.054***",="-0.058***",="-0.053***",="-0.057***",="0.123***",="0.122***",="0.122***",="0.121***"
="",="(0.002)",="(0.002)",="(0.002)",="(0.002)",="(0.003)",="(0.003)",="(0.003)",="(0.003)",="(0.002)",="(0.002)",="(0.002)",="(0.002)"

="2017.year#c.prior_ela_z_score",="0.074***",="0.068***",="0.074***",="0.068***",="-0.051***",="-0.054***",="-0.049***",="-0.052***",="0.125***",="0.122***",="0.123***",="0.120***"
="",="(0.003)",="(0.003)",="(0.003)",="(0.003)",="(0.003)",="(0.003)",="(0.003)",="(0.003)",="(0.003)",="(0.003)",="(0.003)",="(0.003)"

="2018.year#c.prior_ela_z_score",="0.071***",="0.067***",="0.071***",="0.067***",="-0.027***",="-0.028***",="-0.025***",="-0.027***",="0.098***",="0.096***",="0.096***",="0.094***"
="",="(0.003)",="(0.003)",="(0.003)",="(0.003)",="(0.004)",="(0.004)",="(0.004)",="(0.004)",="(0.003)",="(0.003)",="(0.003)",="(0.003)"

="2015.year#c.prior_ela_z_score#c.prior_ela_z_score",="-0.018***",="-0.018***",="-0.018***",="-0.018***",="-0.042***",="-0.041***",="-0.042***",="-0.040***",="0.023***",="0.022***",="0.023***",="0.022***"
="",="(0.001)",="(0.001)",="(0.001)",="(0.001)",="(0.002)",="(0.002)",="(0.002)",="(0.002)",="(0.001)",="(0.001)",="(0.001)",="(0.001)"

="2016.year#c.prior_ela_z_score#c.prior_ela_z_score",="-0.023***",="-0.023***",="-0.023***",="-0.023***",="-0.041***",="-0.039***",="-0.040***",="-0.039***",="0.018***",="0.017***",="0.018***",="0.016***"
="",="(0.001)",="(0.001)",="(0.001)",="(0.001)",="(0.002)",="(0.002)",="(0.002)",="(0.002)",="(0.001)",="(0.001)",="(0.001)",="(0.001)"

="2017.year#c.prior_ela_z_score#c.prior_ela_z_score",="-0.012***",="-0.012***",="-0.012***",="-0.012***",="-0.031***",="-0.029***",="-0.031***",="-0.029***",="0.019***",="0.017***",="0.019***",="0.017***"
="",="(0.001)",="(0.001)",="(0.001)",="(0.001)",="(0.002)",="(0.002)",="(0.002)",="(0.002)",="(0.001)",="(0.001)",="(0.001)",="(0.001)"

="2018.year#c.prior_ela_z_score#c.prior_ela_z_score",="-0.013***",="-0.012***",="-0.013***",="-0.012***",="-0.033***",="-0.031***",="-0.032***",="-0.031***",="0.020***",="0.019***",="0.020***",="0.019***"
="",="(0.001)",="(0.001)",="(0.001)",="(0.001)",="(0.002)",="(0.002)",="(0.002)",="(0.002)",="(0.001)",="(0.001)",="(0.001)",="(0.001)"

="2015.year#c.prior_ela_z_score#c.prior_ela_z_score#c.prior_ela_z_score",="-0.001",="-0.000",="-0.001",="-0.000",="0.011***",="0.011***",="0.011***",="0.011***",="-0.011***",="-0.011***",="-0.011***",="-0.011***"
="",="(0.001)",="(0.001)",="(0.001)",="(0.001)",="(0.001)",="(0.001)",="(0.001)",="(0.001)",="(0.001)",="(0.001)",="(0.001)",="(0.001)"

="2016.year#c.prior_ela_z_score#c.prior_ela_z_score#c.prior_ela_z_score",="0.001*",="0.001*",="0.001*",="0.001*",="0.011***",="0.011***",="0.011***",="0.011***",="-0.009***",="-0.009***",="-0.009***",="-0.009***"
="",="(0.001)",="(0.001)",="(0.001)",="(0.001)",="(0.001)",="(0.001)",="(0.001)",="(0.001)",="(0.001)",="(0.001)",="(0.001)",="(0.001)"

="2017.year#c.prior_ela_z_score#c.prior_ela_z_score#c.prior_ela_z_score",="-0.002**",="-0.002**",="-0.002***",="-0.002**",="0.008***",="0.008***",="0.008***",="0.008***",="-0.010***",="-0.010***",="-0.010***",="-0.010***"
="",="(0.001)",="(0.001)",="(0.001)",="(0.001)",="(0.001)",="(0.001)",="(0.001)",="(0.001)",="(0.001)",="(0.001)",="(0.001)",="(0.001)"

="2018.year#c.prior_ela_z_score#c.prior_ela_z_score#c.prior_ela_z_score",="-0.005***",="-0.005***",="-0.005***",="-0.005***",="0.004***",="0.004***",="0.004***",="0.004***",="-0.009***",="-0.009***",="-0.009***",="-0.009***"
="",="(0.001)",="(0.001)",="(0.001)",="(0.001)",="(0.001)",="(0.001)",="(0.001)",="(0.001)",="(0.001)",="(0.001)",="(0.001)",="(0.001)"

="2015.year#c.prior_math_z_score",="0.057***",="0.056***",="0.056***",="0.055***",="-0.066***",="-0.065***",="-0.065***",="-0.064***",="0.123***",="0.121***",="0.121***",="0.119***"
="",="(0.003)",="(0.003)",="(0.003)",="(0.003)",="(0.003)",="(0.003)",="(0.003)",="(0.003)",="(0.003)",="(0.003)",="(0.003)",="(0.003)"

="2016.year#c.prior_math_z_score",="0.063***",="0.062***",="0.062***",="0.061***",="-0.066***",="-0.066***",="-0.065***",="-0.064***",="0.129***",="0.127***",="0.127***",="0.125***"
="",="(0.003)",="(0.003)",="(0.003)",="(0.003)",="(0.003)",="(0.003)",="(0.003)",="(0.003)",="(0.003)",="(0.003)",="(0.003)",="(0.003)"

="2017.year#c.prior_math_z_score",="0.059***",="0.058***",="0.058***",="0.057***",="-0.067***",="-0.066***",="-0.066***",="-0.065***",="0.126***",="0.124***",="0.124***",="0.122***"
="",="(0.003)",="(0.003)",="(0.003)",="(0.003)",="(0.003)",="(0.003)",="(0.003)",="(0.003)",="(0.003)",="(0.003)",="(0.003)",="(0.003)"

="2018.year#c.prior_math_z_score",="0.086***",="0.083***",="0.085***",="0.082***",="-0.055***",="-0.057***",="-0.053***",="-0.055***",="0.141***",="0.140***",="0.138***",="0.137***"
="",="(0.003)",="(0.003)",="(0.003)",="(0.003)",="(0.004)",="(0.004)",="(0.004)",="(0.004)",="(0.003)",="(0.003)",="(0.003)",="(0.003)"

="2015.year#c.prior_math_z_score#c.prior_math_z_score",="-0.012***",="-0.011***",="-0.012***",="-0.011***",="-0.029***",="-0.027***",="-0.029***",="-0.027***",="0.018***",="0.016***",="0.018***",="0.016***"
="",="(0.002)",="(0.002)",="(0.002)",="(0.002)",="(0.002)",="(0.002)",="(0.002)",="(0.002)",="(0.002)",="(0.002)",="(0.002)",="(0.002)"

="2016.year#c.prior_math_z_score#c.prior_math_z_score",="-0.016***",="-0.015***",="-0.016***",="-0.015***",="-0.034***",="-0.032***",="-0.033***",="-0.032***",="0.018***",="0.017***",="0.018***",="0.017***"
="",="(0.002)",="(0.002)",="(0.002)",="(0.002)",="(0.002)",="(0.002)",="(0.002)",="(0.002)",="(0.002)",="(0.002)",="(0.002)",="(0.002)"

="2017.year#c.prior_math_z_score#c.prior_math_z_score",="-0.013***",="-0.013***",="-0.013***",="-0.013***",="-0.026***",="-0.025***",="-0.026***",="-0.025***",="0.013***",="0.012***",="0.013***",="0.012***"
="",="(0.002)",="(0.002)",="(0.002)",="(0.002)",="(0.002)",="(0.002)",="(0.002)",="(0.002)",="(0.002)",="(0.002)",="(0.002)",="(0.002)"

="2018.year#c.prior_math_z_score#c.prior_math_z_score",="-0.004**",="-0.005***",="-0.004**",="-0.004**",="-0.036***",="-0.035***",="-0.035***",="-0.034***",="0.032***",="0.030***",="0.031***",="0.029***"
="",="(0.001)",="(0.001)",="(0.001)",="(0.001)",="(0.002)",="(0.002)",="(0.002)",="(0.002)",="(0.001)",="(0.001)",="(0.001)",="(0.001)"

="2015.year#c.prior_math_z_score#c.prior_math_z_score#c.prior_math_z_score",="-0.001",="-0.001",="-0.001",="-0.001",="0.010***",="0.009***",="0.010***",="0.009***",="-0.010***",="-0.010***",="-0.010***",="-0.010***"
="",="(0.001)",="(0.001)",="(0.001)",="(0.001)",="(0.001)",="(0.001)",="(0.001)",="(0.001)",="(0.001)",="(0.001)",="(0.001)",="(0.001)"

="2016.year#c.prior_math_z_score#c.prior_math_z_score#c.prior_math_z_score",="0.001",="0.000",="0.001",="0.000",="0.012***",="0.011***",="0.011***",="0.011***",="-0.011***",="-0.011***",="-0.011***",="-0.010***"
="",="(0.001)",="(0.001)",="(0.001)",="(0.001)",="(0.001)",="(0.001)",="(0.001)",="(0.001)",="(0.001)",="(0.001)",="(0.001)",="(0.001)"

="2017.year#c.prior_math_z_score#c.prior_math_z_score#c.prior_math_z_score",="-0.000",="-0.000",="-0.000",="-0.000",="0.009***",="0.009***",="0.009***",="0.009***",="-0.009***",="-0.009***",="-0.009***",="-0.009***"
="",="(0.001)",="(0.001)",="(0.001)",="(0.001)",="(0.001)",="(0.001)",="(0.001)",="(0.001)",="(0.001)",="(0.001)",="(0.001)",="(0.001)"

="2018.year#c.prior_math_z_score#c.prior_math_z_score#c.prior_math_z_score",="-0.007***",="-0.007***",="-0.007***",="-0.007***",="0.002*",="0.003**",="0.002*",="0.003*",="-0.009***",="-0.010***",="-0.009***",="-0.009***"
="",="(0.001)",="(0.001)",="(0.001)",="(0.001)",="(0.001)",="(0.001)",="(0.001)",="(0.001)",="(0.001)",="(0.001)",="(0.001)",="(0.001)"

="eth_asian_pct",="",="0.001***",="",="0.001***",="",="0.001***",="",="0.001***",="",="-0.000***",="",="-0.000***"
="",="",="(0.000)",="",="(0.000)",="",="(0.000)",="",="(0.000)",="",="(0.000)",="",="(0.000)"

="eth_hispanic_pct",="",="-0.000***",="",="-0.000***",="",="-0.001***",="",="-0.001***",="",="0.001***",="",="0.001***"
="",="",="(0.000)",="",="(0.000)",="",="(0.000)",="",="(0.000)",="",="(0.000)",="",="(0.000)"

="eth_black_pct",="",="-0.001***",="",="-0.001***",="",="-0.003***",="",="-0.003***",="",="0.002***",="",="0.002***"
="",="",="(0.000)",="",="(0.000)",="",="(0.000)",="",="(0.000)",="",="(0.000)",="",="(0.000)"

="educ_hs_dropout_prop",="",="-0.424**",="",="-0.448***",="",="-2.012***",="",="-1.986***",="",="1.588***",="",="1.538***"
="",="",="(0.129)",="",="(0.129)",="",="(0.144)",="",="(0.144)",="",="(0.129)",="",="(0.129)"

="educ_deg_4year_plus_prop",="",="0.516***",="",="0.553***",="",="-1.622***",="",="-1.567***",="",="2.138***",="",="2.120***"
="",="",="(0.118)",="",="(0.118)",="",="(0.132)",="",="(0.132)",="",="(0.118)",="",="(0.118)"

="pov_fam_child_lt18_pct",="",="-0.001***",="",="-0.001***",="",="-0.001***",="",="-0.001***",="",="0.001***",="",="0.001***"
