="VAM Output for Outcome VA on Sibling Census Restricted Sample"

="",="Overall Enrollment",="",="",="",="2 Year Enrollment",="",="",="",="4 Year Enrollment",="",="",=""
="",="Original Specification",="Census Controls",="Sibling Controls",="Sibling and Census Controls",="Original Specification",="Census Controls",="Sibling Controls",="Sibling and Census Controls",="Original Specification",="Census Controls",="Sibling Controls",="Sibling and Census Controls"

="2015.year",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)"

="2016.year",="0.008**",="0.008**",="0.008**",="0.008**",="-0.009**",="-0.007*",="-0.009**",="-0.007*",="0.017***",="0.015***",="0.017***",="0.015***"
="",="(0.003)",="(0.003)",="(0.003)",="(0.003)",="(0.003)",="(0.003)",="(0.003)",="(0.003)",="(0.003)",="(0.003)",="(0.003)",="(0.003)"

="2017.year",="-0.016***",="-0.016***",="-0.017***",="-0.017***",="-0.037***",="-0.034***",="-0.037***",="-0.034***",="0.021***",="0.018***",="0.020***",="0.017***"
="",="(0.003)",="(0.003)",="(0.003)",="(0.003)",="(0.003)",="(0.003)",="(0.003)",="(0.003)",="(0.003)",="(0.003)",="(0.003)",="(0.003)"

="2018.year",="-0.029***",="-0.027***",="-0.030***",="-0.029***",="-0.011***",="-0.008**",="-0.013***",="-0.010***",="-0.017***",="-0.019***",="-0.017***",="-0.019***"
="",="(0.003)",="(0.003)",="(0.003)",="(0.003)",="(0.003)",="(0.003)",="(0.003)",="(0.003)",="(0.003)",="(0.003)",="(0.003)",="(0.003)"

="age",="-0.000***",="-0.000***",="-0.000***",="-0.000***",="-0.000***",="-0.000***",="-0.000***",="-0.000***",="-0.000***",="-0.000***",="-0.000***",="-0.000***"
="",="(0.000)",="(0.000)",="(0.000)",="(0.000)",="(0.000)",="(0.000)",="(0.000)",="(0.000)",="(0.000)",="(0.000)",="(0.000)",="(0.000)"

="0.male",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)"

="1.male",="-0.068***",="-0.069***",="-0.068***",="-0.069***",="0.022***",="0.021***",="0.022***",="0.021***",="-0.090***",="-0.090***",="-0.090***",="-0.090***"
="",="(0.001)",="(0.001)",="(0.001)",="(0.001)",="(0.001)",="(0.001)",="(0.001)",="(0.001)",="(0.001)",="(0.001)",="(0.001)",="(0.001)"

="0.eth_asian",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)"

="1.eth_asian",="0.056***",="0.048***",="0.055***",="0.046***",="-0.011***",="-0.022***",="-0.011***",="-0.022***",="0.067***",="0.070***",="0.066***",="0.069***"
="",="(0.002)",="(0.002)",="(0.002)",="(0.002)",="(0.002)",="(0.003)",="(0.002)",="(0.003)",="(0.002)",="(0.002)",="(0.002)",="(0.002)"

="0.eth_hispanic",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)"

="1.eth_hispanic",="-0.030***",="-0.002",="-0.030***",="-0.002",="-0.007***",="0.012***",="-0.009***",="0.010***",="-0.023***",="-0.014***",="-0.021***",="-0.012***"
="",="(0.002)",="(0.002)",="(0.002)",="(0.002)",="(0.002)",="(0.002)",="(0.002)",="(0.002)",="(0.002)",="(0.002)",="(0.002)",="(0.002)"

="0.eth_black",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)"

="1.eth_black",="-0.000",="0.026***",="-0.000",="0.026***",="-0.038***",="-0.014***",="-0.038***",="-0.014***",="0.038***",="0.041***",="0.038***",="0.041***"
="",="(0.004)",="(0.004)",="(0.004)",="(0.004)",="(0.004)",="(0.004)",="(0.004)",="(0.004)",="(0.004)",="(0.004)",="(0.004)",="(0.004)"

="0.eth_other",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)"

="1.eth_other",="-0.012**",="-0.010*",="-0.012**",="-0.009*",="0.002",="0.000",="0.001",="-0.000",="-0.014***",="-0.010**",="-0.013***",="-0.009*"
="",="(0.004)",="(0.004)",="(0.004)",="(0.004)",="(0.004)",="(0.004)",="(0.004)",="(0.004)",="(0.004)",="(0.004)",="(0.004)",="(0.004)"

="0.econ_disadvantage",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)"

="1.econ_disadvantage",="-0.069***",="-0.041***",="-0.069***",="-0.042***",="-0.026***",="-0.018***",="-0.026***",="-0.019***",="-0.043***",="-0.023***",="-0.043***",="-0.023***"
="",="(0.002)",="(0.002)",="(0.002)",="(0.002)",="(0.002)",="(0.002)",="(0.002)",="(0.002)",="(0.002)",="(0.002)",="(0.002)",="(0.002)"

="0.limited_eng_prof",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)"

="1.limited_eng_prof",="-0.049***",="-0.050***",="-0.049***",="-0.050***",="-0.025***",="-0.026***",="-0.026***",="-0.027***",="-0.025***",="-0.023***",="-0.024***",="-0.023***"
="",="(0.003)",="(0.003)",="(0.003)",="(0.003)",="(0.004)",="(0.004)",="(0.004)",="(0.004)",="(0.003)",="(0.003)",="(0.003)",="(0.003)"

="0.disabled",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)"

="1.disabled",="-0.018***",="-0.027***",="-0.017***",="-0.027***",="0.030***",="0.026***",="0.030***",="0.026***",="-0.048***",="-0.053***",="-0.047***",="-0.053***"
="",="(0.003)",="(0.003)",="(0.003)",="(0.003)",="(0.004)",="(0.004)",="(0.004)",="(0.004)",="(0.003)",="(0.003)",="(0.003)",="(0.003)"

="2015.year#c.prior_ela_z_score",="0.081***",="0.075***",="0.081***",="0.075***",="-0.060***",="-0.063***",="-0.059***",="-0.062***",="0.141***",="0.139***",="0.140***",="0.138***"
="",="(0.003)",="(0.003)",="(0.003)",="(0.003)",="(0.003)",="(0.003)",="(0.003)",="(0.003)",="(0.003)",="(0.003)",="(0.003)",="(0.003)"

="2016.year#c.prior_ela_z_score",="0.072***",="0.066***",="0.072***",="0.066***",="-0.056***",="-0.059***",="-0.055***",="-0.058***",="0.128***",="0.126***",="0.127***",="0.124***"
="",="(0.002)",="(0.002)",="(0.002)",="(0.002)",="(0.003)",="(0.003)",="(0.003)",="(0.003)",="(0.003)",="(0.002)",="(0.002)",="(0.002)"

="2017.year#c.prior_ela_z_score",="0.074***",="0.068***",="0.075***",="0.068***",="-0.052***",="-0.054***",="-0.050***",="-0.052***",="0.126***",="0.122***",="0.124***",="0.120***"
="",="(0.003)",="(0.003)",="(0.003)",="(0.003)",="(0.003)",="(0.003)",="(0.003)",="(0.003)",="(0.003)",="(0.003)",="(0.003)",="(0.003)"

="2018.year#c.prior_ela_z_score",="0.071***",="0.068***",="0.071***",="0.067***",="-0.026***",="-0.028***",="-0.025***",="-0.026***",="0.098***",="0.096***",="0.096***",="0.094***"
="",="(0.003)",="(0.003)",="(0.003)",="(0.003)",="(0.004)",="(0.004)",="(0.004)",="(0.004)",="(0.003)",="(0.003)",="(0.003)",="(0.003)"

="2015.year#c.prior_ela_z_score#c.prior_ela_z_score",="-0.018***",="-0.018***",="-0.018***",="-0.018***",="-0.042***",="-0.041***",="-0.042***",="-0.040***",="0.024***",="0.022***",="0.024***",="0.022***"
="",="(0.001)",="(0.001)",="(0.001)",="(0.001)",="(0.002)",="(0.002)",="(0.002)",="(0.002)",="(0.001)",="(0.001)",="(0.001)",="(0.001)"

="2016.year#c.prior_ela_z_score#c.prior_ela_z_score",="-0.023***",="-0.023***",="-0.023***",="-0.023***",="-0.041***",="-0.039***",="-0.041***",="-0.039***",="0.018***",="0.017***",="0.018***",="0.017***"
="",="(0.001)",="(0.001)",="(0.001)",="(0.001)",="(0.002)",="(0.002)",="(0.002)",="(0.002)",="(0.001)",="(0.001)",="(0.001)",="(0.001)"

="2017.year#c.prior_ela_z_score#c.prior_ela_z_score",="-0.012***",="-0.012***",="-0.012***",="-0.012***",="-0.031***",="-0.030***",="-0.031***",="-0.029***",="0.019***",="0.017***",="0.019***",="0.017***"
="",="(0.001)",="(0.001)",="(0.001)",="(0.001)",="(0.002)",="(0.002)",="(0.002)",="(0.002)",="(0.001)",="(0.001)",="(0.001)",="(0.001)"

="2018.year#c.prior_ela_z_score#c.prior_ela_z_score",="-0.013***",="-0.013***",="-0.013***",="-0.013***",="-0.032***",="-0.031***",="-0.032***",="-0.031***",="0.019***",="0.018***",="0.019***",="0.018***"
="",="(0.001)",="(0.001)",="(0.001)",="(0.001)",="(0.002)",="(0.002)",="(0.002)",="(0.002)",="(0.001)",="(0.001)",="(0.001)",="(0.001)"

="2015.year#c.prior_ela_z_score#c.prior_ela_z_score#c.prior_ela_z_score",="-0.001",="-0.000",="-0.001",="-0.000",="0.011***",="0.011***",="0.011***",="0.011***",="-0.012***",="-0.011***",="-0.011***",="-0.011***"
="",="(0.001)",="(0.001)",="(0.001)",="(0.001)",="(0.001)",="(0.001)",="(0.001)",="(0.001)",="(0.001)",="(0.001)",="(0.001)",="(0.001)"

="2016.year#c.prior_ela_z_score#c.prior_ela_z_score#c.prior_ela_z_score",="0.001*",="0.001*",="0.001*",="0.001*",="0.011***",="0.011***",="0.011***",="0.011***",="-0.010***",="-0.010***",="-0.009***",="-0.009***"
="",="(0.001)",="(0.001)",="(0.001)",="(0.001)",="(0.001)",="(0.001)",="(0.001)",="(0.001)",="(0.001)",="(0.001)",="(0.001)",="(0.001)"

="2017.year#c.prior_ela_z_score#c.prior_ela_z_score#c.prior_ela_z_score",="-0.002***",="-0.002**",="-0.002***",="-0.002**",="0.008***",="0.008***",="0.008***",="0.008***",="-0.010***",="-0.010***",="-0.010***",="-0.010***"
="",="(0.001)",="(0.001)",="(0.001)",="(0.001)",="(0.001)",="(0.001)",="(0.001)",="(0.001)",="(0.001)",="(0.001)",="(0.001)",="(0.001)"

="2018.year#c.prior_ela_z_score#c.prior_ela_z_score#c.prior_ela_z_score",="-0.005***",="-0.005***",="-0.005***",="-0.005***",="0.004***",="0.004***",="0.004***",="0.004***",="-0.009***",="-0.009***",="-0.009***",="-0.009***"
="",="(0.001)",="(0.001)",="(0.001)",="(0.001)",="(0.001)",="(0.001)",="(0.001)",="(0.001)",="(0.001)",="(0.001)",="(0.001)",="(0.001)"

="2015.year#c.prior_math_z_score",="0.057***",="0.055***",="0.056***",="0.055***",="-0.066***",="-0.065***",="-0.064***",="-0.064***",="0.122***",="0.120***",="0.120***",="0.118***"
="",="(0.003)",="(0.003)",="(0.003)",="(0.003)",="(0.003)",="(0.003)",="(0.003)",="(0.003)",="(0.003)",="(0.003)",="(0.003)",="(0.003)"

="2016.year#c.prior_math_z_score",="0.063***",="0.062***",="0.062***",="0.061***",="-0.066***",="-0.065***",="-0.065***",="-0.064***",="0.129***",="0.127***",="0.127***",="0.125***"
="",="(0.003)",="(0.003)",="(0.003)",="(0.003)",="(0.003)",="(0.003)",="(0.003)",="(0.003)",="(0.003)",="(0.003)",="(0.003)",="(0.003)"

="2017.year#c.prior_math_z_score",="0.058***",="0.058***",="0.057***",="0.057***",="-0.067***",="-0.066***",="-0.065***",="-0.064***",="0.125***",="0.123***",="0.123***",="0.121***"
="",="(0.003)",="(0.003)",="(0.003)",="(0.003)",="(0.003)",="(0.003)",="(0.003)",="(0.003)",="(0.003)",="(0.003)",="(0.003)",="(0.003)"

="2018.year#c.prior_math_z_score",="0.089***",="0.085***",="0.088***",="0.084***",="-0.056***",="-0.058***",="-0.054***",="-0.055***",="0.145***",="0.143***",="0.142***",="0.140***"
="",="(0.003)",="(0.003)",="(0.003)",="(0.003)",="(0.004)",="(0.004)",="(0.004)",="(0.004)",="(0.003)",="(0.003)",="(0.003)",="(0.003)"

="2015.year#c.prior_math_z_score#c.prior_math_z_score",="-0.012***",="-0.012***",="-0.012***",="-0.012***",="-0.030***",="-0.028***",="-0.030***",="-0.027***",="0.018***",="0.016***",="0.018***",="0.016***"
="",="(0.002)",="(0.002)",="(0.002)",="(0.002)",="(0.002)",="(0.002)",="(0.002)",="(0.002)",="(0.002)",="(0.002)",="(0.002)",="(0.002)"

="2016.year#c.prior_math_z_score#c.prior_math_z_score",="-0.016***",="-0.015***",="-0.016***",="-0.015***",="-0.034***",="-0.032***",="-0.034***",="-0.032***",="0.018***",="0.017***",="0.018***",="0.017***"
="",="(0.002)",="(0.002)",="(0.002)",="(0.002)",="(0.002)",="(0.002)",="(0.002)",="(0.002)",="(0.002)",="(0.002)",="(0.002)",="(0.002)"

="2017.year#c.prior_math_z_score#c.prior_math_z_score",="-0.013***",="-0.013***",="-0.013***",="-0.013***",="-0.027***",="-0.026***",="-0.027***",="-0.025***",="0.013***",="0.012***",="0.013***",="0.012***"
="",="(0.002)",="(0.002)",="(0.002)",="(0.002)",="(0.002)",="(0.002)",="(0.002)",="(0.002)",="(0.002)",="(0.002)",="(0.002)",="(0.002)"

="2018.year#c.prior_math_z_score#c.prior_math_z_score",="-0.003*",="-0.004**",="-0.003*",="-0.004**",="-0.036***",="-0.035***",="-0.035***",="-0.034***",="0.033***",="0.031***",="0.033***",="0.030***"
="",="(0.001)",="(0.001)",="(0.001)",="(0.001)",="(0.002)",="(0.002)",="(0.002)",="(0.002)",="(0.001)",="(0.001)",="(0.001)",="(0.001)"

="2015.year#c.prior_math_z_score#c.prior_math_z_score#c.prior_math_z_score",="-0.000",="-0.001",="-0.000",="-0.001",="0.010***",="0.009***",="0.010***",="0.009***",="-0.010***",="-0.010***",="-0.010***",="-0.010***"
="",="(0.001)",="(0.001)",="(0.001)",="(0.001)",="(0.001)",="(0.001)",="(0.001)",="(0.001)",="(0.001)",="(0.001)",="(0.001)",="(0.001)"

="2016.year#c.prior_math_z_score#c.prior_math_z_score#c.prior_math_z_score",="0.001",="0.000",="0.001",="0.001",="0.012***",="0.011***",="0.011***",="0.011***",="-0.011***",="-0.011***",="-0.011***",="-0.010***"
="",="(0.001)",="(0.001)",="(0.001)",="(0.001)",="(0.001)",="(0.001)",="(0.001)",="(0.001)",="(0.001)",="(0.001)",="(0.001)",="(0.001)"

="2017.year#c.prior_math_z_score#c.prior_math_z_score#c.prior_math_z_score",="-0.000",="-0.000",="0.000",="-0.000",="0.009***",="0.009***",="0.009***",="0.009***",="-0.009***",="-0.009***",="-0.009***",="-0.009***"
="",="(0.001)",="(0.001)",="(0.001)",="(0.001)",="(0.001)",="(0.001)",="(0.001)",="(0.001)",="(0.001)",="(0.001)",="(0.001)",="(0.001)"

="2018.year#c.prior_math_z_score#c.prior_math_z_score#c.prior_math_z_score",="-0.007***",="-0.007***",="-0.007***",="-0.007***",="0.002*",="0.003*",="0.002",="0.002*",="-0.009***",="-0.010***",="-0.009***",="-0.010***"
="",="(0.001)",="(0.001)",="(0.001)",="(0.001)",="(0.001)",="(0.001)",="(0.001)",="(0.001)",="(0.001)",="(0.001)",="(0.001)",="(0.001)"

="eth_asian_pct",="",="0.001***",="",="0.001***",="",="0.001***",="",="0.001***",="",="-0.000",="",="-0.000"
="",="",="(0.000)",="",="(0.000)",="",="(0.000)",="",="(0.000)",="",="(0.000)",="",="(0.000)"

="eth_hispanic_pct",="",="-0.000***",="",="-0.000***",="",="-0.001***",="",="-0.001***",="",="0.001***",="",="0.001***"
="",="",="(0.000)",="",="(0.000)",="",="(0.000)",="",="(0.000)",="",="(0.000)",="",="(0.000)"

="eth_black_pct",="",="-0.001***",="",="-0.001***",="",="-0.003***",="",="-0.002***",="",="0.001***",="",="0.001***"
="",="",="(0.000)",="",="(0.000)",="",="(0.000)",="",="(0.000)",="",="(0.000)",="",="(0.000)"

="educ_hs_dropout_prop",="",="-0.313*",="",="-0.337**",="",="-2.116***",="",="-2.085***",="",="1.803***",="",="1.748***"
="",="",="(0.129)",="",="(0.129)",="",="(0.144)",="",="(0.144)",="",="(0.129)",="",="(0.129)"

="educ_deg_4year_plus_prop",="",="0.703***",="",="0.741***",="",="-1.824***",="",="-1.762***",="",="2.527***",="",="2.503***"
="",="",="(0.118)",="",="(0.118)",="",="(0.131)",="",="(0.131)",="",="(0.118)",="",="(0.118)"

="pov_fam_child_lt18_pct",="",="-0.001***",="",="-0.001***",="",="-0.001***",="",="-0.001***",="",="0.001***",="",="0.001***"
="",="",="(0.000)",="",="(0.000)",="",="(0.000)",="",="(0.000)",="",="(0.000)",="",="(0.000)"

="inc_median_hh",="",="0.000***",="",="0.000***",="",="-0.000***",="",="-0.000***",="",="0.000***",="",="0.000***"
="",="",="(0.000)",="",="(0.000)",="",="(0.000)",="",="(0.000)",="",="(0.000)",="",="(0.000)"

="0.has_older_sibling_enr_2year",="",="",="0.000",="0.000",="",="",="0.000",="0.000",="",="",="0.000",="0.000"
="",="",="",="(.)",="(.)",="",="",="(.)",="(.)",="",="",="(.)",="(.)"

="1.has_older_sibling_enr_2year",="",="",="0.019***",="0.020***",="",="",="0.101***",="0.098***",="",="",="-0.082***",="-0.078***"
