
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)",="(9)",="(10)",="(11)"
="",="va_2yrmath",="va_2yrmath",="va_2yrmath",="va_2yrmath",="va_2yrmath",="va_2yrmath",="va_2yrmath",="va_2yrmath",="va_2yrmath",="va_2yrmath",="va_2yrmath"

="qoi9mean_pooled",="0.0234",="",="",="",="",="",="",="",="",="",=""
="",="(1.92)",="",="",="",="",="",="",="",="",="",=""

="qoi15mean_pooled",="",="0.0118",="",="",="",="",="",="",="",="",=""
="",="",="(1.19)",="",="",="",="",="",="",="",="",=""

="qoi16mean_pooled",="",="",="0.0134",="",="",="",="",="",="",="",=""
="",="",="",="(1.25)",="",="",="",="",="",="",="",=""

="qoi17mean_pooled",="",="",="",="0.0169",="",="",="",="",="",="",=""
="",="",="",="",="(1.38)",="",="",="",="",="",="",=""

="qoi27mean_pooled",="",="",="",="",="0.0131",="",="",="",="",="",=""
="",="",="",="",="",="(1.09)",="",="",="",="",="",=""

="qoi30mean_pooled",="",="",="",="",="",="0.0209",="",="",="",="",=""
="",="",="",="",="",="",="(1.93)",="",="",="",="",=""

="qoi31mean_pooled",="",="",="",="",="",="",="0.0135",="",="",="",=""
="",="",="",="",="",="",="",="(1.26)",="",="",="",=""

="qoi32mean_pooled",="",="",="",="",="",="",="",="0.0167",="",="",=""
="",="",="",="",="",="",="",="",="(1.35)",="",="",=""

="qoi33mean_pooled",="",="",="",="",="",="",="",="",="0.0214",="",=""
="",="",="",="",="",="",="",="",="",="(1.58)",="",=""

="qoi34mean_pooled",="",="",="",="",="",="",="",="",="",="0.0246",=""
="",="",="",="",="",="",="",="",="",="",="(1.96)",=""

="qoi64mean_pooled",="",="",="",="",="",="",="",="",="",="",="0.0114"
="",="",="",="",="",="",="",="",="",="",="",="(1.21)"

="_cons",="-0.0280",="-0.00968",="-0.0114",="-0.0184",="-0.0109",="-0.0270",="-0.0119",="-0.0151",="-0.0248",="-0.0328",="-0.00770"
="",="(-1.27)",="(-0.48)",="(-0.55)",="(-0.78)",="(-0.48)",="(-1.26)",="(-0.57)",="(-0.63)",="(-1.00)",="(-1.37)",="(-0.42)"

="N",="386",="385",="386",="386",="386",="342",="386",="314",="386",="341",="383"

="t statistics in parentheses"
="* p<0.05, ** p<0.01, *** p<0.001"
