
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)",="(9)",="(10)",="(11)"
="",="va_2yr",="va_2yr",="va_2yr",="va_2yr",="va_2yr",="va_2yr",="va_2yr",="va_2yr",="va_2yr",="va_2yr",="va_2yr"

="qoi9mean_pooled",="0.0247*",="",="",="",="",="",="",="",="",="",=""
="",="(2.04)",="",="",="",="",="",="",="",="",="",=""

="qoi15mean_pooled",="",="0.0126",="",="",="",="",="",="",="",="",=""
="",="",="(1.28)",="",="",="",="",="",="",="",="",=""

="qoi16mean_pooled",="",="",="0.0145",="",="",="",="",="",="",="",=""
="",="",="",="(1.36)",="",="",="",="",="",="",="",=""

="qoi17mean_pooled",="",="",="",="0.0178",="",="",="",="",="",="",=""
="",="",="",="",="(1.45)",="",="",="",="",="",="",=""

="qoi27mean_pooled",="",="",="",="",="0.0143",="",="",="",="",="",=""
="",="",="",="",="",="(1.19)",="",="",="",="",="",=""

="qoi30mean_pooled",="",="",="",="",="",="0.0221*",="",="",="",="",=""
="",="",="",="",="",="",="(2.06)",="",="",="",="",=""

="qoi31mean_pooled",="",="",="",="",="",="",="0.0145",="",="",="",=""
="",="",="",="",="",="",="",="(1.35)",="",="",="",=""

="qoi32mean_pooled",="",="",="",="",="",="",="",="0.0172",="",="",=""
="",="",="",="",="",="",="",="",="(1.38)",="",="",=""

="qoi33mean_pooled",="",="",="",="",="",="",="",="",="0.0229",="",=""
="",="",="",="",="",="",="",="",="",="(1.70)",="",=""

="qoi34mean_pooled",="",="",="",="",="",="",="",="",="",="0.0260*",=""
="",="",="",="",="",="",="",="",="",="",="(2.09)",=""

="qoi64mean_pooled",="",="",="",="",="",="",="",="",="",="",="0.0120"
="",="",="",="",="",="",="",="",="",="",="",="(1.27)"

="_cons",="-0.0303",="-0.0113",="-0.0134",="-0.0199",="-0.0130",="-0.0294",="-0.0137",="-0.0158",="-0.0274",="-0.0354",="-0.00870"
="",="(-1.38)",="(-0.57)",="(-0.66)",="(-0.84)",="(-0.57)",="(-1.38)",="(-0.66)",="(-0.66)",="(-1.12)",="(-1.49)",="(-0.48)"

="N",="387",="386",="387",="387",="387",="343",="387",="314",="387",="342",="384"

="t statistics in parentheses"
="* p<0.05, ** p<0.01, *** p<0.001"
