
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)",="(9)",="(10)",="(11)"
="",="va_4yrdk",="va_4yrdk",="va_4yrdk",="va_4yrdk",="va_4yrdk",="va_4yrdk",="va_4yrdk",="va_4yrdk",="va_4yrdk",="va_4yrdk",="va_4yrdk"

="qoi9mean_pooled",="-0.0136",="",="",="",="",="",="",="",="",="",=""
="",="(-1.17)",="",="",="",="",="",="",="",="",="",=""

="qoi15mean_pooled",="",="-0.00959",="",="",="",="",="",="",="",="",=""
="",="",="(-1.02)",="",="",="",="",="",="",="",="",=""

="qoi16mean_pooled",="",="",="-0.00769",="",="",="",="",="",="",="",=""
="",="",="",="(-0.75)",="",="",="",="",="",="",="",=""

="qoi17mean_pooled",="",="",="",="0.00235",="",="",="",="",="",="",=""
="",="",="",="",="(0.20)",="",="",="",="",="",="",=""

="qoi27mean_pooled",="",="",="",="",="0.00269",="",="",="",="",="",=""
="",="",="",="",="",="(0.24)",="",="",="",="",="",=""

="qoi30mean_pooled",="",="",="",="",="",="-0.0212*",="",="",="",="",=""
="",="",="",="",="",="",="(-2.09)",="",="",="",="",=""

="qoi31mean_pooled",="",="",="",="",="",="",="-0.0107",="",="",="",=""
="",="",="",="",="",="",="",="(-1.05)",="",="",="",=""

="qoi32mean_pooled",="",="",="",="",="",="",="",="-0.0000355",="",="",=""
="",="",="",="",="",="",="",="",="(-0.00)",="",="",=""

="qoi33mean_pooled",="",="",="",="",="",="",="",="",="0.00661",="",=""
="",="",="",="",="",="",="",="",="",="(0.51)",="",=""

="qoi34mean_pooled",="",="",="",="",="",="",="",="",="",="-0.0255*",=""
="",="",="",="",="",="",="",="",="",="",="(-2.16)",=""

="qoi64mean_pooled",="",="",="",="",="",="",="",="",="",="",="-0.0204*"
="",="",="",="",="",="",="",="",="",="",="",="(-2.29)"

="_cons",="0.00934",="0.00398",="-0.000521",="-0.0195",="-0.0201",="0.0283",="0.00543",="-0.0142",="-0.0269",="0.0351",="0.0239"
="",="(0.44)",="(0.21)",="(-0.03)",="(-0.86)",="(-0.92)",="(1.40)",="(0.27)",="(-0.62)",="(-1.14)",="(1.55)",="(1.39)"

="N",="386",="385",="386",="386",="386",="342",="386",="314",="386",="341",="383"

="t statistics in parentheses"
="* p<0.05, ** p<0.01, *** p<0.001"
