
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)",="(9)",="(10)",="(11)"
="",="va_ela",="va_ela",="va_ela",="va_ela",="va_ela",="va_ela",="va_ela",="va_ela",="va_ela",="va_ela",="va_ela"

="qoi9mean_pooled",="-0.0213",="",="",="",="",="",="",="",="",="",=""
="",="(-0.95)",="",="",="",="",="",="",="",="",="",=""

="qoi15mean_pooled",="",="-0.0173",="",="",="",="",="",="",="",="",=""
="",="",="(-0.95)",="",="",="",="",="",="",="",="",=""

="qoi16mean_pooled",="",="",="-0.0354",="",="",="",="",="",="",="",=""
="",="",="",="(-1.80)",="",="",="",="",="",="",="",=""

="qoi17mean_pooled",="",="",="",="-0.000784",="",="",="",="",="",="",=""
="",="",="",="",="(-0.03)",="",="",="",="",="",="",=""

="qoi27mean_pooled",="",="",="",="",="-0.00443",="",="",="",="",="",=""
="",="",="",="",="",="(-0.20)",="",="",="",="",="",=""

="qoi30mean_pooled",="",="",="",="",="",="-0.0253",="",="",="",="",=""
="",="",="",="",="",="",="(-1.29)",="",="",="",="",=""

="qoi31mean_pooled",="",="",="",="",="",="",="-0.0185",="",="",="",=""
="",="",="",="",="",="",="",="(-0.94)",="",="",="",=""

="qoi32mean_pooled",="",="",="",="",="",="",="",="0.0222",="",="",=""
="",="",="",="",="",="",="",="",="(0.98)",="",="",=""

="qoi33mean_pooled",="",="",="",="",="",="",="",="",="0.00563",="",=""
="",="",="",="",="",="",="",="",="",="(0.23)",="",=""

="qoi34mean_pooled",="",="",="",="",="",="",="",="",="",="-0.0223",=""
="",="",="",="",="",="",="",="",="",="",="(-0.99)",=""

="qoi64mean_pooled",="",="",="",="",="",="",="",="",="",="",="-0.00645"
="",="",="",="",="",="",="",="",="",="",="",="(-0.37)"

="_cons",="0.0310",="0.0274",="0.0593",="-0.00568",="0.00118",="0.0417",="0.0280",="-0.0494",="-0.0173",="0.0341",="0.00441"
="",="(0.76)",="(0.75)",="(1.59)",="(-0.13)",="(0.03)",="(1.08)",="(0.74)",="(-1.13)",="(-0.38)",="(0.79)",="(0.13)"

="N",="395",="394",="395",="395",="395",="351",="395",="321",="395",="350",="392"

="t statistics in parentheses"
="* p<0.05, ** p<0.01, *** p<0.001"
