
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)",="(9)",="(10)",="(11)"
="",="va_enrela",="va_enrela",="va_enrela",="va_enrela",="va_enrela",="va_enrela",="va_enrela",="va_enrela",="va_enrela",="va_enrela",="va_enrela"

="qoi9mean_pooled",="0.00221",="",="",="",="",="",="",="",="",="",=""
="",="(0.22)",="",="",="",="",="",="",="",="",="",=""

="qoi15mean_pooled",="",="-0.000831",="",="",="",="",="",="",="",="",=""
="",="",="(-0.10)",="",="",="",="",="",="",="",="",=""

="qoi16mean_pooled",="",="",="0.000644",="",="",="",="",="",="",="",=""
="",="",="",="(0.07)",="",="",="",="",="",="",="",=""

="qoi17mean_pooled",="",="",="",="0.0161",="",="",="",="",="",="",=""
="",="",="",="",="(1.58)",="",="",="",="",="",="",=""

="qoi27mean_pooled",="",="",="",="",="0.00941",="",="",="",="",="",=""
="",="",="",="",="",="(0.94)",="",="",="",="",="",=""

="qoi30mean_pooled",="",="",="",="",="",="-0.00660",="",="",="",="",=""
="",="",="",="",="",="",="(-0.75)",="",="",="",="",=""

="qoi31mean_pooled",="",="",="",="",="",="",="-0.000839",="",="",="",=""
="",="",="",="",="",="",="",="(-0.09)",="",="",="",=""

="qoi32mean_pooled",="",="",="",="",="",="",="",="0.00772",="",="",=""
="",="",="",="",="",="",="",="",="(0.75)",="",="",=""

="qoi33mean_pooled",="",="",="",="",="",="",="",="",="0.0178",="",=""
="",="",="",="",="",="",="",="",="",="(1.58)",="",=""

="qoi34mean_pooled",="",="",="",="",="",="",="",="",="",="-0.00685",=""
="",="",="",="",="",="",="",="",="",="",="(-0.67)",=""

="qoi64mean_pooled",="",="",="",="",="",="",="",="",="",="",="-0.0127"
="",="",="",="",="",="",="",="",="",="",="",="(-1.62)"

="_cons",="-0.00353",="0.00186",="-0.000787",="-0.0302",="-0.0174",="0.0151",="0.00203",="-0.0107",="-0.0317",="0.0151",="0.0246"
="",="(-0.19)",="(0.11)",="(-0.05)",="(-1.54)",="(-0.91)",="(0.86)",="(0.12)",="(-0.54)",="(-1.55)",="(0.77)",="(1.63)"

="N",="386",="385",="386",="386",="386",="342",="386",="314",="386",="341",="383"

="t statistics in parentheses"
="* p<0.05, ** p<0.01, *** p<0.001"
