
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)",="(9)",="(10)",="(11)",="(12)",="(13)",="(14)",="(15)",="(16)",="(17)",="(18)",="(19)"
="",="va_2yrdk",="va_2yrdk",="va_2yrdk",="va_2yrdk",="va_2yrdk",="va_2yrdk",="va_2yrdk",="va_2yrdk",="va_2yrdk",="va_2yrdk",="va_2yrdk",="va_2yrdk",="va_2yrdk",="va_2yrdk",="va_2yrdk",="va_2yrdk",="va_2yrdk",="va_2yrdk",="va_2yrdk"

="qoi22mean_pooled",="0.0543***",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="",="(4.35)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""

="qoi23mean_pooled",="",="0.00329",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="",="",="(0.33)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""

="qoi24mean_pooled",="",="",="-0.000550",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="",="",="",="(-0.05)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""

="qoi25mean_pooled",="",="",="",="-0.0311**",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="",="",="",="",="(-2.90)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""

="qoi26mean_pooled",="",="",="",="",="0.000405",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="",="",="",="",="",="(0.05)",="",="",="",="",="",="",="",="",="",="",="",="",="",=""

="qoi27mean_pooled",="",="",="",="",="",="-0.00951",="",="",="",="",="",="",="",="",="",="",="",="",=""
="",="",="",="",="",="",="(-1.78)",="",="",="",="",="",="",="",="",="",="",="",="",=""

="qoi28mean_pooled",="",="",="",="",="",="",="-0.0576***",="",="",="",="",="",="",="",="",="",="",="",=""
="",="",="",="",="",="",="",="(-5.52)",="",="",="",="",="",="",="",="",="",="",="",=""

="qoi29mean_pooled",="",="",="",="",="",="",="",="-0.0579***",="",="",="",="",="",="",="",="",="",="",=""
="",="",="",="",="",="",="",="",="(-4.77)",="",="",="",="",="",="",="",="",="",="",=""

="qoi30mean_pooled",="",="",="",="",="",="",="",="",="-0.0457***",="",="",="",="",="",="",="",="",="",=""
="",="",="",="",="",="",="",="",="",="(-4.11)",="",="",="",="",="",="",="",="",="",=""

="qoi31mean_pooled",="",="",="",="",="",="",="",="",="",="0.0186",="",="",="",="",="",="",="",="",=""
="",="",="",="",="",="",="",="",="",="",="(1.03)",="",="",="",="",="",="",="",="",=""

="qoi32mean_pooled",="",="",="",="",="",="",="",="",="",="",="-0.0518**",="",="",="",="",="",="",="",=""
="",="",="",="",="",="",="",="",="",="",="",="(-3.29)",="",="",="",="",="",="",="",=""

="qoi33mean_pooled",="",="",="",="",="",="",="",="",="",="",="",="-0.0149",="",="",="",="",="",="",=""
="",="",="",="",="",="",="",="",="",="",="",="",="(-0.75)",="",="",="",="",="",="",=""

="qoi34mean_pooled",="",="",="",="",="",="",="",="",="",="",="",="",="-0.00745",="",="",="",="",="",=""
="",="",="",="",="",="",="",="",="",="",="",="",="",="(-0.39)",="",="",="",="",="",=""

="qoi35mean_pooled",="",="",="",="",="",="",="",="",="",="",="",="",="",="-0.0412**",="",="",="",="",=""
="",="",="",="",="",="",="",="",="",="",="",="",="",="",="(-2.65)",="",="",="",="",=""

="qoi36mean_pooled",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="-0.0463**",="",="",="",=""
="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="(-2.67)",="",="",="",=""

="qoi37mean_pooled",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="-0.0577***",="",="",=""
="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="(-3.48)",="",="",=""

="qoi38mean_pooled",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="-0.0222",="",=""
="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="(-1.26)",="",=""

="qoi39mean_pooled",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="-0.0305*",=""
="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="(-2.11)",=""

="qoi40mean_pooled",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="-0.0734***"
="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="(-4.01)"

="_cons",="-0.190***",="-0.00934",="0.00402",="0.109**",="0.000696",="0.0330",="0.192***",="0.199***",="0.154***",="-0.0728",="0.186***",="0.0596",="0.0320",="0.113**",="0.133**",="0.155***",="0.0703",="0.0888*",="0.218***"
="",="(-4.30)",="(-0.27)",="(0.10)",="(2.96)",="(0.02)",="(1.90)",="(5.58)",="(4.82)",="(4.16)",="(-1.00)",="(3.32)",="(0.78)",="(0.42)",="(2.70)",="(2.71)",="(3.52)",="(1.30)",="(2.16)",="(4.05)"

="N",="895",="895",="895",="895",="895",="877",="877",="877",="877",="895",="895",="895",="895",="895",="895",="895",="895",="895",="895"

="t statistics in parentheses"
="* p<0.05, ** p<0.01, *** p<0.001"
