
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)",="(9)",="(10)",="(11)",="(12)",="(13)",="(14)",="(15)",="(16)",="(17)",="(18)",="(19)"
="",="va_2yrmath",="va_2yrmath",="va_2yrmath",="va_2yrmath",="va_2yrmath",="va_2yrmath",="va_2yrmath",="va_2yrmath",="va_2yrmath",="va_2yrmath",="va_2yrmath",="va_2yrmath",="va_2yrmath",="va_2yrmath",="va_2yrmath",="va_2yrmath",="va_2yrmath",="va_2yrmath",="va_2yrmath"

="qoi22mean_pooled",="0.0548***",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="",="(4.37)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""

="qoi23mean_pooled",="",="0.00359",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="",="",="(0.36)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""

="qoi24mean_pooled",="",="",="-0.000245",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="",="",="",="(-0.02)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""

="qoi25mean_pooled",="",="",="",="-0.0305**",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="",="",="",="",="(-2.83)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""

="qoi26mean_pooled",="",="",="",="",="0.00102",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="",="",="",="",="",="(0.12)",="",="",="",="",="",="",="",="",="",="",="",="",="",=""

="qoi27mean_pooled",="",="",="",="",="",="-0.00899",="",="",="",="",="",="",="",="",="",="",="",="",=""
="",="",="",="",="",="",="(-1.67)",="",="",="",="",="",="",="",="",="",="",="",="",=""

="qoi28mean_pooled",="",="",="",="",="",="",="-0.0562***",="",="",="",="",="",="",="",="",="",="",="",=""
="",="",="",="",="",="",="",="(-5.36)",="",="",="",="",="",="",="",="",="",="",="",=""

="qoi29mean_pooled",="",="",="",="",="",="",="",="-0.0567***",="",="",="",="",="",="",="",="",="",="",=""
="",="",="",="",="",="",="",="",="(-4.64)",="",="",="",="",="",="",="",="",="",="",=""

="qoi30mean_pooled",="",="",="",="",="",="",="",="",="-0.0446***",="",="",="",="",="",="",="",="",="",=""
="",="",="",="",="",="",="",="",="",="(-3.99)",="",="",="",="",="",="",="",="",="",=""

="qoi31mean_pooled",="",="",="",="",="",="",="",="",="",="0.0200",="",="",="",="",="",="",="",="",=""
="",="",="",="",="",="",="",="",="",="",="(1.10)",="",="",="",="",="",="",="",="",=""

="qoi32mean_pooled",="",="",="",="",="",="",="",="",="",="",="-0.0502**",="",="",="",="",="",="",="",=""
="",="",="",="",="",="",="",="",="",="",="",="(-3.17)",="",="",="",="",="",="",="",=""

="qoi33mean_pooled",="",="",="",="",="",="",="",="",="",="",="",="-0.0129",="",="",="",="",="",="",=""
="",="",="",="",="",="",="",="",="",="",="",="",="(-0.64)",="",="",="",="",="",="",=""

="qoi34mean_pooled",="",="",="",="",="",="",="",="",="",="",="",="",="-0.00429",="",="",="",="",="",=""
="",="",="",="",="",="",="",="",="",="",="",="",="",="(-0.22)",="",="",="",="",="",=""

="qoi35mean_pooled",="",="",="",="",="",="",="",="",="",="",="",="",="",="-0.0429**",="",="",="",="",=""
="",="",="",="",="",="",="",="",="",="",="",="",="",="",="(-2.75)",="",="",="",="",=""

="qoi36mean_pooled",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="-0.0473**",="",="",="",=""
="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="(-2.71)",="",="",="",=""

="qoi37mean_pooled",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="-0.0613***",="",="",=""
="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="(-3.67)",="",="",=""

="qoi38mean_pooled",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="-0.0221",="",=""
="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="(-1.25)",="",=""

="qoi39mean_pooled",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="-0.0318*",=""
="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="(-2.19)",=""

="qoi40mean_pooled",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="-0.0734***"
="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="(-3.99)"

="_cons",="-0.192***",="-0.0103",="0.00307",="0.107**",="-0.00142",="0.0314",="0.188***",="0.195***",="0.150***",="-0.0781",="0.181**",="0.0517",="0.0194",="0.118**",="0.136**",="0.164***",="0.0701",="0.0926*",="0.218***"
="",="(-4.32)",="(-0.29)",="(0.07)",="(2.89)",="(-0.05)",="(1.80)",="(5.42)",="(4.70)",="(4.05)",="(-1.07)",="(3.21)",="(0.67)",="(0.25)",="(2.80)",="(2.75)",="(3.72)",="(1.29)",="(2.25)",="(4.03)"

="N",="895",="895",="895",="895",="895",="877",="877",="877",="877",="895",="895",="895",="895",="895",="895",="895",="895",="895",="895"

="t statistics in parentheses"
="* p<0.05, ** p<0.01, *** p<0.001"
