
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)",="(9)",="(10)",="(11)",="(12)",="(13)",="(14)",="(15)",="(16)",="(17)",="(18)",="(19)"
="",="va_4yrela",="va_4yrela",="va_4yrela",="va_4yrela",="va_4yrela",="va_4yrela",="va_4yrela",="va_4yrela",="va_4yrela",="va_4yrela",="va_4yrela",="va_4yrela",="va_4yrela",="va_4yrela",="va_4yrela",="va_4yrela",="va_4yrela",="va_4yrela",="va_4yrela"

="qoi22mean_pooled",="0.0702***",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="",="(5.34)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""

="qoi23mean_pooled",="",="0.0498***",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="",="",="(4.73)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""

="qoi24mean_pooled",="",="",="0.0733***",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="",="",="",="(5.81)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""

="qoi25mean_pooled",="",="",="",="0.0316**",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="",="",="",="",="(2.78)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""

="qoi26mean_pooled",="",="",="",="",="0.0436***",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="",="",="",="",="",="(4.83)",="",="",="",="",="",="",="",="",="",="",="",="",="",=""

="qoi27mean_pooled",="",="",="",="",="",="0.0243***",="",="",="",="",="",="",="",="",="",="",="",="",=""
="",="",="",="",="",="",="(4.32)",="",="",="",="",="",="",="",="",="",="",="",="",=""

="qoi28mean_pooled",="",="",="",="",="",="",="0.0610***",="",="",="",="",="",="",="",="",="",="",="",=""
="",="",="",="",="",="",="",="(5.51)",="",="",="",="",="",="",="",="",="",="",="",=""

="qoi29mean_pooled",="",="",="",="",="",="",="",="0.101***",="",="",="",="",="",="",="",="",="",="",=""
="",="",="",="",="",="",="",="",="(8.00)",="",="",="",="",="",="",="",="",="",="",=""

="qoi30mean_pooled",="",="",="",="",="",="",="",="",="0.0643***",="",="",="",="",="",="",="",="",="",=""
="",="",="",="",="",="",="",="",="",="(5.48)",="",="",="",="",="",="",="",="",="",=""

="qoi31mean_pooled",="",="",="",="",="",="",="",="",="",="0.100***",="",="",="",="",="",="",="",="",=""
="",="",="",="",="",="",="",="",="",="",="(5.33)",="",="",="",="",="",="",="",="",=""

="qoi32mean_pooled",="",="",="",="",="",="",="",="",="",="",="0.112***",="",="",="",="",="",="",="",=""
="",="",="",="",="",="",="",="",="",="",="",="(6.85)",="",="",="",="",="",="",="",=""

="qoi33mean_pooled",="",="",="",="",="",="",="",="",="",="",="",="0.127***",="",="",="",="",="",="",=""
="",="",="",="",="",="",="",="",="",="",="",="",="(6.13)",="",="",="",="",="",="",=""

="qoi34mean_pooled",="",="",="",="",="",="",="",="",="",="",="",="",="0.0690***",="",="",="",="",="",=""
="",="",="",="",="",="",="",="",="",="",="",="",="",="(3.43)",="",="",="",="",="",=""

="qoi35mean_pooled",="",="",="",="",="",="",="",="",="",="",="",="",="",="0.0630***",="",="",="",="",=""
="",="",="",="",="",="",="",="",="",="",="",="",="",="",="(3.85)",="",="",="",="",=""

="qoi36mean_pooled",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="0.0817***",="",="",="",=""
="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="(4.48)",="",="",="",=""

="qoi37mean_pooled",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="0.0755***",="",="",=""
="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="(4.30)",="",="",=""

="qoi38mean_pooled",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="0.0466*",="",=""
="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="(2.51)",="",=""

="qoi39mean_pooled",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="0.0799***",=""
="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="(5.30)",=""

="qoi40mean_pooled",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="0.110***"
="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="(5.75)"

="_cons",="-0.253***",="-0.179***",="-0.254***",="-0.114**",="-0.162***",="-0.0834***",="-0.207***",="-0.348***",="-0.218***",="-0.408***",="-0.404***",="-0.492***",="-0.281***",="-0.174***",="-0.236***",="-0.205***",="-0.148**",="-0.232***",="-0.329***"
="",="(-5.44)",="(-4.85)",="(-5.92)",="(-2.90)",="(-4.97)",="(-4.56)",="(-5.64)",="(-8.11)",="(-5.60)",="(-5.39)",="(-6.93)",="(-6.18)",="(-3.49)",="(-3.95)",="(-4.56)",="(-4.40)",="(-2.59)",="(-5.40)",="(-5.83)"

="N",="895",="895",="895",="895",="895",="877",="877",="877",="877",="895",="895",="895",="895",="895",="895",="895",="895",="895",="895"

="t statistics in parentheses"
="* p<0.05, ** p<0.01, *** p<0.001"
